rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2010-11-12,Florida State,,North Florida,REG (Non-Conf),W 75-55,,28,7,10,0.7,0,0,7,10,0.7,0.7,1,4,0.25,3,7,10,0,1,3,2,1,15,14.5,H,1,1,bernard-james--1,Bernard James,2011
2,2,2,2010-11-14,Florida State,@,UNC Greensboro,REG (Non-Conf),W 97-73,,19,2,4,0.5,0,0,2,4,0.5,0.5,1,2,0.5,3,4,7,0,2,4,2,1,5,8.3,A,1,1,bernard-james--1,Bernard James,2011
3,3,3,2010-11-16,Florida State,,Gardner-Webb,REG (Non-Conf),W 78-53,,13,3,3,1.0,0,0,3,3,1.0,1.0,2,3,0.667,0,3,3,0,2,1,2,5,8,6.3,H,1,1,bernard-james--1,Bernard James,2011
4,4,4,2010-11-18,Florida State,@,Florida International,REG (Non-Conf),W 89-66,,16,3,4,0.75,0,0,3,4,0.75,0.75,1,2,0.5,1,7,8,0,0,4,2,3,7,7.4,A,1,1,bernard-james--1,Bernard James,2011
5,5,5,2010-11-23,Florida State,,Mercer,REG (Non-Conf),W 79-55,,18,3,4,0.75,0,0,3,4,0.75,0.75,1,2,0.5,0,1,1,0,0,4,1,1,7,6.7,H,1,1,bernard-james--1,Bernard James,2011
6,6,6,2010-11-28,Florida State,,Florida,REG (Non-Conf),L 51-55,,20,2,5,0.4,0,0,2,5,0.4,0.4,1,2,0.5,0,5,5,0,0,1,0,2,5,3.3,H,0,1,bernard-james--1,Bernard James,2011
7,7,7,2010-11-30,Florida State,,Ohio State,REG (Non-Conf),L 44-58,,15,0,2,0.0,0,0,0,2,0.0,0.0,0,0,,1,3,4,0,0,4,2,0,0,1.0,H,0,1,bernard-james--1,Bernard James,2011
8,8,8,2010-12-05,Florida State,,Hartford,REG (Non-Conf),W 60-38,*,20,3,4,0.75,0,0,3,4,0.75,0.75,5,8,0.625,3,7,10,0,1,1,0,0,11,14.1,H,1,1,bernard-james--1,Bernard James,2011
9,9,9,2010-12-12,Florida State,,Clemson,REG (Conf),W 75-69,,22,4,7,0.571,0,0,4,7,0.571,0.571,1,4,0.25,0,2,2,0,0,1,0,1,9,5.4,H,1,1,bernard-james--1,Bernard James,2011
10,10,10,2010-12-15,Florida State,,Stetson,REG (Non-Conf),W 97-63,,7,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,2,3,1,0,3,0,1,2,5.4,H,1,1,bernard-james--1,Bernard James,2011
11,11,11,2010-12-18,Florida State,@,Loyola Marymount,REG (Non-Conf),W 74-63,,17,5,6,0.833,0,0,5,6,0.833,0.833,1,4,0.25,5,4,9,0,0,0,2,2,11,9.5,A,1,1,bernard-james--1,Bernard James,2011
12,12,12,2010-12-22,Florida State,@,Hawaii,REG (Non-Conf),W 70-62,,13,1,3,0.333,0,0,1,3,0.333,0.333,1,4,0.25,3,1,4,0,3,3,1,0,3,6.6,A,1,1,bernard-james--1,Bernard James,2011
13,13,13,2010-12-23,Florida State,N,Butler,REG (Non-Conf),L 64-67,,15,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,3,1,4,0,0,1,3,3,2,-0.8,N,0,1,bernard-james--1,Bernard James,2011
14,14,14,2010-12-25,Florida State,N,Baylor,REG (Non-Conf),W 68-61,*,27,6,10,0.6,0,0,6,10,0.6,0.6,3,7,0.429,3,7,10,2,1,0,0,1,15,15.0,N,1,1,bernard-james--1,Bernard James,2011
