rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,90,1,2010-11-15,Hampton,@,Wake Forest,REG (Non-Conf),L 56-63,*,22,1,5,0.2,0,1,0.0,1,4,0.25,0.2,0,0,,0,2,2,1,1,0,1,3,2,-1.0,A,0,1,brandon-tunnell-1,Brandon Tunnell,2011
2,91,2,2010-11-16,Hampton,N,Winthrop,REG (Non-Conf),W 45-44,*,29,2,5,0.4,1,3,0.333,1,2,0.5,0.5,1,1,1.0,0,5,5,2,0,0,3,3,6,2.0,N,1,1,brandon-tunnell-1,Brandon Tunnell,2011
3,92,3,2010-11-19,Hampton,@,Fordham,REG (Non-Conf),W 58-48,*,24,2,6,0.333,0,1,0.0,2,5,0.4,0.333,2,3,0.667,0,1,1,1,1,0,1,1,6,2.8,A,1,1,brandon-tunnell-1,Brandon Tunnell,2011
4,93,4,2010-11-22,Hampton,N,Boston University,REG (Non-Conf),W 51-50,*,20,4,6,0.667,0,2,0.0,4,4,1.0,0.667,0,1,0.0,1,2,3,2,0,0,4,2,8,2.9,N,1,1,brandon-tunnell-1,Brandon Tunnell,2011
5,94,5,2010-11-23,Hampton,@,George Washington,REG (Non-Conf),W 62-51,*,32,3,4,0.75,0,0,,3,4,0.75,0.75,2,2,1.0,2,1,3,8,0,1,0,2,8,13.6,A,1,1,brandon-tunnell-1,Brandon Tunnell,2011
6,95,6,2010-11-28,Hampton,@,High Point,REG (Non-Conf),W 70-64,*,27,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,0,1,0,1,3,2,0.4,A,1,1,brandon-tunnell-1,Brandon Tunnell,2011
7,96,7,2010-11-30,Hampton,,Georgia State,REG (Non-Conf),W 60-56 (OT),*,36,1,5,0.2,0,0,,1,5,0.2,0.2,8,12,0.667,0,1,1,1,0,0,3,1,10,2.9,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
8,97,8,2010-12-04,Hampton,N,Howard,REG (Conf),W 67-55,*,14,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,4,0,0,2,0,0,-1.0,N,1,1,brandon-tunnell-1,Brandon Tunnell,2011
9,98,9,2010-12-08,Hampton,,Delaware,REG (Non-Conf),L 53-55,*,21,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,0,1,1,2,1,0,1,3,4,3.2,H,0,1,brandon-tunnell-1,Brandon Tunnell,2011
10,99,10,2010-12-20,Hampton,,Towson,REG (Non-Conf),W 78-67,*,33,1,7,0.143,0,1,0.0,1,6,0.167,0.143,2,2,1.0,0,2,2,11,2,0,3,2,4,6.0,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
11,100,11,2010-12-22,Hampton,,Liberty,REG (Non-Conf),W 62-59,*,23,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,0,0,7,0,0,3,1,4,2.8,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
12,101,12,2010-12-29,Hampton,N,Dominican (CA),REG (Non-Conf),W 78-65,*,23,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,1,2,2,4,0,3,0,2,5.1,N,1,1,brandon-tunnell-1,Brandon Tunnell,2011
13,102,13,2010-12-30,Hampton,@,San Francisco,REG (Non-Conf),L 57-69,*,27,5,9,0.556,2,4,0.5,3,5,0.6,0.667,0,0,,1,3,4,2,0,0,1,1,12,9.3,A,0,1,brandon-tunnell-1,Brandon Tunnell,2011
14,103,14,2011-01-01,Hampton,N,Colorado State,REG (Non-Conf),W 77-75,*,27,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,2,3,2,2,0,4,1,3,2.3,N,1,1,brandon-tunnell-1,Brandon Tunnell,2011
15,104,15,2011-01-08,Hampton,@,Coppin State,REG (Conf),W 67-59,*,28,2,2,1.0,1,1,1.0,1,1,1.0,1.25,1,2,0.5,0,4,4,10,1,0,2,1,6,11.8,A,1,1,brandon-tunnell-1,Brandon Tunnell,2011
16,105,16,2011-01-10,Hampton,@,Morgan State,REG (Conf),L 72-78,*,37,8,11,0.727,0,0,,8,11,0.727,0.727,1,1,1.0,0,1,1,2,1,0,4,2,17,10.4,A,0,1,brandon-tunnell-1,Brandon Tunnell,2011
17,106,17,2011-01-15,Hampton,,Norfolk State,REG (Conf),W 63-56,*,25,3,8,0.375,1,2,0.5,2,6,0.333,0.438,2,4,0.5,0,4,4,1,2,0,1,1,9,6.3,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
18,107,18,2011-01-17,Hampton,,North Carolina A&T,REG (Conf),W 82-77,*,26,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,2,0.0,1,1,2,6,1,0,2,3,3,3.5,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
19,108,19,2011-01-22,Hampton,@,Bethune-Cookman,REG (Conf),W 68-56,*,28,1,2,0.5,0,0,,1,2,0.5,0.5,5,8,0.625,0,1,1,5,1,0,5,1,7,4.2,A,1,1,brandon-tunnell-1,Brandon Tunnell,2011
20,109,20,2011-01-24,Hampton,@,Florida A&M,REG (Conf),L 58-62,*,31,1,11,0.091,0,3,0.0,1,8,0.125,0.091,3,4,0.75,1,6,7,3,1,0,0,4,5,1.3,A,0,1,brandon-tunnell-1,Brandon Tunnell,2011
21,110,21,2011-01-29,Hampton,,Delaware State,REG (Conf),W 70-66 (OT),*,39,3,8,0.375,0,1,0.0,3,7,0.429,0.375,2,2,1.0,3,0,3,9,0,0,4,1,8,7.6,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
22,111,22,2011-01-31,Hampton,,Maryland Eastern Shore,REG (Conf),W 78-66,*,31,2,5,0.4,0,0,,2,5,0.4,0.4,6,8,0.75,1,3,4,12,0,0,1,0,10,15.5,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
23,112,23,2011-02-05,Hampton,,South Carolina State,REG (Conf),W 64-53,*,25,3,4,0.75,0,1,0.0,3,3,1.0,0.75,3,4,0.75,0,0,0,4,0,0,3,2,9,6.0,H,1,1,brandon-tunnell-1,Brandon Tunnell,2011
24,113,24,2011-02-12,Hampton,@,Norfolk State,REG (Conf),W 86-72,*,29,4,9,0.444,0,0,,4,9,0.444,0.444,7,9,0.778,1,2,3,2,2,0,1,2,15,12.4,A,1,1,brandon-tunnell-1,Brandon Tunnell,2011
