rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,50,1,2010-11-16,Louisville,,Butler,REG (Non-Conf),W 88-73,,10,1,2,0.5,0,0,,1,2,0.5,0.5,3,4,0.75,1,2,3,0,1,0,1,1,5,4.5,H,1,1,chris-smith-4,Chris Smith,2011
2,51,2,2010-11-20,Louisville,,Jackson State,REG (Non-Conf),W 62-45,,6,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,1,1,2,0,0,0,2,0,0,-3.1,H,1,1,chris-smith-4,Chris Smith,2011
3,52,3,2010-11-22,Louisville,,Chattanooga,REG (Non-Conf),W 106-65,,18,4,7,0.571,3,5,0.6,1,2,0.5,0.786,0,0,,1,2,3,5,1,0,2,3,11,10.3,H,1,1,chris-smith-4,Chris Smith,2011
4,53,4,2010-11-27,Louisville,,Marshall,REG (Non-Conf),W 80-66,,11,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,1,0,0,2,0,2,0.0,H,1,1,chris-smith-4,Chris Smith,2011
5,54,5,2010-12-01,Louisville,,Florida International,REG (Non-Conf),W 92-55,,19,4,7,0.571,0,1,0.0,4,6,0.667,0.571,2,2,1.0,1,4,5,3,1,0,0,2,10,10.9,H,1,1,chris-smith-4,Chris Smith,2011
6,55,6,2010-12-04,Louisville,,South Alabama,REG (Non-Conf),W 97-70,,19,4,7,0.571,0,1,0.0,4,6,0.667,0.571,3,3,1.0,1,1,2,2,0,0,1,1,11,8.7,H,1,1,chris-smith-4,Chris Smith,2011
7,56,7,2010-12-08,Louisville,,San Francisco,REG (Non-Conf),W 61-35,,24,4,7,0.571,3,6,0.5,1,1,1.0,0.786,0,0,,2,3,5,1,1,0,0,0,11,11.7,H,1,1,chris-smith-4,Chris Smith,2011
8,57,8,2010-12-11,Louisville,,UNLV,REG (Non-Conf),W 77-69,,32,6,9,0.667,3,5,0.6,3,4,0.75,0.833,2,4,0.5,1,5,6,2,2,2,1,0,17,18.3,H,1,1,chris-smith-4,Chris Smith,2011
9,58,9,2010-12-14,Louisville,,Drexel,REG (Non-Conf),L 46-52,,12,3,5,0.6,1,1,1.0,2,4,0.5,0.7,0,0,,0,3,3,0,1,0,1,0,7,5.6,H,0,1,chris-smith-4,Chris Smith,2011
10,59,10,2010-12-18,Louisville,,Gardner-Webb,REG (Non-Conf),W 78-49,*,22,0,4,0.0,0,1,0.0,0,3,0.0,0.0,2,2,1.0,3,2,5,1,0,0,2,0,2,0.6,H,1,1,chris-smith-4,Chris Smith,2011
11,60,11,2010-12-22,Louisville,@,Western Kentucky,REG (Non-Conf),W 114-82,*,30,8,12,0.667,2,3,0.667,6,9,0.667,0.75,0,0,,4,2,6,1,1,0,1,1,18,16.5,A,1,1,chris-smith-4,Chris Smith,2011
12,61,12,2010-12-27,Louisville,,Morgan State,REG (Non-Conf),W 104-74,*,28,4,4,1.0,0,0,,4,4,1.0,1.0,2,4,0.5,1,3,4,6,1,0,3,4,10,10.2,H,1,1,chris-smith-4,Chris Smith,2011
