rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,30,1,2010-11-16,St. John's (NY),@,St. Mary's (CA),REG (Non-Conf),L 71-76,*,32,1,6,0.167,0,4,0.0,1,2,0.5,0.167,5,6,0.833,0,1,1,0,0,0,4,3,7,-2.1,A,0,1,dwight-hardy-1,Dwight Hardy,2011
2,31,2,2010-11-17,St. John's (NY),,Columbia,REG (Non-Conf),W 79-66,*,26,3,14,0.214,0,6,0.0,3,8,0.375,0.214,3,3,1.0,1,3,4,4,0,0,1,1,9,3.4,H,1,1,dwight-hardy-1,Dwight Hardy,2011
3,32,3,2010-11-25,St. John's (NY),N,Ball State,REG (Non-Conf),W 78-73 (OT),*,29,2,8,0.25,1,3,0.333,1,5,0.2,0.313,9,12,0.75,1,2,3,5,0,0,0,3,14,11.6,N,1,1,dwight-hardy-1,Dwight Hardy,2011
4,33,4,2010-11-26,St. John's (NY),N,Drake,REG (Non-Conf),W 82-39,*,29,4,7,0.571,1,3,0.333,3,4,0.75,0.643,2,2,1.0,0,4,4,2,1,0,0,1,11,10.9,N,1,1,dwight-hardy-1,Dwight Hardy,2011
5,34,5,2010-11-27,St. John's (NY),N,Arizona State,REG (Non-Conf),W 67-58,*,33,4,14,0.286,3,9,0.333,1,5,0.2,0.393,3,3,1.0,2,1,3,3,2,0,1,1,14,10.2,N,1,1,dwight-hardy-1,Dwight Hardy,2011
6,35,6,2010-12-01,St. John's (NY),,Wagner,REG (Non-Conf),W 69-61,*,29,2,7,0.286,1,5,0.2,1,2,0.5,0.357,5,5,1.0,0,3,3,1,4,0,2,4,10,7.9,H,1,1,dwight-hardy-1,Dwight Hardy,2011
7,36,7,2010-12-07,St. John's (NY),,St. Bonaventure,REG (Non-Conf),L 66-67,*,36,10,18,0.556,4,9,0.444,6,9,0.667,0.667,0,0,,0,1,1,0,1,0,2,3,24,13.5,H,0,1,dwight-hardy-1,Dwight Hardy,2011
8,37,8,2010-12-11,St. John's (NY),@,Fordham,REG (Non-Conf),L 81-84,*,38,12,18,0.667,2,8,0.25,10,10,1.0,0.722,4,4,1.0,2,2,4,5,3,0,3,2,30,26.9,A,0,1,dwight-hardy-1,Dwight Hardy,2011
9,38,9,2010-12-20,St. John's (NY),,Davidson,REG (Non-Conf),W 62-57,*,33,3,10,0.3,1,6,0.167,2,4,0.5,0.35,5,6,0.833,0,1,1,2,1,0,5,3,12,2.3,H,1,1,dwight-hardy-1,Dwight Hardy,2011
10,39,10,2010-12-21,St. John's (NY),,Northwestern,REG (Non-Conf),W 85-69,*,36,6,11,0.545,5,9,0.556,1,2,0.5,0.773,7,8,0.875,0,4,4,4,3,0,3,1,24,21.9,H,1,1,dwight-hardy-1,Dwight Hardy,2011
11,40,11,2010-12-29,St. John's (NY),@,West Virginia,REG (Conf),W 81-71,*,36,4,10,0.4,0,3,0.0,4,7,0.571,0.4,12,12,1.0,0,6,6,3,0,0,3,1,20,15.1,A,1,1,dwight-hardy-1,Dwight Hardy,2011
12,41,12,2011-01-01,St. John's (NY),@,Providence,REG (Conf),W 67-65,*,40,8,13,0.615,3,8,0.375,5,5,1.0,0.731,2,2,1.0,0,6,6,1,2,1,2,1,21,17.9,A,1,1,dwight-hardy-1,Dwight Hardy,2011
13,42,13,2011-01-03,St. John's (NY),,Georgetown,REG (Conf),W 61-58,*,40,5,10,0.5,0,3,0.0,5,7,0.714,0.5,10,10,1.0,0,0,0,2,1,1,2,4,20,14.5,H,1,1,dwight-hardy-1,Dwight Hardy,2011
14,43,14,2011-01-08,St. John's (NY),@,Notre Dame,REG (Conf),L 61-76,*,31,2,5,0.4,0,1,0.0,2,4,0.5,0.4,4,4,1.0,0,0,0,2,2,0,4,2,8,3.9,A,0,1,dwight-hardy-1,Dwight Hardy,2011
15,44,15,2011-01-12,St. John's (NY),,Syracuse,REG (Conf),L 59-76,*,34,4,15,0.267,2,7,0.286,2,8,0.25,0.333,2,3,0.667,1,3,4,2,2,0,4,2,12,2.9,H,0,1,dwight-hardy-1,Dwight Hardy,2011
16,45,16,2011-01-16,St. John's (NY),,Notre Dame,REG (Conf),W 72-54,*,29,4,6,0.667,1,2,0.5,3,4,0.75,0.75,3,4,0.75,1,3,4,4,0,0,2,3,12,10.2,H,1,1,dwight-hardy-1,Dwight Hardy,2011
17,46,17,2011-01-19,St. John's (NY),@,Louisville,REG (Conf),L 63-88,*,25,2,9,0.222,1,2,0.5,1,7,0.143,0.278,2,2,1.0,1,2,3,0,0,0,2,0,7,0.8,A,0,1,dwight-hardy-1,Dwight Hardy,2011
18,47,18,2011-01-22,St. John's (NY),,Cincinnati,REG (Conf),L 51-53,*,30,4,10,0.4,2,3,0.667,2,7,0.286,0.5,0,1,0.0,1,0,1,1,1,0,2,2,10,3.8,H,0,1,dwight-hardy-1,Dwight Hardy,2011
