rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,37,1,2010-11-12,Michigan State,,Eastern Michigan,REG (Non-Conf),W 96-66,*,15,3,6,0.5,0,0,3,6,0.5,0.5,2,4,0.5,3,5,8,0,2,1,2,1,8,8.1,H,1,1,garrick-sherman-1,Garrick Sherman,2011
2,38,2,2010-11-16,Michigan State,,South Carolina,REG (Non-Conf),W 82-73,*,15,3,3,1.0,0,0,3,3,1.0,1.0,0,4,0.0,1,0,1,1,0,0,1,0,6,3.9,H,1,1,garrick-sherman-1,Garrick Sherman,2011
3,39,3,2010-11-22,Michigan State,@,Chaminade,REG (Non-Conf),W 82-74,*,20,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,1,3,4,0,0,0,1,2,4,3.2,A,1,1,garrick-sherman-1,Garrick Sherman,2011
4,40,4,2010-11-23,Michigan State,N,Connecticut,REG (Non-Conf),L 67-70,*,23,3,3,1.0,0,0,3,3,1.0,1.0,0,0,,0,4,4,0,0,1,0,2,6,6.2,N,0,1,garrick-sherman-1,Garrick Sherman,2011
5,41,5,2010-11-24,Michigan State,N,Washington,REG (Non-Conf),W 76-71,*,25,4,5,0.8,0,0,4,5,0.8,0.8,2,2,1.0,1,4,5,0,1,2,4,3,10,7.2,N,1,1,garrick-sherman-1,Garrick Sherman,2011
6,42,6,2010-11-28,Michigan State,,Tennessee Tech,REG (Non-Conf),W 73-55,*,19,3,4,0.75,0,0,3,4,0.75,0.75,0,2,0.0,0,1,1,2,0,0,1,1,6,3.9,H,1,1,garrick-sherman-1,Garrick Sherman,2011
7,43,7,2010-12-01,Michigan State,@,Duke,REG (Non-Conf),L 79-84,*,21,4,7,0.571,0,0,4,7,0.571,0.571,0,2,0.0,2,3,5,0,2,0,1,3,8,6.0,A,0,1,garrick-sherman-1,Garrick Sherman,2011
8,44,8,2010-12-04,Michigan State,,Bowling Green,REG (Non-Conf),W 74-39,*,16,2,3,0.667,0,0,2,3,0.667,0.667,0,0,,1,2,3,2,0,0,2,0,4,3.4,H,1,1,garrick-sherman-1,Garrick Sherman,2011
9,45,9,2010-12-07,Michigan State,N,Syracuse,REG (Non-Conf),L 58-72,*,12,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,1,1,2,0,0,0,0,2,2,0.5,N,0,1,garrick-sherman-1,Garrick Sherman,2011
10,46,10,2010-12-11,Michigan State,N,Oakland,REG (Non-Conf),W 77-76,*,17,2,3,0.667,0,0,2,3,0.667,0.667,0,0,,3,4,7,0,1,0,0,4,4,5.4,N,1,1,garrick-sherman-1,Garrick Sherman,2011
11,47,11,2010-12-18,Michigan State,,Prairie View A&M,REG (Non-Conf),W 90-51,*,15,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,1,2,3,0,1,1,0,4,2,2.4,H,1,1,garrick-sherman-1,Garrick Sherman,2011
12,48,12,2010-12-22,Michigan State,,Texas,REG (Non-Conf),L 55-67,,16,3,5,0.6,0,0,3,5,0.6,0.6,0,0,,1,4,5,0,0,1,0,2,6,5.5,H,0,1,garrick-sherman-1,Garrick Sherman,2011
