rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2010-11-12,North Carolina,,Lipscomb,REG (Non-Conf),W 80-66,,11,4,5,0.8,1,1,1.0,3,4,0.75,0.9,1,2,0.5,0,2,2,3,2,0,2,0,10,10.4,H,1,1,kendall-marshall-1,Kendall Marshall,2011
2,2,2,2010-11-18,North Carolina,N,Hofstra,REG (Non-Conf),W 107-63,,16,0,0,,0,0,,0,0,,,3,4,0.75,0,1,1,9,2,0,2,2,3,8.4,N,1,1,kendall-marshall-1,Kendall Marshall,2011
3,3,3,2010-11-19,North Carolina,N,Minnesota,REG (Non-Conf),L 67-72,,17,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,0,0,0,4,0,0,2,2,7,4.7,N,0,1,kendall-marshall-1,Kendall Marshall,2011
4,4,4,2010-11-21,North Carolina,N,Vanderbilt,REG (Non-Conf),L 65-72,,17,0,0,,0,0,,0,0,,,1,2,0.5,0,1,1,2,1,0,1,2,1,1.5,N,0,1,kendall-marshall-1,Kendall Marshall,2011
5,5,5,2010-11-23,North Carolina,,UNC Asheville,REG (Non-Conf),W 80-69,,15,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,3,3,4,0,0,1,1,0,1.6,H,1,1,kendall-marshall-1,Kendall Marshall,2011
6,6,6,2010-11-28,North Carolina,,College of Charleston,REG (Non-Conf),W 74-69,,13,3,3,1.0,0,0,,3,3,1.0,1.0,0,2,0.0,0,2,2,4,1,0,2,1,6,6.3,H,1,1,kendall-marshall-1,Kendall Marshall,2011
7,7,7,2010-11-30,North Carolina,@,Illinois,REG (Non-Conf),L 67-79,,16,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,0,1,1,2,0,0,4,1,3,-1.4,A,0,1,kendall-marshall-1,Kendall Marshall,2011
8,8,8,2010-12-04,North Carolina,,Kentucky,REG (Non-Conf),W 75-73,,10,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,3,0,0,3,2,0,-2.4,H,1,1,kendall-marshall-1,Kendall Marshall,2011
9,9,9,2010-12-08,North Carolina,@,Evansville,REG (Non-Conf),W 76-49,,14,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,2,2,1,0,0,0,1,3,2.9,A,1,1,kendall-marshall-1,Kendall Marshall,2011
10,10,10,2010-12-11,North Carolina,,Long Beach State,REG (Non-Conf),W 96-91,,10,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,0,0,3,1,0,2,0,5,4.8,H,1,1,kendall-marshall-1,Kendall Marshall,2011
11,11,11,2010-12-18,North Carolina,N,Texas,REG (Non-Conf),L 76-78,,15,3,5,0.6,0,0,,3,5,0.6,0.6,1,1,1.0,0,3,3,3,0,0,1,1,7,6.3,N,0,1,kendall-marshall-1,Kendall Marshall,2011
12,12,12,2010-12-21,North Carolina,,William & Mary,REG (Non-Conf),W 85-60,,16,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,2,2,8,2,0,0,1,0,5.0,H,1,1,kendall-marshall-1,Kendall Marshall,2011
13,13,13,2010-12-28,North Carolina,N,Rutgers,REG (Non-Conf),W 78-55,,18,0,3,0.0,0,0,,0,3,0.0,0.0,0,2,0.0,1,2,3,6,1,0,1,0,0,2.6,N,1,1,kendall-marshall-1,Kendall Marshall,2011
14,14,14,2011-01-02,North Carolina,,Saint Francis (PA),REG (Non-Conf),W 103-54,,22,1,2,0.5,0,0,,1,2,0.5,0.5,2,2,1.0,0,3,3,8,2,1,3,3,4,8.0,H,1,1,kendall-marshall-1,Kendall Marshall,2011
15,15,15,2011-01-08,North Carolina,@,Virginia,REG (Conf),W 62-56,,16,2,5,0.4,0,0,,2,5,0.4,0.4,1,2,0.5,0,0,0,2,2,0,0,0,5,5.3,A,1,1,kendall-marshall-1,Kendall Marshall,2011
16,16,16,2011-01-13,North Carolina,,Virginia Tech,REG (Conf),W 64-61,,24,3,4,0.75,1,2,0.5,2,2,1.0,0.875,2,2,1.0,1,1,2,9,3,0,0,0,9,17.7,H,1,1,kendall-marshall-1,Kendall Marshall,2011
17,17,17,2011-01-16,North Carolina,@,Georgia Tech,REG (Conf),L 58-78,,19,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,,0,1,1,6,1,0,4,0,4,3.5,A,0,1,kendall-marshall-1,Kendall Marshall,2011
18,18,18,2011-01-18,North Carolina,,Clemson,REG (Conf),W 75-65,*,22,1,3,0.333,0,1,0.0,1,2,0.5,0.333,3,4,0.75,0,0,0,5,0,0,3,0,5,3.4,H,1,1,kendall-marshall-1,Kendall Marshall,2011
19,19,19,2011-01-26,North Carolina,@,Miami (FL),REG (Conf),W 74-71,*,22,1,1,1.0,0,0,,1,1,1.0,1.0,4,4,1.0,0,1,1,3,0,0,2,0,6,6.1,A,1,1,kendall-marshall-1,Kendall Marshall,2011
20,20,20,2011-01-29,North Carolina,,NC State,REG (Conf),W 84-64,*,21,1,3,0.333,0,1,0.0,1,2,0.5,0.333,2,2,1.0,0,0,0,3,0,0,4,2,4,-0.4,H,1,1,kendall-marshall-1,Kendall Marshall,2011
21,21,21,2011-02-01,North Carolina,@,Boston College,REG (Conf),W 106-74,*,20,2,3,0.667,1,1,1.0,1,2,0.5,0.833,2,3,0.667,0,3,3,6,0,0,2,0,7,8.4,A,1,1,kendall-marshall-1,Kendall Marshall,2011
22,22,22,2011-02-06,North Carolina,,Florida State,REG (Conf),W 89-69,*,36,3,4,0.75,2,2,1.0,1,2,0.5,1.0,1,2,0.5,0,0,0,16,3,0,3,1,9,17.8,H,1,1,kendall-marshall-1,Kendall Marshall,2011
23,23,23,2011-02-09,North Carolina,@,Duke,REG (Conf),L 73-79,*,37,3,11,0.273,0,0,,3,11,0.273,0.273,3,6,0.5,0,2,2,6,2,0,1,3,9,5.9,A,0,1,kendall-marshall-1,Kendall Marshall,2011
24,24,24,2011-02-12,North Carolina,@,Clemson,REG (Conf),W 64-62,*,35,4,9,0.444,0,3,0.0,4,6,0.667,0.444,10,11,0.909,0,2,2,3,3,0,3,1,18,15.2,A,1,1,kendall-marshall-1,Kendall Marshall,2011
25,25,25,2011-02-15,North Carolina,,Wake Forest,REG (Conf),W 78-64,*,28,1,3,0.333,1,1,1.0,0,2,0.0,0.5,0,0,,0,3,3,8,1,0,2,2,3,6.0,H,1,1,kendall-marshall-1,Kendall Marshall,2011
26,26,26,2011-02-19,North Carolina,,Boston College,REG (Conf),W 48-46,*,37,5,8,0.625,0,1,0.0,5,7,0.714,0.625,0,0,,0,4,4,7,0,0,5,1,10,7.1,H,1,1,kendall-marshall-1,Kendall Marshall,2011
27,27,27,2011-02-23,North Carolina,@,NC State,REG (Conf),W 75-63,*,33,5,12,0.417,1,3,0.333,4,9,0.444,0.458,3,4,0.75,0,1,1,5,1,0,5,1,14,6.6,A,1,1,kendall-marshall-1,Kendall Marshall,2011
28,28,28,2011-02-27,North Carolina,,Maryland,REG (Conf),W 87-76,*,36,1,3,0.333,0,2,0.0,1,1,1.0,0.333,2,4,0.5,0,6,6,10,3,0,4,1,4,8.9,H,1,1,kendall-marshall-1,Kendall Marshall,2011
29,29,29,2011-03-02,North Carolina,@,Florida State,REG (Conf),W 72-70,*,34,3,10,0.3,1,2,0.5,2,8,0.25,0.35,0,0,,0,4,4,8,0,0,3,3,7,3.8,A,1,1,kendall-marshall-1,Kendall Marshall,2011
30,30,30,2011-03-05,North Carolina,,Duke,REG (Conf),W 81-67,*,36,5,8,0.625,1,2,0.5,4,6,0.667,0.688,4,5,0.8,1,1,2,11,0,0,2,3,15,16.5,H,1,1,kendall-marshall-1,Kendall Marshall,2011
31,31,31,2011-03-11,North Carolina,N,Miami (FL),CTOURN,W 61-59,*,35,2,9,0.222,2,5,0.4,0,4,0.0,0.333,0,0,,1,3,4,10,1,0,4,3,6,4.9,N,1,0,kendall-marshall-1,Kendall Marshall,2011
32,32,32,2011-03-12,North Carolina,N,Clemson,CTOURN,W 92-87 (OT),*,40,2,11,0.182,1,4,0.25,1,7,0.143,0.227,3,7,0.429,0,1,1,9,1,1,5,3,8,1.6,N,1,0,kendall-marshall-1,Kendall Marshall,2011
33,33,33,2011-03-13,North Carolina,N,Duke,CTOURN,L 58-75,*,32,3,10,0.3,0,0,,3,10,0.3,0.3,2,4,0.5,1,3,4,4,1,0,5,2,8,1.0,N,0,0,kendall-marshall-1,Kendall Marshall,2011
34,34,34,2011-03-18,North Carolina,N,LIU Brooklyn,ROUND-64,W 102-87,*,31,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,0,2,2,10,0,0,2,3,3,6.4,N,1,0,kendall-marshall-1,Kendall Marshall,2011
35,35,35,2011-03-20,North Carolina,N,Washington,ROUND-32,W 86-83,*,37,3,6,0.5,1,2,0.5,2,4,0.5,0.583,6,7,0.857,1,4,5,14,0,0,4,0,13,17.3,N,1,0,kendall-marshall-1,Kendall Marshall,2011
36,36,36,2011-03-25,North Carolina,N,Marquette,ROUND-16,W 81-63,*,35,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,0,4,4,7,2,1,2,3,7,10.3,N,1,0,kendall-marshall-1,Kendall Marshall,2011
37,37,37,2011-03-27,North Carolina,N,Kentucky,ROUND-8,L 69-76,*,36,2,10,0.2,1,5,0.2,1,5,0.2,0.25,2,2,1.0,0,3,3,8,4,0,3,1,7,7.9,N,0,0,kendall-marshall-1,Kendall Marshall,2011
