rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,63,1,2010-11-12,Wofford,@,Minnesota,REG (Non-Conf),L 55-69,,24,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,1,1,2,0,0,0,4,0,-2.0,A,0,1,kevin-giltner-1,Kevin Giltner,2011
2,64,2,2010-11-15,Wofford,@,Clemson,REG (Non-Conf),L 70-78,,25,2,5,0.4,2,4,0.5,0,1,0.0,0.6,0,1,0.0,0,1,1,0,0,0,1,1,6,1.8,A,0,1,kevin-giltner-1,Kevin Giltner,2011
3,65,3,2010-11-18,Wofford,N,USC Upstate,REG (Non-Conf),W 79-61,,24,5,10,0.5,3,7,0.429,2,3,0.667,0.65,0,0,,0,0,0,0,0,0,0,2,13,7.2,N,1,1,kevin-giltner-1,Kevin Giltner,2011
4,66,4,2010-11-19,Wofford,N,Georgetown,REG (Non-Conf),L 59-74,,18,1,6,0.167,1,4,0.25,0,2,0.0,0.25,0,0,,0,0,0,0,1,0,1,4,3,-2.4,N,0,1,kevin-giltner-1,Kevin Giltner,2011
5,67,5,2010-11-21,Wofford,N,George Mason,REG (Non-Conf),W 82-79 (OT),,20,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,1,0,0,2,0,-1.6,N,1,1,kevin-giltner-1,Kevin Giltner,2011
6,68,6,2010-11-24,Wofford,,Air Force,REG (Non-Conf),L 66-72 (OT),,22,0,5,0.0,0,4,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,0,3,0,-3.7,H,0,1,kevin-giltner-1,Kevin Giltner,2011
7,69,7,2010-11-27,Wofford,@,Xavier,REG (Non-Conf),L 90-94 (3OT),,41,3,4,0.75,2,3,0.667,1,1,1.0,1.0,0,0,,0,2,2,4,2,0,0,3,8,10.6,A,0,1,kevin-giltner-1,Kevin Giltner,2011
8,70,8,2010-12-02,Wofford,,UNC Greensboro,REG (Conf),W 92-70,,26,6,9,0.667,6,8,0.75,0,1,0.0,1.0,0,0,,2,2,4,1,0,0,1,3,18,14.6,H,1,1,kevin-giltner-1,Kevin Giltner,2011
9,71,9,2010-12-04,Wofford,@,Elon,REG (Conf),W 75-69,,28,1,5,0.2,1,5,0.2,0,0,,0.3,0,0,,0,1,1,0,2,0,0,1,3,1.8,A,1,1,kevin-giltner-1,Kevin Giltner,2011
10,72,10,2010-12-11,Wofford,@,South Carolina,REG (Non-Conf),L 53-64,,22,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,2,2,0,2,0,0,2,3,3.1,A,0,1,kevin-giltner-1,Kevin Giltner,2011
11,73,11,2010-12-18,Wofford,,High Point,REG (Non-Conf),W 79-65,*,35,6,9,0.667,4,6,0.667,2,3,0.667,0.889,2,4,0.5,0,0,0,2,0,0,3,3,18,10.5,H,1,1,kevin-giltner-1,Kevin Giltner,2011
12,74,12,2010-12-29,Wofford,@,VCU,REG (Non-Conf),L 66-75,,19,2,4,0.5,2,4,0.5,0,0,,0.75,0,0,,0,1,1,0,0,0,0,2,6,3.5,A,0,1,kevin-giltner-1,Kevin Giltner,2011
13,75,13,2010-12-30,Wofford,N,Cornell,REG (Non-Conf),L 80-86,,26,3,5,0.6,3,5,0.6,0,0,,0.9,0,0,,0,0,0,0,0,0,1,1,9,5.3,N,0,1,kevin-giltner-1,Kevin Giltner,2011
14,76,14,2011-01-06,Wofford,,The Citadel,REG (Conf),W 78-60,,20,3,6,0.5,1,3,0.333,2,3,0.667,0.583,6,7,0.857,2,0,2,1,1,0,0,0,13,12.7,H,1,1,kevin-giltner-1,Kevin Giltner,2011
15,77,15,2011-01-08,Wofford,,College of Charleston,REG (Conf),L 73-77,,17,1,4,0.25,0,3,0.0,1,1,1.0,0.25,0,0,,0,0,0,1,0,0,2,1,2,-2.1,H,0,1,kevin-giltner-1,Kevin Giltner,2011
16,78,16,2011-01-12,Wofford,@,Georgia Southern,REG (Conf),W 74-65,,17,4,7,0.571,3,5,0.6,1,2,0.5,0.786,0,1,0.0,0,1,1,0,1,0,1,0,11,7.6,A,1,1,kevin-giltner-1,Kevin Giltner,2011
17,79,17,2011-01-15,Wofford,@,Davidson,REG (Conf),W 69-64,,14,2,4,0.5,2,3,0.667,0,1,0.0,0.75,0,0,,1,1,2,0,0,0,1,4,6,2.4,A,1,1,kevin-giltner-1,Kevin Giltner,2011
18,80,18,2011-01-20,Wofford,,Chattanooga,REG (Conf),W 88-56,,20,2,5,0.4,2,4,0.5,0,1,0.0,0.6,0,0,,0,2,2,0,0,1,1,1,6,3.2,H,1,1,kevin-giltner-1,Kevin Giltner,2011
19,81,19,2011-01-22,Wofford,,Samford,REG (Conf),W 81-43,,23,5,10,0.5,3,7,0.429,2,3,0.667,0.65,0,1,0.0,1,2,3,0,1,0,0,0,13,9.9,H,1,1,kevin-giltner-1,Kevin Giltner,2011
20,82,20,2011-01-24,Wofford,,Furman,REG (Conf),L 68-73 (OT),,17,3,7,0.429,2,5,0.4,1,2,0.5,0.571,0,0,,1,2,3,0,0,0,0,1,8,5.2,H,0,1,kevin-giltner-1,Kevin Giltner,2011
