rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2010-11-13,George Mason,,Harvard,REG (Non-Conf),W 66-53,*,31,6,11,0.545,1,2,0.5,5,9,0.556,0.591,1,2,0.5,1,2,3,3,2,3,1,3,14,13.6,H,1,1,luke-hancock-1,Luke Hancock,2011
2,33,2,2010-11-18,George Mason,N,Charlotte,REG (Non-Conf),W 78-56,*,32,8,12,0.667,0,1,0.0,8,11,0.727,0.667,2,3,0.667,0,4,4,3,1,0,1,2,18,14.9,N,1,1,luke-hancock-1,Luke Hancock,2011
3,34,3,2010-11-19,George Mason,N,NC State,REG (Non-Conf),L 65-78,*,23,4,9,0.444,0,1,0.0,4,8,0.5,0.444,3,3,1.0,3,3,6,1,0,0,1,1,11,8.6,N,0,1,luke-hancock-1,Luke Hancock,2011
4,35,4,2010-11-21,George Mason,N,Wofford,REG (Non-Conf),L 79-82 (OT),*,34,5,10,0.5,0,2,0.0,5,8,0.625,0.5,7,9,0.778,3,2,5,3,0,0,4,2,17,11.2,N,0,1,luke-hancock-1,Luke Hancock,2011
5,36,5,2010-11-24,George Mason,,Radford,REG (Non-Conf),W 81-55,*,23,1,2,0.5,1,1,1.0,0,1,0.0,0.75,2,2,1.0,1,7,8,11,2,1,5,2,5,11.4,H,1,1,luke-hancock-1,Luke Hancock,2011
6,37,6,2010-11-27,George Mason,,Florida Atlantic,REG (Non-Conf),W 66-51,*,32,4,6,0.667,1,2,0.5,3,4,0.75,0.75,5,6,0.833,1,5,6,7,1,0,4,4,14,13.5,H,1,1,luke-hancock-1,Luke Hancock,2011
7,38,7,2010-12-01,George Mason,,George Washington,REG (Non-Conf),W 60-46,*,33,3,6,0.5,3,4,0.75,0,2,0.0,0.75,6,8,0.75,0,8,8,2,1,0,3,3,15,11.8,H,1,1,luke-hancock-1,Luke Hancock,2011
8,39,8,2010-12-04,George Mason,,UNC Wilmington,REG (Conf),W 80-52,,16,4,6,0.667,2,3,0.667,2,3,0.667,0.833,1,2,0.5,2,1,3,4,0,0,0,2,11,11.7,H,1,1,luke-hancock-1,Luke Hancock,2011
9,40,9,2010-12-08,George Mason,,Loyola (MD),REG (Non-Conf),W 66-52,*,32,6,9,0.667,0,1,0.0,6,8,0.75,0.667,1,2,0.5,1,4,5,7,4,1,4,1,13,15.8,H,1,1,luke-hancock-1,Luke Hancock,2011
10,41,10,2010-12-11,George Mason,@,Liberty,REG (Non-Conf),W 84-54,*,30,4,7,0.571,2,4,0.5,2,3,0.667,0.714,2,2,1.0,0,1,1,4,1,0,4,0,12,8.8,A,1,1,luke-hancock-1,Luke Hancock,2011
