rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,62,1,2010-11-12,UCLA,,Cal State Northridge,REG (Non-Conf),W 83-50,*,29,4,10,0.4,0,3,0.0,4,7,0.571,0.4,0,0,,1,3,4,4,0,2,3,2,8,4.6,H,1,1,malcolm-lee-1,Malcolm Lee,2011
2,63,2,2010-11-15,UCLA,,Pepperdine,REG (Non-Conf),W 79-69,*,6,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,1,1,1,0,0,0,1,2,1.6,H,1,1,malcolm-lee-1,Malcolm Lee,2011
3,64,4,2010-11-24,UCLA,N,Villanova,REG (Non-Conf),L 70-82,*,25,3,9,0.333,0,1,0.0,3,8,0.375,0.333,7,8,0.875,0,2,2,1,0,0,1,4,13,6.2,N,0,1,malcolm-lee-1,Malcolm Lee,2011
4,65,5,2010-11-26,UCLA,N,VCU,REG (Non-Conf),L 85-89,*,34,7,15,0.467,5,7,0.714,2,8,0.25,0.633,4,6,0.667,2,4,6,3,2,0,2,2,23,18.4,N,0,1,malcolm-lee-1,Malcolm Lee,2011
5,66,6,2010-12-02,UCLA,@,Kansas,REG (Non-Conf),L 76-77,*,31,2,8,0.25,0,2,0.0,2,6,0.333,0.25,0,0,,0,2,2,1,0,0,2,4,4,-3.1,A,0,1,malcolm-lee-1,Malcolm Lee,2011
6,67,7,2010-12-05,UCLA,,Montana,REG (Non-Conf),L 57-66,*,35,4,12,0.333,0,4,0.0,4,8,0.5,0.333,5,7,0.714,2,4,6,1,0,0,1,4,13,6.1,H,0,1,malcolm-lee-1,Malcolm Lee,2011
7,68,8,2010-12-11,UCLA,,Cal Poly,REG (Non-Conf),W 72-61,*,31,2,8,0.25,1,5,0.2,1,3,0.333,0.313,3,4,0.75,0,3,3,1,0,0,1,2,8,2.6,H,1,1,malcolm-lee-1,Malcolm Lee,2011
8,69,9,2010-12-13,UCLA,,UC Davis,REG (Non-Conf),W 74-67,*,31,6,9,0.667,3,4,0.75,3,5,0.6,0.833,0,0,,0,2,2,1,2,0,2,0,15,12.4,H,1,1,malcolm-lee-1,Malcolm Lee,2011
9,70,10,2010-12-18,UCLA,N,Brigham Young,REG (Non-Conf),W 86-79,*,33,3,11,0.273,0,4,0.0,3,7,0.429,0.273,3,4,0.75,2,1,3,7,1,0,1,4,9,7.1,N,1,1,malcolm-lee-1,Malcolm Lee,2011
10,71,11,2010-12-21,UCLA,,Montana State,REG (Non-Conf),W 75-59,*,26,7,11,0.636,0,2,0.0,7,9,0.778,0.636,4,5,0.8,2,1,3,3,1,0,3,3,18,13.3,H,1,1,malcolm-lee-1,Malcolm Lee,2011
