rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,31,1,2010-11-13,Michigan,,USC Upstate,REG (Non-Conf),W 66-35,,13,1,5,0.2,1,4,0.25,0,1,0.0,0.3,0,0,,1,2,3,1,0,0,1,2,3,0.1,H,1,1,matt-vogrich-1,Matt Vogrich,2011
2,32,2,2010-11-18,Michigan,,Bowling Green,REG (Non-Conf),W 69-50,,17,2,4,0.5,1,2,0.5,1,2,0.5,0.625,1,2,0.5,0,1,1,0,0,0,3,2,6,0.1,H,1,1,matt-vogrich-1,Matt Vogrich,2011
3,33,3,2010-11-21,Michigan,,Gardner-Webb,REG (Non-Conf),W 80-58,,12,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,1,2,3,1,0,0,0,0,0,-0.1,H,1,1,matt-vogrich-1,Matt Vogrich,2011
4,34,4,2010-11-26,Michigan,N,Syracuse,REG (Non-Conf),L 50-53,,11,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,2,1,3,0,0,0,0,0,3,3.7,N,0,1,matt-vogrich-1,Matt Vogrich,2011
5,35,5,2010-11-27,Michigan,N,UTEP,REG (Non-Conf),L 56-65,,13,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,1,0,1,0,1,0,0,0,0,-0.4,N,0,1,matt-vogrich-1,Matt Vogrich,2011
6,36,6,2010-11-30,Michigan,@,Clemson,REG (Non-Conf),W 69-61,,10,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,0,0,0,0,0,0,0,2,-0.4,A,1,1,matt-vogrich-1,Matt Vogrich,2011
7,37,7,2010-12-04,Michigan,,Harvard,REG (Non-Conf),W 65-62,,18,2,3,0.667,2,2,1.0,0,1,0.0,1.0,1,2,0.5,0,1,1,0,0,0,1,1,7,4.2,H,1,1,matt-vogrich-1,Matt Vogrich,2011
8,38,8,2010-12-06,Michigan,,Concordia (MI),REG (Non-Conf),W 86-65,,18,3,4,0.75,1,2,0.5,2,2,1.0,0.875,0,0,,1,3,4,0,2,0,1,2,7,7.2,H,1,1,matt-vogrich-1,Matt Vogrich,2011
9,39,9,2010-12-10,Michigan,,Utah,REG (Non-Conf),W 75-64,,19,3,4,0.75,2,2,1.0,1,2,0.5,1.0,0,0,,0,1,1,0,0,0,0,0,8,6.7,H,1,1,matt-vogrich-1,Matt Vogrich,2011
10,40,10,2010-12-14,Michigan,,North Carolina Central,REG (Non-Conf),W 64-44,,16,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.8,H,1,1,matt-vogrich-1,Matt Vogrich,2011
11,41,11,2010-12-18,Michigan,,Oakland,REG (Non-Conf),W 69-51,,12,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,0,0,0,1,0,0,0,0,5,4.4,H,1,1,matt-vogrich-1,Matt Vogrich,2011
12,42,12,2010-12-23,Michigan,,Bryant,REG (Non-Conf),W 87-71,,14,3,6,0.5,2,5,0.4,1,1,1.0,0.667,0,0,,0,1,1,1,0,0,0,2,8,5.2,H,1,1,matt-vogrich-1,Matt Vogrich,2011
13,43,13,2010-12-28,Michigan,,Purdue,REG (Conf),L 57-80,,18,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,2,2,1,0,1,0,0,0,1.3,H,0,1,matt-vogrich-1,Matt Vogrich,2011
14,44,14,2011-01-02,Michigan,,Penn State,REG (Conf),W 76-69,,20,2,4,0.5,1,3,0.333,1,1,1.0,0.625,3,3,1.0,0,2,2,1,1,0,0,2,8,7.5,H,1,1,matt-vogrich-1,Matt Vogrich,2011
15,45,15,2011-01-05,Michigan,@,Wisconsin,REG (Conf),L 50-66,,12,2,3,0.667,2,2,1.0,0,1,0.0,1.0,0,0,,0,1,1,0,1,0,1,0,6,5.0,A,0,1,matt-vogrich-1,Matt Vogrich,2011
16,46,16,2011-01-09,Michigan,,Kansas,REG (Non-Conf),L 60-67 (OT),,10,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,1,0,1,0,1,0,1,0,0,-0.7,H,0,1,matt-vogrich-1,Matt Vogrich,2011
17,47,17,2011-01-12,Michigan,,Ohio State,REG (Conf),L 64-68,,6,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,1,0,1,0,0,0,0,0,0,-0.7,H,0,1,matt-vogrich-1,Matt Vogrich,2011
18,48,18,2011-01-15,Michigan,@,Indiana,REG (Conf),L 61-80,,19,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,0,1,1,0,1,0,0,4,3,1.0,A,0,1,matt-vogrich-1,Matt Vogrich,2011
19,49,19,2011-01-18,Michigan,@,Northwestern,REG (Conf),L 60-74,,22,1,3,0.333,0,1,0.0,1,2,0.5,0.333,1,2,0.5,1,1,2,0,0,0,0,1,3,1.5,A,0,1,matt-vogrich-1,Matt Vogrich,2011
20,50,20,2011-01-22,Michigan,,Minnesota,REG (Conf),L 64-69,,11,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,2,2,1,0,0,1,1,3,1.9,H,0,1,matt-vogrich-1,Matt Vogrich,2011
21,51,21,2011-01-27,Michigan,@,Michigan State,REG (Conf),W 61-57,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,matt-vogrich-1,Matt Vogrich,2011
22,52,22,2011-01-30,Michigan,,Iowa,REG (Conf),W 87-73,,11,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,0,0,0,1,0,1,1,6,5.0,H,1,1,matt-vogrich-1,Matt Vogrich,2011
23,53,24,2011-02-06,Michigan,@,Penn State,REG (Conf),W 65-62,,23,2,5,0.4,2,5,0.4,0,0,,0.6,0,0,,0,0,0,1,0,1,1,1,6,3.3,A,1,1,matt-vogrich-1,Matt Vogrich,2011
24,54,25,2011-02-09,Michigan,,Northwestern,REG (Conf),W 75-66,,7,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,0,0,0,0,1,2,1.6,H,1,1,matt-vogrich-1,Matt Vogrich,2011
25,55,26,2011-02-12,Michigan,,Indiana,REG (Conf),W 73-69,,9,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,0.6,H,1,1,matt-vogrich-1,Matt Vogrich,2011
26,56,27,2011-02-16,Michigan,@,Illinois,REG (Conf),L 52-54,,12,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,1,0,0,0,1,2,2.3,A,0,1,matt-vogrich-1,Matt Vogrich,2011
27,57,28,2011-02-19,Michigan,@,Iowa,REG (Conf),W 75-72 (OT),,16,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,A,1,1,matt-vogrich-1,Matt Vogrich,2011
28,58,29,2011-02-23,Michigan,,Wisconsin,REG (Conf),L 52-53,,14,1,2,0.5,1,1,1.0,0,1,0.0,0.75,0,0,,0,2,2,2,0,0,0,1,3,3.6,H,0,1,matt-vogrich-1,Matt Vogrich,2011
29,59,30,2011-02-26,Michigan,@,Minnesota,REG (Conf),W 70-63,,11,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,1,1,2,2,0,0,0,1,3,4.0,A,1,1,matt-vogrich-1,Matt Vogrich,2011
30,60,31,2011-03-05,Michigan,,Michigan State,REG (Conf),W 70-63,,20,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,1,0.0,1,4,5,1,0,0,1,0,3,2.5,H,1,1,matt-vogrich-1,Matt Vogrich,2011
31,61,32,2011-03-11,Michigan,N,Illinois,CTOURN,W 60-55,*,11,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,0,0,-0.4,N,1,0,matt-vogrich-1,Matt Vogrich,2011
