rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,100,1,2010-11-16,Louisville,,Butler,REG (Non-Conf),W 88-73,,18,3,11,0.273,1,6,0.167,2,5,0.4,0.318,5,6,0.833,0,1,1,2,3,0,1,2,12,8.0,H,1,1,preston-knowles-1,Preston Knowles,2011
2,101,2,2010-11-20,Louisville,,Jackson State,REG (Non-Conf),W 62-45,*,28,4,10,0.4,2,5,0.4,2,5,0.4,0.5,2,2,1.0,1,4,5,2,3,0,4,3,12,7.7,H,1,1,preston-knowles-1,Preston Knowles,2011
3,102,3,2010-11-22,Louisville,,Chattanooga,REG (Non-Conf),W 106-65,*,16,4,11,0.364,3,6,0.5,1,5,0.2,0.5,3,4,0.75,0,5,5,0,1,0,1,2,14,8.2,H,1,1,preston-knowles-1,Preston Knowles,2011
4,103,4,2010-11-27,Louisville,,Marshall,REG (Non-Conf),W 80-66,*,25,2,12,0.167,2,7,0.286,0,5,0.0,0.25,0,0,,1,1,2,1,2,0,0,5,6,0.1,H,1,1,preston-knowles-1,Preston Knowles,2011
5,104,5,2010-12-01,Louisville,,Florida International,REG (Non-Conf),W 92-55,*,29,6,13,0.462,4,8,0.5,2,5,0.4,0.615,2,2,1.0,0,6,6,3,3,0,1,0,18,17.2,H,1,1,preston-knowles-1,Preston Knowles,2011
6,105,6,2010-12-04,Louisville,,South Alabama,REG (Non-Conf),W 97-70,*,18,3,6,0.5,1,3,0.333,2,3,0.667,0.583,0,0,,1,4,5,1,0,0,1,1,7,5.2,H,1,1,preston-knowles-1,Preston Knowles,2011
7,106,7,2010-12-08,Louisville,,San Francisco,REG (Non-Conf),W 61-35,*,31,4,13,0.308,2,8,0.25,2,5,0.4,0.385,0,0,,1,0,1,4,0,0,0,2,10,5.2,H,1,1,preston-knowles-1,Preston Knowles,2011
8,107,8,2010-12-11,Louisville,,UNLV,REG (Non-Conf),W 77-69,*,25,6,11,0.545,2,6,0.333,4,5,0.8,0.636,6,6,1.0,0,2,2,2,1,0,0,5,20,15.7,H,1,1,preston-knowles-1,Preston Knowles,2011
9,108,9,2010-12-14,Louisville,,Drexel,REG (Non-Conf),L 46-52,*,30,5,14,0.357,2,6,0.333,3,8,0.375,0.429,1,3,0.333,0,1,1,1,4,0,3,3,13,5.2,H,0,1,preston-knowles-1,Preston Knowles,2011
10,109,10,2010-12-18,Louisville,,Gardner-Webb,REG (Non-Conf),W 78-49,*,31,9,15,0.6,6,11,0.545,3,4,0.75,0.8,0,0,,0,9,9,4,1,2,5,2,24,19.2,H,1,1,preston-knowles-1,Preston Knowles,2011
11,110,11,2010-12-22,Louisville,@,Western Kentucky,REG (Non-Conf),W 114-82,*,28,6,13,0.462,3,9,0.333,3,4,0.75,0.577,0,0,,1,3,4,3,1,0,1,4,15,10.4,A,1,1,preston-knowles-1,Preston Knowles,2011
12,111,12,2010-12-27,Louisville,,Morgan State,REG (Non-Conf),W 104-74,*,31,9,14,0.643,6,9,0.667,3,5,0.6,0.857,7,7,1.0,2,1,3,3,1,0,2,3,31,26.4,H,1,1,preston-knowles-1,Preston Knowles,2011
13,112,13,2010-12-31,Louisville,,Kentucky,REG (Non-Conf),L 63-78,*,37,8,16,0.5,6,10,0.6,2,6,0.333,0.688,0,0,,0,2,2,3,4,0,3,2,22,16.9,H,0,1,preston-knowles-1,Preston Knowles,2011
