rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,26,1,2010-11-12,Temple,,Seton Hall,REG (Non-Conf),W 62-56,*,32,2,4,0.5,0,2,0.0,2,2,1.0,0.5,0,0,,4,5,9,1,0,0,3,3,4,2.8,H,1,1,scootie-randall-1,Scootie Randall,2011
2,27,2,2010-11-14,Temple,,Toledo,REG (Non-Conf),W 82-49,*,25,4,7,0.571,3,5,0.6,1,2,0.5,0.786,0,0,,2,0,2,2,2,0,0,1,11,12.1,H,1,1,scootie-randall-1,Scootie Randall,2011
3,28,3,2010-11-25,Temple,N,California,REG (Non-Conf),L 50-57,*,31,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,,2,1,3,0,2,0,1,2,0,-0.9,N,0,1,scootie-randall-1,Scootie Randall,2011
4,29,4,2010-11-26,Temple,N,Georgia,REG (Non-Conf),W 65-58,*,36,7,9,0.778,4,6,0.667,3,3,1.0,1.0,0,0,,0,7,7,0,0,0,1,3,18,14.4,N,1,1,scootie-randall-1,Scootie Randall,2011
5,30,5,2010-11-28,Temple,N,Texas A&M,REG (Non-Conf),L 51-54,*,21,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,,1,2,3,0,0,1,1,3,0,-3.0,N,0,1,scootie-randall-1,Scootie Randall,2011
6,31,6,2010-12-01,Temple,@,Central Michigan,REG (Non-Conf),W 65-53,*,31,2,5,0.4,0,1,0.0,2,4,0.5,0.4,3,5,0.6,5,4,9,3,1,1,0,1,7,11.6,A,1,1,scootie-randall-1,Scootie Randall,2011
7,32,7,2010-12-05,Temple,N,Maryland,REG (Non-Conf),W 64-61,*,38,4,7,0.571,1,4,0.25,3,3,1.0,0.643,1,2,0.5,3,4,7,1,3,0,2,3,10,10.1,N,1,1,scootie-randall-1,Scootie Randall,2011
8,33,8,2010-12-09,Temple,,Georgetown,REG (Non-Conf),W 68-65,*,40,4,6,0.667,2,3,0.667,2,3,0.667,0.833,0,0,,2,2,4,1,3,0,1,3,10,10.9,H,1,1,scootie-randall-1,Scootie Randall,2011
9,34,9,2010-12-12,Temple,,Akron,REG (Non-Conf),W 82-47,*,27,6,8,0.75,0,2,0.0,6,6,1.0,0.75,0,0,,1,6,7,3,1,0,0,0,12,14.4,H,1,1,scootie-randall-1,Scootie Randall,2011
10,35,10,2010-12-18,Temple,,Northern Illinois,REG (Non-Conf),W 84-74,*,40,4,11,0.364,0,4,0.0,4,7,0.571,0.364,4,4,1.0,1,1,2,1,1,0,0,3,12,7.4,H,1,1,scootie-randall-1,Scootie Randall,2011
11,36,11,2010-12-22,Temple,@,Ohio,REG (Non-Conf),W 76-65,*,23,4,7,0.571,1,3,0.333,3,4,0.75,0.643,0,0,,1,2,3,1,0,0,2,3,9,4.5,A,1,1,scootie-randall-1,Scootie Randall,2011
12,37,12,2010-12-30,Temple,@,Villanova,REG (Non-Conf),L 74-78,*,39,4,10,0.4,2,7,0.286,2,3,0.667,0.5,1,2,0.5,1,2,3,3,0,0,0,2,11,7.8,A,0,1,scootie-randall-1,Scootie Randall,2011
13,38,13,2011-01-05,Temple,N,Fordham,REG (Conf),W 70-51,*,28,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,0,,3,1,4,0,0,0,1,2,5,2.2,N,1,1,scootie-randall-1,Scootie Randall,2011
14,39,14,2011-01-09,Temple,,Saint Louis,REG (Conf),W 57-53,*,37,4,11,0.364,2,4,0.5,2,7,0.286,0.455,0,0,,1,4,5,1,1,1,0,1,10,7.8,H,1,1,scootie-randall-1,Scootie Randall,2011
15,40,15,2011-01-12,Temple,,St. Bonaventure,REG (Conf),W 83-55,*,27,4,8,0.5,3,6,0.5,1,2,0.5,0.688,6,6,1.0,0,3,3,1,1,1,0,2,17,15.5,H,1,1,scootie-randall-1,Scootie Randall,2011
16,41,16,2011-01-15,Temple,@,Duquesne,REG (Conf),L 66-78,*,34,3,9,0.333,1,7,0.143,2,2,1.0,0.389,2,2,1.0,1,3,4,0,2,0,2,4,9,3.9,A,0,1,scootie-randall-1,Scootie Randall,2011
17,42,17,2011-01-19,Temple,,Pennsylvania,REG (Non-Conf),W 73-56,*,20,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,0,,2,1,3,3,4,1,0,5,5,7.4,H,1,1,scootie-randall-1,Scootie Randall,2011
18,43,18,2011-01-22,Temple,@,Xavier,REG (Conf),L 77-88,*,39,11,16,0.688,5,9,0.556,6,7,0.857,0.844,1,2,0.5,2,3,5,0,0,0,0,2,28,22.3,A,0,1,scootie-randall-1,Scootie Randall,2011
