rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,45,1,2010-11-08,Pittsburgh,,Rhode Island,REG (Non-Conf),W 83-75,,24,3,9,0.333,0,2,0.0,3,7,0.429,0.333,1,2,0.5,1,2,3,3,1,0,1,2,7,4.1,H,1,1,travon-woodall-1,Travon Woodall,2011
2,46,2,2010-11-10,Pittsburgh,,Illinois–Chicago,REG (Non-Conf),W 97-54,,20,3,6,0.5,2,4,0.5,1,2,0.5,0.667,2,2,1.0,0,3,3,2,1,0,1,2,10,8.5,H,1,1,travon-woodall-1,Travon Woodall,2011
3,47,3,2010-11-13,Pittsburgh,,North Florida,REG (Non-Conf),W 95-49,,24,4,6,0.667,2,2,1.0,2,4,0.5,0.833,0,0,,0,0,0,5,1,0,1,1,10,10.5,H,1,1,travon-woodall-1,Travon Woodall,2011
4,48,4,2010-11-18,Pittsburgh,N,Maryland,REG (Non-Conf),W 79-70,,29,4,8,0.5,0,2,0.0,4,6,0.667,0.5,3,4,0.75,1,1,2,5,1,0,3,1,11,8.7,N,1,1,travon-woodall-1,Travon Woodall,2011
5,49,5,2010-11-19,Pittsburgh,N,Texas,REG (Non-Conf),W 68-66,,22,2,4,0.5,1,2,0.5,1,2,0.5,0.625,2,5,0.4,0,1,1,5,2,0,0,3,7,8.4,N,1,1,travon-woodall-1,Travon Woodall,2011
6,50,6,2010-11-23,Pittsburgh,,Robert Morris,REG (Non-Conf),W 74-53,,11,0,5,0.0,0,3,0.0,0,2,0.0,0.0,1,2,0.5,1,2,3,3,1,0,2,4,1,-2.1,H,1,1,travon-woodall-1,Travon Woodall,2011
7,51,7,2010-11-27,Pittsburgh,,Pennsylvania,REG (Non-Conf),W 82-58,,21,2,5,0.4,1,2,0.5,1,3,0.333,0.5,2,2,1.0,0,2,2,6,2,0,1,2,7,9.3,H,1,1,travon-woodall-1,Travon Woodall,2011
8,52,8,2010-12-01,Pittsburgh,N,Duquesne,REG (Non-Conf),W 80-66,,24,2,6,0.333,1,4,0.25,1,2,0.5,0.417,2,2,1.0,0,3,3,4,1,0,4,4,7,2.7,N,1,1,travon-woodall-1,Travon Woodall,2011
9,53,9,2010-12-04,Pittsburgh,,Rider,REG (Non-Conf),W 87-68,,15,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,1,1,4,3,0,0,3,2,5.2,H,1,1,travon-woodall-1,Travon Woodall,2011
10,54,10,2010-12-08,Pittsburgh,,Delaware State,REG (Non-Conf),W 70-42,,24,0,4,0.0,0,1,0.0,0,3,0.0,0.0,2,2,1.0,0,1,1,2,1,0,1,3,2,-0.3,H,1,1,travon-woodall-1,Travon Woodall,2011
11,55,11,2010-12-11,Pittsburgh,N,Tennessee,REG (Non-Conf),L 76-83,,23,2,4,0.5,1,3,0.333,1,1,1.0,0.625,6,10,0.6,0,0,0,2,0,0,1,3,11,6.6,N,0,1,travon-woodall-1,Travon Woodall,2011
12,56,12,2010-12-18,Pittsburgh,,Maryland Eastern Shore,REG (Non-Conf),W 97-64,,24,5,11,0.455,1,5,0.2,4,6,0.667,0.5,0,0,,0,3,3,9,0,0,1,1,11,11.1,H,1,1,travon-woodall-1,Travon Woodall,2011
13,57,13,2010-12-22,Pittsburgh,,American,REG (Non-Conf),W 61-46,,15,0,3,0.0,0,0,,0,3,0.0,0.0,1,2,0.5,0,1,1,5,0,0,0,3,1,1.1,H,1,1,travon-woodall-1,Travon Woodall,2011
14,58,14,2010-12-27,Pittsburgh,,Connecticut,REG (Conf),W 78-63,,21,2,4,0.5,1,2,0.5,1,2,0.5,0.625,4,4,1.0,0,0,0,2,1,0,3,3,9,5.2,H,1,1,travon-woodall-1,Travon Woodall,2011
15,59,15,2011-01-04,Pittsburgh,@,Providence,REG (Conf),W 83-79,,20,1,5,0.2,1,2,0.5,0,3,0.0,0.3,6,6,1.0,0,2,2,2,0,1,4,4,9,3.0,A,1,1,travon-woodall-1,Travon Woodall,2011
16,60,16,2011-01-08,Pittsburgh,,Marquette,REG (Conf),W 89-81,,20,3,8,0.375,1,3,0.333,2,5,0.4,0.438,1,3,0.333,0,3,3,3,0,0,2,5,8,1.8,H,1,1,travon-woodall-1,Travon Woodall,2011
17,61,17,2011-01-12,Pittsburgh,@,Georgetown,REG (Conf),W 72-57,,20,1,3,0.333,0,2,0.0,1,1,1.0,0.333,3,4,0.75,1,5,6,5,0,0,0,3,5,7.4,A,1,1,travon-woodall-1,Travon Woodall,2011
18,62,18,2011-01-15,Pittsburgh,,Seton Hall,REG (Conf),W 74-53,,22,3,4,0.75,2,2,1.0,1,2,0.5,1.0,0,0,,0,4,4,3,1,0,1,2,8,8.9,H,1,1,travon-woodall-1,Travon Woodall,2011
19,63,19,2011-01-17,Pittsburgh,,Syracuse,REG (Conf),W 74-66,,18,1,5,0.2,1,4,0.25,0,1,0.0,0.3,2,2,1.0,1,3,4,3,0,1,2,2,5,3.5,H,1,1,travon-woodall-1,Travon Woodall,2011
20,64,20,2011-01-22,Pittsburgh,@,DePaul,REG (Conf),W 80-50,,15,2,3,0.667,1,1,1.0,1,2,0.5,0.833,3,4,0.75,0,1,1,2,2,0,2,5,8,6.0,A,1,1,travon-woodall-1,Travon Woodall,2011
21,65,21,2011-01-24,Pittsburgh,,Notre Dame,REG (Conf),L 51-56,,18,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,1,1,2,1,0,2,2,6,5.3,H,0,1,travon-woodall-1,Travon Woodall,2011
22,66,22,2011-01-29,Pittsburgh,@,Rutgers,REG (Conf),W 65-62,,20,0,6,0.0,0,4,0.0,0,2,0.0,0.0,2,2,1.0,0,2,2,1,0,0,1,0,2,-1.9,A,1,1,travon-woodall-1,Travon Woodall,2011
23,67,23,2011-02-05,Pittsburgh,,Cincinnati,REG (Conf),W 71-59,,20,2,4,0.5,0,2,0.0,2,2,1.0,0.5,3,5,0.6,0,3,3,4,0,0,2,4,7,4.3,H,1,1,travon-woodall-1,Travon Woodall,2011
24,68,24,2011-02-07,Pittsburgh,@,West Virginia,REG (Conf),W 71-66,*,36,4,11,0.364,1,4,0.25,3,7,0.429,0.409,3,4,0.75,0,2,2,3,2,0,1,1,12,8.8,A,1,1,travon-woodall-1,Travon Woodall,2011
25,69,25,2011-02-12,Pittsburgh,@,Villanova,REG (Conf),W 57-54,*,25,3,8,0.375,1,5,0.2,2,3,0.667,0.438,1,2,0.5,1,0,1,1,0,0,0,3,8,3.4,A,1,1,travon-woodall-1,Travon Woodall,2011
26,70,26,2011-02-16,Pittsburgh,,South Florida,REG (Conf),W 67-55,*,34,3,9,0.333,0,4,0.0,3,5,0.6,0.333,0,0,,0,3,3,5,1,0,1,0,6,5.3,H,1,1,travon-woodall-1,Travon Woodall,2011
27,71,27,2011-02-19,Pittsburgh,@,St. John's (NY),REG (Conf),L 59-60,*,33,2,8,0.25,1,5,0.2,1,3,0.333,0.313,1,2,0.5,0,3,3,4,2,0,4,4,6,0.9,A,0,1,travon-woodall-1,Travon Woodall,2011
28,72,28,2011-02-24,Pittsburgh,,West Virginia,REG (Conf),W 71-58,,22,1,3,0.333,1,2,0.5,0,1,0.0,0.5,1,2,0.5,0,4,4,6,0,0,1,4,4,4.7,H,1,1,travon-woodall-1,Travon Woodall,2011
29,73,29,2011-02-27,Pittsburgh,@,Louisville,REG (Conf),L 59-62 (OT),,26,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,3,3,2,0,0,3,3,4,-0.6,A,0,1,travon-woodall-1,Travon Woodall,2011
30,74,30,2011-03-02,Pittsburgh,@,South Florida,REG (Conf),W 66-50,,13,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,2,3,1,0,0,0,4,0,-1.0,A,1,1,travon-woodall-1,Travon Woodall,2011
31,75,31,2011-03-05,Pittsburgh,,Villanova,REG (Conf),W 60-50,,20,2,6,0.333,0,1,0.0,2,5,0.4,0.333,5,6,0.833,0,1,1,3,0,0,2,1,9,5.2,H,1,1,travon-woodall-1,Travon Woodall,2011
32,76,32,2011-03-10,Pittsburgh,N,Connecticut,CTOURN,L 74-76,,15,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,0,2,2,0,0,0,1,1,5,2.9,N,0,0,travon-woodall-1,Travon Woodall,2011
33,77,33,2011-03-17,Pittsburgh,N,UNC Asheville,ROUND-64,W 74-51,,23,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,2,1.0,1,4,5,6,2,0,1,1,4,6.9,N,1,0,travon-woodall-1,Travon Woodall,2011
34,78,34,2011-03-19,Pittsburgh,N,Butler,ROUND-32,L 70-71,,17,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,0,1,1,4,0,0,1,1,5,4.0,N,0,0,travon-woodall-1,Travon Woodall,2011
