rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,61,1,2011-11-11,Indiana,,Stony Brook,REG (Non-Conf),W 96-66,*,25,2,7,0.286,1,2,0.5,1,5,0.2,0.357,2,2,1.0,0,2,2,1,0,0,3,1,7,0.8,H,1,1,christian-watford-1,Christian Watford,2012
2,62,2,2011-11-13,Indiana,,Chattanooga,REG (Non-Conf),W 78-53,*,20,1,7,0.143,0,3,0.0,1,4,0.25,0.143,0,1,0.0,1,4,5,3,1,0,1,1,2,0.7,H,1,1,christian-watford-1,Christian Watford,2012
3,63,3,2011-11-16,Indiana,@,Evansville,REG (Non-Conf),W 94-73,*,24,5,7,0.714,2,3,0.667,3,4,0.75,0.857,3,3,1.0,0,8,8,1,1,0,1,0,15,15.2,A,1,1,christian-watford-1,Christian Watford,2012
4,64,4,2011-11-19,Indiana,,Savannah State,REG (Non-Conf),W 94-65,*,22,6,7,0.857,2,2,1.0,4,5,0.8,1.0,5,5,1.0,1,2,3,1,1,0,2,4,19,15.9,H,1,1,christian-watford-1,Christian Watford,2012
5,65,5,2011-11-21,Indiana,,Gardner-Webb,REG (Non-Conf),W 73-49,*,24,3,9,0.333,0,3,0.0,3,6,0.5,0.333,2,2,1.0,3,4,7,3,0,0,1,2,8,6.5,H,1,1,christian-watford-1,Christian Watford,2012
6,66,6,2011-11-27,Indiana,,Butler,REG (Non-Conf),W 75-59,*,20,2,10,0.2,1,2,0.5,1,8,0.125,0.25,2,4,0.5,2,0,2,1,0,2,3,2,7,-0.3,H,1,1,christian-watford-1,Christian Watford,2012
7,67,7,2011-11-30,Indiana,@,NC State,REG (Non-Conf),W 86-75,*,33,4,9,0.444,3,5,0.6,1,4,0.25,0.611,5,6,0.833,2,7,9,0,0,1,2,2,16,12.3,A,1,1,christian-watford-1,Christian Watford,2012
8,68,8,2011-12-04,Indiana,,Stetson,REG (Non-Conf),W 84-50,*,22,4,7,0.571,0,1,0.0,4,6,0.667,0.571,1,2,0.5,3,1,4,0,1,1,3,3,9,5.2,H,1,1,christian-watford-1,Christian Watford,2012
9,69,9,2011-12-10,Indiana,,Kentucky,REG (Non-Conf),W 73-72,*,30,8,15,0.533,4,6,0.667,4,9,0.444,0.667,0,0,,1,4,5,1,1,0,1,2,20,14.5,H,1,1,christian-watford-1,Christian Watford,2012
10,70,10,2011-12-17,Indiana,N,Notre Dame,REG (Non-Conf),W 69-58,*,32,2,9,0.222,0,0,,2,9,0.222,0.222,6,6,1.0,0,2,2,1,1,0,0,2,10,6.0,N,1,1,christian-watford-1,Christian Watford,2012
