rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,59,1,2011-11-11,Harvard,,MIT,REG (Non-Conf),W 76-49,*,12,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,1,1,0,0,0,0,2,7,2.8,H,1,1,christian-webster-1,Christian Webster,2012
2,60,2,2011-11-15,Harvard,@,Holy Cross,REG (Non-Conf),W 73-64,*,17,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,1,2,0,-3.2,A,1,1,christian-webster-1,Christian Webster,2012
3,61,3,2011-11-19,Harvard,@,Loyola Marymount,REG (Non-Conf),W 77-67,*,21,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,0,,1,2,3,2,1,0,3,2,2,-1.2,A,1,1,christian-webster-1,Christian Webster,2012
4,62,4,2011-11-24,Harvard,N,Utah,REG (Non-Conf),W 75-47,*,19,2,7,0.286,2,6,0.333,0,1,0.0,0.429,2,2,1.0,1,2,3,2,3,0,0,0,8,9.6,N,1,1,christian-webster-1,Christian Webster,2012
5,63,5,2011-11-25,Harvard,N,Florida State,REG (Non-Conf),W 46-41,*,18,1,9,0.111,1,6,0.167,0,3,0.0,0.167,0,0,,1,1,2,0,2,0,2,1,3,-2.3,N,1,1,christian-webster-1,Christian Webster,2012
6,64,6,2011-11-26,Harvard,N,UCF,REG (Non-Conf),W 59-49,*,21,2,7,0.286,2,4,0.5,0,3,0.0,0.429,0,0,,2,0,2,0,0,1,2,2,6,1.2,N,1,1,christian-webster-1,Christian Webster,2012
7,65,7,2011-12-01,Harvard,@,Vermont,REG (Non-Conf),W 55-48,*,22,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,2,2,0,0,0,2,1,3,0.2,A,1,1,christian-webster-1,Christian Webster,2012
8,66,8,2011-12-04,Harvard,,Seattle,REG (Non-Conf),W 80-70,*,16,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,2,2,1,0,0,1,0,7,3.6,H,1,1,christian-webster-1,Christian Webster,2012
9,67,9,2011-12-08,Harvard,@,Connecticut,REG (Non-Conf),L 53-67,*,24,3,8,0.375,2,6,0.333,1,2,0.5,0.5,0,0,,2,1,3,2,1,0,1,0,8,6.7,A,0,1,christian-webster-1,Christian Webster,2012
10,68,10,2011-12-10,Harvard,@,Boston University,REG (Non-Conf),W 76-52,*,31,6,10,0.6,2,4,0.5,4,6,0.667,0.7,0,0,,1,3,4,2,0,0,0,1,14,12.0,A,1,1,christian-webster-1,Christian Webster,2012
11,69,11,2011-12-22,Harvard,,Florida Atlantic,REG (Non-Conf),W 63-51,*,25,2,5,0.4,1,2,0.5,1,3,0.333,0.5,3,4,0.75,1,2,3,1,0,0,0,1,8,6.5,H,1,1,christian-webster-1,Christian Webster,2012
12,70,12,2011-12-29,Harvard,@,Boston College,REG (Non-Conf),W 67-46,*,28,4,10,0.4,1,3,0.333,3,7,0.429,0.45,1,1,1.0,1,1,2,3,2,0,0,0,10,9.7,A,1,1,christian-webster-1,Christian Webster,2012
13,71,13,2011-12-31,Harvard,,Saint Joseph's,REG (Non-Conf),W 74-69,*,20,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,2,2,0,0,0,0,2,7,3.1,H,1,1,christian-webster-1,Christian Webster,2012
14,72,14,2012-01-03,Harvard,@,Fordham,REG (Non-Conf),L 54-60,*,17,1,7,0.143,0,5,0.0,1,2,0.5,0.143,0,0,,0,2,2,0,0,0,1,0,2,-2.9,A,0,1,christian-webster-1,Christian Webster,2012
15,73,15,2012-01-07,Harvard,,Dartmouth,REG (Conf),W 63-47,*,22,2,5,0.4,1,4,0.25,1,1,1.0,0.5,2,2,1.0,1,2,3,1,0,0,1,0,7,5.3,H,1,1,christian-webster-1,Christian Webster,2012
16,74,18,2012-01-21,Harvard,@,Dartmouth,REG (Conf),W 54-38,,15,3,4,0.75,2,3,0.667,1,1,1.0,1.0,0,0,,1,1,2,0,0,0,1,2,8,5.6,A,1,1,christian-webster-1,Christian Webster,2012
17,75,19,2012-01-27,Harvard,@,Yale,REG (Conf),W 65-35,,16,1,4,0.25,0,1,0.0,1,3,0.333,0.25,2,2,1.0,0,3,3,0,0,0,0,0,4,2.5,A,1,1,christian-webster-1,Christian Webster,2012
18,76,20,2012-01-28,Harvard,@,Brown,REG (Conf),W 68-59,,8,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,0,1,1,1,-0.8,A,1,1,christian-webster-1,Christian Webster,2012
19,77,21,2012-02-03,Harvard,,Cornell,REG (Conf),W 71-60,,16,2,5,0.4,2,3,0.667,0,2,0.0,0.6,0,0,,0,4,4,0,0,0,1,0,6,3.5,H,1,1,christian-webster-1,Christian Webster,2012
20,78,22,2012-02-04,Harvard,,Columbia,REG (Conf),W 57-52,,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,H,1,1,christian-webster-1,Christian Webster,2012
21,79,23,2012-02-10,Harvard,@,Pennsylvania,REG (Conf),W 56-50,,9,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,1,1,2,1,0,0,0,1,0,-0.1,A,1,1,christian-webster-1,Christian Webster,2012
22,80,24,2012-02-11,Harvard,@,Princeton,REG (Conf),L 62-70,,13,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,,1,0,1,1,0,0,1,1,2,-0.4,A,0,1,christian-webster-1,Christian Webster,2012
23,81,25,2012-02-17,Harvard,,Brown,REG (Conf),W 69-42,,18,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,0,3,3,2,0,0,1,0,5,2.2,H,1,1,christian-webster-1,Christian Webster,2012
24,82,26,2012-02-18,Harvard,,Yale,REG (Conf),W 66-51,,17,0,0,,0,0,,0,0,,,1,2,0.5,0,2,2,1,0,0,1,0,1,0.9,H,1,1,christian-webster-1,Christian Webster,2012
25,83,27,2012-02-24,Harvard,,Princeton,REG (Conf),W 67-64,,8,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,1,1,1,0,0,0,0,0,-0.4,H,1,1,christian-webster-1,Christian Webster,2012
26,84,28,2012-02-25,Harvard,,Pennsylvania,REG (Conf),L 54-55,,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,H,0,1,christian-webster-1,Christian Webster,2012
27,85,29,2012-03-02,Harvard,@,Columbia,REG (Conf),W 77-70 (OT),,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,A,1,1,christian-webster-1,Christian Webster,2012
28,86,30,2012-03-03,Harvard,@,Cornell,REG (Conf),W 67-63,,21,2,4,0.5,2,3,0.667,0,1,0.0,0.75,0,0,,0,1,1,0,0,0,2,1,6,1.9,A,1,1,christian-webster-1,Christian Webster,2012
29,87,31,2012-03-15,Harvard,N,Vanderbilt,ROUND-64,L 70-79,,20,2,7,0.286,1,6,0.167,1,1,1.0,0.357,0,0,,1,1,2,1,1,0,0,1,5,3.2,N,0,0,christian-webster-1,Christian Webster,2012
