rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,58,1,2011-11-11,St. Bonaventure,,Cornell,REG (Non-Conf),W 79-58,*,31,3,5,0.6,1,2,0.5,2,3,0.667,0.7,2,2,1.0,0,4,4,1,0,0,1,4,9,6.0,H,1,1,demitrius-conger-1,Demitrius Conger,2012
2,59,2,2011-11-18,St. Bonaventure,@,Cleveland State,REG (Non-Conf),L 64-67,*,35,4,5,0.8,0,1,0.0,4,4,1.0,0.8,0,0,,3,3,6,2,0,0,2,0,8,8.5,A,0,1,demitrius-conger-1,Demitrius Conger,2012
3,60,3,2011-11-21,St. Bonaventure,@,Siena,REG (Non-Conf),W 64-58,*,32,5,10,0.5,2,4,0.5,3,6,0.5,0.6,3,3,1.0,4,4,8,2,1,1,3,1,15,13.7,A,1,1,demitrius-conger-1,Demitrius Conger,2012
4,61,4,2011-11-27,St. Bonaventure,@,Virginia Tech,REG (Non-Conf),L 64-73,*,33,8,10,0.8,1,3,0.333,7,7,1.0,0.85,6,6,1.0,4,2,6,2,1,0,5,4,23,18.4,A,0,1,demitrius-conger-1,Demitrius Conger,2012
5,62,5,2011-12-01,St. Bonaventure,,Arkansas State,REG (Non-Conf),L 52-58,*,29,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,1,0.0,1,1,2,2,0,0,2,3,6,1.8,H,0,1,demitrius-conger-1,Demitrius Conger,2012
6,63,6,2011-12-03,St. Bonaventure,@,Buffalo,REG (Non-Conf),W 66-60,*,32,4,8,0.5,1,1,1.0,3,7,0.429,0.563,2,2,1.0,2,3,5,1,2,1,3,2,11,8.9,A,1,1,demitrius-conger-1,Demitrius Conger,2012
7,64,7,2011-12-07,St. Bonaventure,@,Illinois,REG (Non-Conf),L 43-48,*,31,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,0,,1,1,2,1,0,0,3,3,6,0.5,A,0,1,demitrius-conger-1,Demitrius Conger,2012
8,65,8,2011-12-10,St. Bonaventure,,Canisius,REG (Non-Conf),W 81-62,*,30,2,8,0.25,0,3,0.0,2,5,0.4,0.25,5,6,0.833,3,5,8,4,0,0,2,2,9,7.4,H,1,1,demitrius-conger-1,Demitrius Conger,2012
9,66,9,2011-12-18,St. Bonaventure,,Loyola (MD),REG (Non-Conf),W 76-66,*,38,6,8,0.75,1,3,0.333,5,5,1.0,0.813,7,11,0.636,2,2,4,5,0,0,1,2,20,18.9,H,1,1,demitrius-conger-1,Demitrius Conger,2012
10,67,10,2011-12-20,St. Bonaventure,N,NC State,REG (Non-Conf),L 65-67,*,36,4,9,0.444,3,5,0.6,1,4,0.25,0.611,5,6,0.833,2,2,4,1,0,0,2,3,16,10.4,N,0,1,demitrius-conger-1,Demitrius Conger,2012
11,68,11,2011-12-23,St. Bonaventure,,Saint Francis (PA),REG (Non-Conf),W 82-58,*,37,6,10,0.6,0,1,0.0,6,9,0.667,0.6,5,9,0.556,4,1,5,2,0,0,3,2,17,11.5,H,1,1,demitrius-conger-1,Demitrius Conger,2012
12,69,12,2011-12-30,St. Bonaventure,@,Niagara,REG (Non-Conf),W 72-70,*,40,8,10,0.8,0,1,0.0,8,9,0.889,0.8,11,13,0.846,7,4,11,0,0,0,2,3,27,25.3,A,1,1,demitrius-conger-1,Demitrius Conger,2012
13,70,13,2012-01-04,St. Bonaventure,,George Washington,REG (Conf),W 66-56,*,33,4,5,0.8,1,1,1.0,3,4,0.75,0.9,2,2,1.0,2,2,4,3,1,1,3,2,11,11.1,H,1,1,demitrius-conger-1,Demitrius Conger,2012
14,71,14,2012-01-07,St. Bonaventure,@,Duquesne,REG (Conf),L 52-66,*,35,2,8,0.25,1,3,0.333,1,5,0.2,0.313,3,4,0.75,1,8,9,1,2,0,4,4,8,3.0,A,0,1,demitrius-conger-1,Demitrius Conger,2012
15,72,15,2012-01-11,St. Bonaventure,,Dayton,REG (Conf),W 81-73,*,39,5,6,0.833,2,3,0.667,3,3,1.0,1.0,2,2,1.0,0,7,7,4,2,0,2,4,14,15.1,H,1,1,demitrius-conger-1,Demitrius Conger,2012
16,73,16,2012-01-14,St. Bonaventure,@,Xavier,REG (Conf),L 64-77,*,34,3,9,0.333,0,3,0.0,3,6,0.5,0.333,2,3,0.667,2,2,4,3,0,0,2,3,8,3.4,A,0,1,demitrius-conger-1,Demitrius Conger,2012
17,74,17,2012-01-21,St. Bonaventure,,Fordham,REG (Conf),W 95-51,*,27,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,0,,3,3,6,4,1,0,2,2,2,2.9,H,1,1,demitrius-conger-1,Demitrius Conger,2012
18,75,18,2012-01-25,St. Bonaventure,@,Rhode Island,REG (Conf),W 72-66 (OT),*,36,4,13,0.308,0,4,0.0,4,9,0.444,0.308,3,5,0.6,3,3,6,2,1,0,0,1,11,7.7,A,1,1,demitrius-conger-1,Demitrius Conger,2012
19,76,19,2012-01-28,St. Bonaventure,,Richmond,REG (Conf),W 62-47,*,29,3,7,0.429,1,2,0.5,2,5,0.4,0.5,3,5,0.6,3,3,6,2,1,1,2,3,10,8.4,H,1,1,demitrius-conger-1,Demitrius Conger,2012
20,77,20,2012-02-01,St. Bonaventure,@,Saint Louis,REG (Conf),L 62-86,*,36,4,5,0.8,1,2,0.5,3,3,1.0,0.9,4,4,1.0,0,2,2,2,1,0,4,1,13,9.7,A,0,1,demitrius-conger-1,Demitrius Conger,2012
21,78,21,2012-02-08,St. Bonaventure,@,Massachusetts,REG (Conf),L 67-76,*,29,3,7,0.429,0,1,0.0,3,6,0.5,0.429,3,3,1.0,1,4,5,1,2,0,3,2,9,6.1,A,0,1,demitrius-conger-1,Demitrius Conger,2012
22,79,22,2012-02-11,St. Bonaventure,,Duquesne,REG (Conf),W 69-48,*,34,4,10,0.4,0,1,0.0,4,9,0.444,0.4,1,2,0.5,7,1,8,2,1,2,1,1,9,10.8,H,1,1,demitrius-conger-1,Demitrius Conger,2012
23,80,23,2012-02-15,St. Bonaventure,,Temple,REG (Conf),L 70-76,*,29,1,6,0.167,0,3,0.0,1,3,0.333,0.167,6,6,1.0,3,3,6,2,1,1,2,2,8,7.5,H,0,1,demitrius-conger-1,Demitrius Conger,2012
24,81,24,2012-02-18,St. Bonaventure,,Rhode Island,REG (Conf),W 81-61,*,26,3,5,0.6,2,3,0.667,1,2,0.5,0.8,2,2,1.0,2,5,7,1,1,0,0,1,10,11.9,H,1,1,demitrius-conger-1,Demitrius Conger,2012
25,82,25,2012-02-22,St. Bonaventure,@,Fordham,REG (Conf),W 89-63,*,27,4,6,0.667,2,2,1.0,2,4,0.5,0.833,3,3,1.0,2,3,5,0,1,1,0,0,13,14.4,A,1,1,demitrius-conger-1,Demitrius Conger,2012
26,83,26,2012-02-25,St. Bonaventure,@,Charlotte,REG (Conf),W 72-56,*,36,3,9,0.333,2,2,1.0,1,7,0.143,0.444,4,4,1.0,5,6,11,5,1,1,3,1,12,14.0,A,1,1,demitrius-conger-1,Demitrius Conger,2012
27,84,27,2012-02-29,St. Bonaventure,,Saint Joseph's,REG (Conf),W 98-93 (2OT),*,42,4,8,0.5,1,1,1.0,3,7,0.429,0.563,7,10,0.7,6,4,10,6,1,0,2,1,16,19.0,H,1,1,demitrius-conger-1,Demitrius Conger,2012
28,85,28,2012-03-03,St. Bonaventure,@,La Salle,REG (Conf),L 61-71,*,36,7,12,0.583,3,6,0.5,4,6,0.667,0.708,1,2,0.5,4,5,9,1,0,0,6,5,18,9.0,A,0,1,demitrius-conger-1,Demitrius Conger,2012
29,86,29,2012-03-09,St. Bonaventure,N,Saint Joseph's,CTOURN,W 71-68,*,33,4,7,0.571,0,1,0.0,4,6,0.667,0.571,0,0,,1,2,3,2,0,1,0,2,8,7.3,N,1,0,demitrius-conger-1,Demitrius Conger,2012
30,87,30,2012-03-10,St. Bonaventure,N,Massachusetts,CTOURN,W 84-80,*,38,7,12,0.583,1,5,0.2,6,7,0.857,0.625,7,9,0.778,4,6,10,8,0,0,3,1,22,22.4,N,1,0,demitrius-conger-1,Demitrius Conger,2012
31,88,31,2012-03-11,St. Bonaventure,N,Xavier,CTOURN,W 67-56,*,39,2,10,0.2,0,2,0.0,2,8,0.25,0.2,1,1,1.0,4,3,7,0,0,0,0,1,5,2.1,N,1,0,demitrius-conger-1,Demitrius Conger,2012
32,89,32,2012-03-16,St. Bonaventure,N,Florida State,ROUND-64,L 63-66,*,31,3,8,0.375,2,5,0.4,1,3,0.333,0.5,6,6,1.0,5,4,9,2,3,0,3,2,14,14.9,N,0,0,demitrius-conger-1,Demitrius Conger,2012
