rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,60,1,2011-11-11,Kansas,,Towson,REG (Non-Conf),W 100-54,*,29,3,8,0.375,2,7,0.286,1,1,1.0,0.5,0,0,,0,3,3,8,3,0,0,2,8,12.3,H,1,1,elijah-johnson-1,Elijah Johnson,2012
2,61,2,2011-11-15,Kansas,N,Kentucky,REG (Non-Conf),L 65-75,*,32,3,11,0.273,1,4,0.25,2,7,0.286,0.318,1,2,0.5,1,0,1,4,3,0,1,4,8,5.0,N,0,1,elijah-johnson-1,Elijah Johnson,2012
3,62,3,2011-11-21,Kansas,N,Georgetown,REG (Non-Conf),W 67-63,*,38,4,9,0.444,1,6,0.167,3,3,1.0,0.5,0,0,,0,3,3,5,1,0,2,2,9,6.9,N,1,1,elijah-johnson-1,Elijah Johnson,2012
4,63,4,2011-11-22,Kansas,N,UCLA,REG (Non-Conf),W 72-56,*,38,8,13,0.615,4,8,0.5,4,5,0.8,0.769,3,4,0.75,1,3,4,1,2,0,3,2,23,17.2,N,1,1,elijah-johnson-1,Elijah Johnson,2012
5,64,5,2011-11-23,Kansas,N,Duke,REG (Non-Conf),L 61-68,*,32,3,7,0.429,2,5,0.4,1,2,0.5,0.571,2,2,1.0,0,0,0,1,1,0,2,3,10,4.8,N,0,1,elijah-johnson-1,Elijah Johnson,2012
6,65,6,2011-11-30,Kansas,,Florida Atlantic,REG (Non-Conf),W 77-54,*,27,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,,1,3,4,3,1,1,7,2,0,-5.2,H,1,1,elijah-johnson-1,Elijah Johnson,2012
7,66,7,2011-12-03,Kansas,,South Florida,REG (Non-Conf),W 70-42,*,20,2,9,0.222,1,8,0.125,1,1,1.0,0.278,0,0,,0,4,4,3,0,0,0,0,5,2.8,H,1,1,elijah-johnson-1,Elijah Johnson,2012
8,67,8,2011-12-06,Kansas,,Long Beach State,REG (Non-Conf),W 88-80,*,23,2,6,0.333,1,3,0.333,1,3,0.333,0.417,1,1,1.0,0,3,3,5,1,0,4,5,6,2.0,H,1,1,elijah-johnson-1,Elijah Johnson,2012
9,68,9,2011-12-10,Kansas,,Ohio State,REG (Non-Conf),W 78-67,*,37,5,8,0.625,5,7,0.714,0,1,0.0,0.938,0,0,,0,2,2,1,0,0,2,0,15,10.7,H,1,1,elijah-johnson-1,Elijah Johnson,2012
10,69,10,2011-12-19,Kansas,N,Davidson,REG (Non-Conf),L 74-80,*,34,6,13,0.462,3,10,0.3,3,3,1.0,0.577,0,0,,0,2,2,6,0,0,1,3,15,10.9,N,0,1,elijah-johnson-1,Elijah Johnson,2012
