rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,88,1,2011-11-11,San Diego State,,Bryant,REG (Non-Conf),W 75-63,*,30,7,10,0.7,0,0,,7,10,0.7,0.7,0,2,0.0,5,6,11,3,1,1,1,2,14,16.3,H,1,1,garrett-green-1,Garrett Green,2012
2,89,2,2011-11-12,San Diego State,,Southern Utah,REG (Non-Conf),W 70-37,*,27,3,4,0.75,0,0,,3,4,0.75,0.75,3,5,0.6,4,7,11,0,2,0,5,4,9,6.9,H,1,1,garrett-green-1,Garrett Green,2012
3,90,3,2011-11-13,San Diego State,,UC Davis,REG (Non-Conf),W 89-74,*,26,3,7,0.429,0,1,0.0,3,6,0.5,0.429,0,2,0.0,1,4,5,0,0,1,0,0,6,4.1,H,1,1,garrett-green-1,Garrett Green,2012
4,91,4,2011-11-15,San Diego State,@,Baylor,REG (Non-Conf),L 67-77,*,15,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,1,2,0,2,0,3,3,0,-2.6,A,0,1,garrett-green-1,Garrett Green,2012
5,92,5,2011-11-17,San Diego State,,Southern California,REG (Non-Conf),W 56-54,*,22,3,6,0.5,0,0,,3,6,0.5,0.5,2,2,1.0,0,5,5,0,0,0,2,0,8,4.5,H,1,1,garrett-green-1,Garrett Green,2012
6,93,6,2011-11-19,San Diego State,,Long Beach State,REG (Non-Conf),W 77-73 (OT),*,21,3,4,0.75,0,0,,3,4,0.75,0.75,2,3,0.667,3,4,7,0,1,1,1,0,8,10.0,H,1,1,garrett-green-1,Garrett Green,2012
7,94,7,2011-11-23,San Diego State,@,Arizona,REG (Non-Conf),W 61-57,*,25,1,5,0.2,0,0,,1,5,0.2,0.2,0,0,,0,7,7,1,0,0,0,0,2,1.7,A,1,1,garrett-green-1,Garrett Green,2012
8,95,8,2011-11-26,San Diego State,@,UC Santa Barbara,REG (Non-Conf),W 76-75 (OT),*,23,4,6,0.667,0,0,,4,6,0.667,0.667,5,12,0.417,3,6,9,0,0,0,0,0,13,11.5,A,1,1,garrett-green-1,Garrett Green,2012
9,96,9,2011-11-30,San Diego State,,Creighton,REG (Non-Conf),L 83-85,*,23,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,3,4,7,1,0,0,2,3,4,2.8,H,0,1,garrett-green-1,Garrett Green,2012
10,97,10,2011-12-04,San Diego State,,California,REG (Non-Conf),W 64-63,*,29,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,0,,3,7,10,0,0,0,3,3,6,3.0,H,1,1,garrett-green-1,Garrett Green,2012
11,98,11,2011-12-07,San Diego State,@,San Diego,REG (Non-Conf),W 74-62,*,22,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,5,5,2,0,0,0,0,2,2.5,A,1,1,garrett-green-1,Garrett Green,2012
12,99,12,2011-12-19,San Diego State,,UC Riverside,REG (Non-Conf),W 80-55,*,25,4,7,0.571,0,0,,4,7,0.571,0.571,1,2,0.5,1,3,4,3,1,0,2,0,9,8.0,H,1,1,garrett-green-1,Garrett Green,2012
13,100,13,2011-12-22,San Diego State,,Elon,REG (Non-Conf),W 81-55,*,24,5,8,0.625,0,0,,5,8,0.625,0.625,0,1,0.0,3,2,5,1,0,1,0,1,10,9.7,H,1,1,garrett-green-1,Garrett Green,2012
14,101,14,2011-12-30,San Diego State,,Redlands,REG (Non-Conf),W 94-43,,22,5,7,0.714,0,0,,5,7,0.714,0.714,0,5,0.0,3,4,7,1,0,1,0,1,10,9.4,H,1,1,garrett-green-1,Garrett Green,2012
15,102,15,2012-01-05,San Diego State,,San Diego Christ,REG (Non-Conf),W 83-52,*,26,2,4,0.5,0,0,,2,4,0.5,0.5,10,14,0.714,3,1,4,2,1,0,1,1,14,13.8,H,1,1,garrett-green-1,Garrett Green,2012
16,103,16,2012-01-10,San Diego State,,Chicago State,REG (Non-Conf),W 73-65,*,20,0,0,,0,0,,0,0,,,2,3,0.667,1,2,3,0,0,0,2,1,2,0.5,H,1,1,garrett-green-1,Garrett Green,2012
17,104,17,2012-01-14,San Diego State,,UNLV,REG (Conf),W 69-67,,13,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,3,3,2,1,1,0,1,2,5.3,H,1,1,garrett-green-1,Garrett Green,2012
