rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,89,1,2011-11-12,New Mexico State,@,Northern Colorado,REG (Non-Conf),W 89-75,*,21,2,2,1.0,0,0,2,2,1.0,1.0,2,6,0.333,3,5,8,0,0,0,2,3,6,4.2,A,1,1,hamidu-rahman-1,Hamidu Rahman,2012
2,90,2,2011-11-16,New Mexico State,@,New Mexico,REG (Non-Conf),W 62-53,*,25,1,1,1.0,0,0,1,1,1.0,1.0,8,16,0.5,0,5,5,1,0,0,1,3,10,6.5,A,1,1,hamidu-rahman-1,Hamidu Rahman,2012
3,91,3,2011-11-19,New Mexico State,,UTEP,REG (Non-Conf),W 89-73,*,20,0,1,0.0,0,0,0,1,0.0,0.0,0,4,0.0,3,5,8,0,1,1,1,4,0,0.4,H,1,1,hamidu-rahman-1,Hamidu Rahman,2012
4,92,4,2011-11-24,New Mexico State,N,Central Michigan,REG (Non-Conf),W 78-49,*,18,2,4,0.5,0,0,2,4,0.5,0.5,5,8,0.625,5,4,9,0,0,0,1,2,9,8.7,N,1,1,hamidu-rahman-1,Hamidu Rahman,2012
5,93,5,2011-11-25,New Mexico State,N,Southern Mississippi,REG (Non-Conf),L 72-80,*,20,3,3,1.0,0,0,3,3,1.0,1.0,0,2,0.0,0,5,5,0,0,0,0,2,6,5.0,N,0,1,hamidu-rahman-1,Hamidu Rahman,2012
6,94,6,2011-11-26,New Mexico State,N,San Francisco,REG (Non-Conf),W 81-71,*,29,3,6,0.5,0,0,3,6,0.5,0.5,4,4,1.0,2,4,6,3,0,0,1,2,10,9.9,N,1,1,hamidu-rahman-1,Hamidu Rahman,2012
7,95,7,2011-11-29,New Mexico State,,Arizona,REG (Non-Conf),L 76-83,*,20,6,12,0.5,0,0,6,12,0.5,0.5,1,2,0.5,6,2,8,0,0,0,0,2,13,10.6,H,0,1,hamidu-rahman-1,Hamidu Rahman,2012
8,96,8,2011-12-04,New Mexico State,@,Southern Mississippi,REG (Non-Conf),L 66-74,*,26,3,4,0.75,0,0,3,4,0.75,0.75,0,2,0.0,1,4,5,0,0,1,1,2,6,4.4,A,0,1,hamidu-rahman-1,Hamidu Rahman,2012
9,97,9,2011-12-11,New Mexico State,@,UTEP,REG (Non-Conf),L 69-73,*,19,1,2,0.5,0,0,1,2,0.5,0.5,6,10,0.6,2,2,4,1,0,0,0,3,8,6.9,A,0,1,hamidu-rahman-1,Hamidu Rahman,2012
10,98,10,2011-12-14,New Mexico State,,Western N.M.,REG (Non-Conf),W 92-65,*,18,5,6,0.833,0,0,5,6,0.833,0.833,3,7,0.429,5,8,13,0,0,0,3,1,13,11.7,H,1,1,hamidu-rahman-1,Hamidu Rahman,2012
11,99,11,2011-12-19,New Mexico State,,Southern,REG (Non-Conf),W 91-66,*,20,7,10,0.7,0,0,7,10,0.7,0.7,2,5,0.4,5,4,9,1,1,2,1,4,16,15.8,H,1,1,hamidu-rahman-1,Hamidu Rahman,2012
12,100,12,2011-12-21,New Mexico State,,McNeese State,REG (Non-Conf),W 82-62,*,21,2,3,0.667,0,0,2,3,0.667,0.667,5,12,0.417,2,4,6,0,0,0,2,2,9,4.7,H,1,1,hamidu-rahman-1,Hamidu Rahman,2012
13,101,13,2011-12-28,New Mexico State,,New Mexico,REG (Non-Conf),L 69-89,*,20,6,8,0.75,0,0,6,8,0.75,0.75,7,11,0.636,4,2,6,0,0,1,3,3,19,14.1,H,0,1,hamidu-rahman-1,Hamidu Rahman,2012
