rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,36,1,2011-11-11,Belmont,@,Duke,REG (Non-Conf),L 76-77,,26,5,12,0.417,1,6,0.167,4,6,0.667,0.458,1,1,1.0,1,2,3,1,2,0,1,1,12,8.2,A,0,1,jj-mann-1,J.J. Mann,2012
2,37,2,2011-11-15,Belmont,@,Memphis,REG (Non-Conf),L 81-97,*,31,7,15,0.467,3,7,0.429,4,8,0.5,0.567,1,2,0.5,2,2,4,1,2,0,2,2,18,11.8,A,0,1,jj-mann-1,J.J. Mann,2012
3,38,3,2011-11-19,Belmont,N,Towson,REG (Non-Conf),W 87-41,,16,4,7,0.571,2,4,0.5,2,3,0.667,0.714,3,3,1.0,0,1,1,1,2,0,0,1,13,12.3,N,1,1,jj-mann-1,J.J. Mann,2012
4,39,4,2011-11-20,Belmont,@,Middle Tennessee,REG (Non-Conf),W 87-84 (2OT),,36,8,13,0.615,3,7,0.429,5,6,0.833,0.731,0,1,0.0,2,4,6,3,2,0,1,3,19,17.2,A,1,1,jj-mann-1,J.J. Mann,2012
5,40,5,2011-11-28,Belmont,,Trevecca-Naz,REG (Non-Conf),W 86-61,,22,3,10,0.3,1,8,0.125,2,2,1.0,0.35,0,0,,1,2,3,1,2,0,2,2,7,2.4,H,1,1,jj-mann-1,J.J. Mann,2012
6,41,6,2011-12-01,Belmont,,Kennesaw State,REG (Conf),W 98-52,,24,6,9,0.667,5,7,0.714,1,2,0.5,0.944,0,0,,1,0,1,2,1,0,1,1,17,14.8,H,1,1,jj-mann-1,J.J. Mann,2012
7,42,7,2011-12-03,Belmont,,Mercer,REG (Conf),W 82-78,,25,2,7,0.286,0,3,0.0,2,4,0.5,0.286,2,3,0.667,0,2,2,2,0,0,0,2,6,2.7,H,1,1,jj-mann-1,J.J. Mann,2012
8,43,8,2011-12-06,Belmont,,Tennessee State,REG (Non-Conf),W 75-62,,29,4,10,0.4,3,7,0.429,1,3,0.333,0.55,0,2,0.0,3,6,9,1,1,0,0,2,11,9.6,H,1,1,jj-mann-1,J.J. Mann,2012
9,44,9,2011-12-13,Belmont,@,Middle Tennessee,REG (Non-Conf),L 62-65,,19,0,5,0.0,0,4,0.0,0,1,0.0,0.0,0,0,,1,2,3,3,0,0,3,2,0,-3.9,A,0,1,jj-mann-1,J.J. Mann,2012
10,45,10,2011-12-15,Belmont,,Troy,REG (Non-Conf),W 78-55,,23,6,14,0.429,2,7,0.286,4,7,0.571,0.5,0,0,,2,2,4,2,1,0,0,3,14,9.8,H,1,1,jj-mann-1,J.J. Mann,2012
11,46,11,2011-12-17,Belmont,@,Miami (OH),REG (Non-Conf),L 61-66,,23,6,8,0.75,1,3,0.333,5,5,1.0,0.813,0,0,,3,3,6,0,1,0,0,0,13,13.8,A,0,1,jj-mann-1,J.J. Mann,2012
12,47,12,2011-12-19,Belmont,@,Marshall,REG (Non-Conf),L 86-87,,24,3,7,0.429,2,5,0.4,1,2,0.5,0.571,3,3,1.0,1,3,4,1,1,0,3,4,11,6.0,A,0,1,jj-mann-1,J.J. Mann,2012
13,48,13,2011-12-21,Belmont,@,Austin Peay,REG (Non-Conf),W 77-67,,21,2,6,0.333,0,2,0.0,2,4,0.5,0.333,2,2,1.0,1,3,4,0,0,0,3,2,6,0.4,A,1,1,jj-mann-1,J.J. Mann,2012
14,49,14,2011-12-29,Belmont,,Marshall,REG (Non-Conf),W 79-74,,23,4,8,0.5,1,2,0.5,3,6,0.5,0.563,0,0,,1,2,3,2,0,0,1,4,9,5.1,H,1,1,jj-mann-1,J.J. Mann,2012
15,50,15,2012-01-02,Belmont,@,North Florida,REG (Conf),W 83-53,,24,4,7,0.571,2,2,1.0,2,5,0.4,0.714,3,3,1.0,0,4,4,1,1,0,2,0,13,10.6,A,1,1,jj-mann-1,J.J. Mann,2012
16,51,16,2012-01-04,Belmont,@,Jacksonville,REG (Conf),W 75-63,,25,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1.0,1,0,1,1,0,0,1,1,6,4.7,A,1,1,jj-mann-1,J.J. Mann,2012
17,52,17,2012-01-06,Belmont,,Lipscomb,REG (Conf),L 74-85,,22,4,14,0.286,2,11,0.182,2,3,0.667,0.357,0,0,,1,1,2,3,1,0,1,2,10,4.1,H,0,1,jj-mann-1,J.J. Mann,2012
18,53,18,2012-01-14,Belmont,,Stetson,REG (Conf),W 84-71,,18,1,4,0.25,0,3,0.0,1,1,1.0,0.25,3,4,0.75,0,1,1,0,3,0,0,1,5,5.1,H,1,1,jj-mann-1,J.J. Mann,2012
19,54,19,2012-01-16,Belmont,,Florida Gulf Coast,REG (Conf),W 95-53,,17,4,7,0.571,2,4,0.5,2,3,0.667,0.714,2,2,1.0,1,0,1,0,0,0,0,0,12,9.4,H,1,1,jj-mann-1,J.J. Mann,2012
