rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,67,1,2011-11-11,Creighton,,North Carolina A&T,REG (Non-Conf),W 97-65,,14,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,2,1,3,4,1,0,0,1,5,7.0,H,1,1,josh-jones-1,Josh Jones,2012
2,68,2,2011-11-13,Creighton,,Chicago State,REG (Non-Conf),W 95-61,,13,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,3,3,4,2,0,1,1,3,5.6,H,1,1,josh-jones-1,Josh Jones,2012
3,69,3,2011-11-16,Creighton,@,UAB,REG (Non-Conf),W 70-60,,13,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,1,0,1,1,0,-1.5,A,1,1,josh-jones-1,Josh Jones,2012
4,70,4,2011-11-20,Creighton,N,Iowa,REG (Non-Conf),W 82-59,,16,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,0,2,2,3,0,0,2,1,7,5.0,N,1,1,josh-jones-1,Josh Jones,2012
5,71,5,2011-11-25,Creighton,,Campbell,REG (Non-Conf),W 104-81,,15,3,6,0.5,2,4,0.5,1,2,0.5,0.667,0,2,0.0,0,1,1,1,1,0,1,1,8,4.8,H,1,1,josh-jones-1,Josh Jones,2012
6,72,6,2011-11-30,Creighton,@,San Diego State,REG (Non-Conf),W 85-83,,8,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,2,2,0,0,0,0,3,0,-2.0,A,1,1,josh-jones-1,Josh Jones,2012
7,73,7,2011-12-04,Creighton,,Nebraska,REG (Non-Conf),W 76-66,,13,2,3,0.667,0,0,,2,3,0.667,0.667,1,1,1.0,0,2,2,2,1,0,1,1,5,5.3,H,1,1,josh-jones-1,Josh Jones,2012
8,74,8,2011-12-10,Creighton,@,Saint Joseph's,REG (Non-Conf),L 71-80,,11,1,4,0.25,1,1,1.0,0,3,0.0,0.375,0,0,,0,1,1,3,1,0,3,1,3,0.6,A,0,1,josh-jones-1,Josh Jones,2012
9,75,9,2011-12-17,Creighton,,Houston Baptist,REG (Non-Conf),W 97-62,,18,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,2,0.0,0,2,2,4,2,0,1,0,5,7.3,H,1,1,josh-jones-1,Josh Jones,2012
10,76,10,2011-12-19,Creighton,@,Tulsa,REG (Non-Conf),W 83-64,,11,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,1,1,0,1,0,0,1,2,1.2,A,1,1,josh-jones-1,Josh Jones,2012
11,77,11,2011-12-22,Creighton,,Northwestern,REG (Non-Conf),W 87-79,,10,2,2,1.0,2,2,1.0,0,0,,1.5,2,4,0.5,0,0,0,0,0,0,0,0,8,6.6,H,1,1,josh-jones-1,Josh Jones,2012
12,78,12,2011-12-28,Creighton,,Missouri State,REG (Conf),L 65-77,,21,3,4,0.75,3,4,0.75,0,0,,1.125,2,2,1.0,1,1,2,3,0,0,0,1,11,12.1,H,0,1,josh-jones-1,Josh Jones,2012
13,79,13,2011-12-31,Creighton,@,Wichita State,REG (Conf),W 68-61,,28,3,8,0.375,2,5,0.4,1,3,0.333,0.5,0,0,,1,3,4,0,0,0,1,1,8,3.8,A,1,1,josh-jones-1,Josh Jones,2012
14,80,14,2012-01-03,Creighton,,Drake,REG (Conf),W 76-59,,19,1,3,0.333,1,2,0.5,0,1,0.0,0.5,1,2,0.5,0,3,3,1,1,0,2,1,4,2.1,H,1,1,josh-jones-1,Josh Jones,2012
15,81,15,2012-01-07,Creighton,@,Bradley,REG (Conf),W 92-83,,16,0,3,0.0,0,2,0.0,0,1,0.0,0.0,1,2,0.5,0,0,0,3,0,0,0,1,1,0.2,A,1,1,josh-jones-1,Josh Jones,2012
16,82,16,2012-01-10,Creighton,,Northern Iowa,REG (Conf),W 63-60,,19,2,3,0.667,2,3,0.667,0,0,,1.0,0,0,,0,0,0,2,0,0,1,2,6,4.3,H,1,1,josh-jones-1,Josh Jones,2012
17,83,17,2012-01-13,Creighton,@,Illinois State,REG (Conf),W 87-78,,21,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,0,3,3,1,1,0,0,1,2,1.8,A,1,1,josh-jones-1,Josh Jones,2012
18,84,18,2012-01-15,Creighton,,Southern Illinois,REG (Conf),W 90-71,,21,2,4,0.5,2,4,0.5,0,0,,0.75,2,3,0.667,0,3,3,2,0,0,0,0,8,7.9,H,1,1,josh-jones-1,Josh Jones,2012
19,85,19,2012-01-18,Creighton,@,Missouri State,REG (Conf),W 66-65,,17,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,4,4,2,0,0,2,1,3,1.5,A,1,1,josh-jones-1,Josh Jones,2012
20,86,20,2012-01-21,Creighton,,Indiana State,REG (Conf),W 75-49,,20,2,6,0.333,2,4,0.5,0,2,0.0,0.5,0,0,,0,3,3,2,0,0,1,0,6,3.9,H,1,1,josh-jones-1,Josh Jones,2012
21,87,21,2012-01-25,Creighton,@,Drake,REG (Conf),W 77-69,,10,0,2,0.0,0,2,0.0,0,0,,0.0,1,2,0.5,0,0,0,0,0,0,2,1,1,-3.2,A,1,1,josh-jones-1,Josh Jones,2012
22,88,22,2012-01-28,Creighton,,Bradley,REG (Conf),W 73-59,,25,3,6,0.5,3,5,0.6,0,1,0.0,0.75,5,7,0.714,0,3,3,4,2,0,1,1,14,14.5,H,1,1,josh-jones-1,Josh Jones,2012
23,89,23,2012-02-01,Creighton,,Illinois State,REG (Conf),W 102-74,,19,3,8,0.375,2,7,0.286,1,1,1.0,0.5,2,3,0.667,0,1,1,2,1,0,1,3,10,5.7,H,1,1,josh-jones-1,Josh Jones,2012
24,90,24,2012-02-04,Creighton,@,Northern Iowa,REG (Conf),L 62-65,,17,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,2,0,0,-3.1,A,0,1,josh-jones-1,Josh Jones,2012
25,91,25,2012-02-07,Creighton,@,Evansville,REG (Conf),L 57-65,,13,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,2,1,0,-4.2,A,0,1,josh-jones-1,Josh Jones,2012
26,92,26,2012-02-11,Creighton,,Wichita State,REG (Conf),L 68-89,,21,2,6,0.333,1,4,0.25,1,2,0.5,0.417,1,1,1.0,0,4,4,3,0,0,0,0,6,5.9,H,0,1,josh-jones-1,Josh Jones,2012
27,93,27,2012-02-14,Creighton,@,Southern Illinois,REG (Conf),W 88-69,,7,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,,1,0,1,1,0,0,3,1,5,1.7,A,1,1,josh-jones-1,Josh Jones,2012
