rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2011-11-11,Gonzaga,,Eastern Washington,REG (Non-Conf),W 77-69,,27,2,4,0.5,1,3,0.333,1,1,1.0,0.625,6,6,1.0,0,4,4,1,0,0,1,1,11,9.5,H,1,1,kevin-pangos-1,Kevin Pangos,2012
2,2,2,2011-11-14,Gonzaga,,Washington State,REG (Non-Conf),W 89-81,*,37,9,16,0.563,9,13,0.692,0,3,0.0,0.844,6,6,1.0,0,2,2,6,0,0,2,3,33,27.0,H,1,1,kevin-pangos-1,Kevin Pangos,2012
3,3,3,2011-11-19,Gonzaga,N,Hawaii,REG (Non-Conf),W 73-54,*,29,3,8,0.375,2,3,0.667,1,5,0.2,0.5,4,6,0.667,1,3,4,3,3,1,1,3,12,12.0,N,1,1,kevin-pangos-1,Kevin Pangos,2012
4,4,4,2011-11-26,Gonzaga,N,Western Michigan,REG (Non-Conf),W 78-58,*,24,2,4,0.5,1,3,0.333,1,1,1.0,0.625,2,4,0.5,0,2,2,2,1,0,2,0,7,5.2,N,1,1,kevin-pangos-1,Kevin Pangos,2012
5,5,5,2011-11-30,Gonzaga,,Notre Dame,REG (Non-Conf),W 73-53,*,28,4,10,0.4,2,7,0.286,2,3,0.667,0.5,2,2,1.0,0,1,1,1,0,0,1,1,12,6.2,H,1,1,kevin-pangos-1,Kevin Pangos,2012
6,6,6,2011-12-03,Gonzaga,@,Illinois,REG (Non-Conf),L 75-82,*,36,5,10,0.5,1,5,0.2,4,5,0.8,0.55,0,1,0.0,1,3,4,3,1,0,1,2,11,8.5,A,0,1,kevin-pangos-1,Kevin Pangos,2012
7,7,7,2011-12-10,Gonzaga,,Michigan State,REG (Non-Conf),L 67-74,*,32,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,,0,1,1,2,3,1,4,4,7,2.4,H,0,1,kevin-pangos-1,Kevin Pangos,2012
8,8,8,2011-12-15,Gonzaga,,Oral Roberts,REG (Non-Conf),W 67-61,*,31,2,9,0.222,2,8,0.25,0,1,0.0,0.333,8,8,1.0,0,1,1,7,1,0,1,1,14,13.3,H,1,1,kevin-pangos-1,Kevin Pangos,2012
9,9,9,2011-12-17,Gonzaga,N,Arizona,REG (Non-Conf),W 71-60,*,29,1,9,0.111,0,5,0.0,1,4,0.25,0.111,9,12,0.75,0,3,3,8,0,0,1,1,11,9.0,N,1,1,kevin-pangos-1,Kevin Pangos,2012
10,10,10,2011-12-20,Gonzaga,,Butler,REG (Non-Conf),W 71-55,*,35,7,11,0.636,3,7,0.429,4,4,1.0,0.773,2,2,1.0,1,3,4,2,1,0,3,1,19,14.7,H,1,1,kevin-pangos-1,Kevin Pangos,2012
11,11,11,2011-12-22,Gonzaga,,Air Force,REG (Non-Conf),W 70-60,*,38,7,14,0.5,6,12,0.5,1,2,0.5,0.714,3,3,1.0,0,4,4,2,1,0,0,1,23,19.2,H,1,1,kevin-pangos-1,Kevin Pangos,2012
12,12,12,2011-12-28,Gonzaga,,Portland,REG (Conf),W 90-51,*,21,6,8,0.75,5,7,0.714,1,1,1.0,1.063,2,2,1.0,0,1,1,2,1,0,1,0,19,17.5,H,1,1,kevin-pangos-1,Kevin Pangos,2012
13,13,13,2011-12-31,Gonzaga,@,Xavier,REG (Non-Conf),W 72-65,*,32,3,10,0.3,1,7,0.143,2,3,0.667,0.35,6,8,0.75,0,2,2,7,2,0,5,1,13,8.5,A,1,1,kevin-pangos-1,Kevin Pangos,2012
14,14,14,2012-01-05,Gonzaga,,Pepperdine,REG (Conf),W 73-45,*,23,4,10,0.4,2,7,0.286,2,3,0.667,0.5,1,1,1.0,0,1,1,2,3,0,0,1,11,9.9,H,1,1,kevin-pangos-1,Kevin Pangos,2012
15,15,15,2012-01-07,Gonzaga,,Santa Clara,REG (Conf),W 82-60,*,33,3,6,0.5,2,5,0.4,1,1,1.0,0.667,2,2,1.0,0,3,3,5,0,0,1,0,10,10.4,H,1,1,kevin-pangos-1,Kevin Pangos,2012
16,16,16,2012-01-12,Gonzaga,@,St. Mary's (CA),REG (Conf),L 62-83,*,36,4,9,0.444,3,6,0.5,1,3,0.333,0.611,1,2,0.5,0,0,0,4,0,0,0,2,12,8.9,A,0,1,kevin-pangos-1,Kevin Pangos,2012
17,17,17,2012-01-14,Gonzaga,@,Loyola Marymount,REG (Conf),W 62-58,*,36,1,6,0.167,1,4,0.25,0,2,0.0,0.25,6,6,1.0,0,4,4,3,0,0,4,2,9,3.7,A,1,1,kevin-pangos-1,Kevin Pangos,2012
18,18,18,2012-01-19,Gonzaga,,San Francisco,REG (Conf),W 74-63,*,38,4,11,0.364,1,5,0.2,3,6,0.5,0.409,3,4,0.75,1,6,7,4,3,0,2,2,12,11.0,H,1,1,kevin-pangos-1,Kevin Pangos,2012
19,19,19,2012-01-21,Gonzaga,,San Diego,REG (Conf),W 77-60,*,35,2,5,0.4,2,3,0.667,0,2,0.0,0.6,2,2,1.0,0,4,4,4,0,0,4,0,8,5.3,H,1,1,kevin-pangos-1,Kevin Pangos,2012
20,20,20,2012-01-26,Gonzaga,@,Portland,REG (Conf),W 74-62,*,37,4,13,0.308,0,6,0.0,4,7,0.571,0.308,4,5,0.8,0,2,2,3,3,0,4,1,12,5.4,A,1,1,kevin-pangos-1,Kevin Pangos,2012
21,21,21,2012-02-02,Gonzaga,@,Brigham Young,REG (Conf),L 73-83,*,24,2,6,0.333,0,3,0.0,2,3,0.667,0.333,0,0,,0,3,3,2,1,0,4,2,4,-0.9,A,0,1,kevin-pangos-1,Kevin Pangos,2012
22,22,22,2012-02-04,Gonzaga,@,Pepperdine,REG (Conf),W 72-60,*,33,6,11,0.545,3,6,0.5,3,5,0.6,0.682,0,0,,1,3,4,1,2,0,0,2,15,13.2,A,1,1,kevin-pangos-1,Kevin Pangos,2012
23,23,23,2012-02-09,Gonzaga,,St. Mary's (CA),REG (Conf),W 73-59,*,33,8,16,0.5,5,6,0.833,3,10,0.3,0.656,6,6,1.0,0,4,4,2,2,0,0,2,27,22.8,H,1,1,kevin-pangos-1,Kevin Pangos,2012
24,24,24,2012-02-11,Gonzaga,,Loyola Marymount,REG (Conf),W 78-59,*,32,8,12,0.667,5,7,0.714,3,5,0.6,0.875,0,0,,0,3,3,9,1,0,0,2,21,23.2,H,1,1,kevin-pangos-1,Kevin Pangos,2012
25,25,25,2012-02-16,Gonzaga,@,Santa Clara,REG (Conf),W 73-62,*,34,4,8,0.5,2,6,0.333,2,2,1.0,0.625,0,0,,0,2,2,4,1,0,1,2,10,8.6,A,1,1,kevin-pangos-1,Kevin Pangos,2012
26,26,26,2012-02-18,Gonzaga,@,San Francisco,REG (Conf),L 65-66,*,30,2,7,0.286,0,5,0.0,2,2,1.0,0.286,2,2,1.0,1,3,4,1,0,0,3,4,6,-0.4,A,0,1,kevin-pangos-1,Kevin Pangos,2012
