rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,31,1,2011-11-12,Georgetown,,Savannah State,REG (Non-Conf),W 83-54,*,25,2,5,0.4,2,4,0.5,0,1,0.0,0.6,2,2,1.0,0,0,0,1,2,0,2,2,8,5.2,H,1,1,markel-starks-1,Markel Starks,2012
2,32,2,2011-11-14,Georgetown,,UNC Greensboro,REG (Non-Conf),W 86-45,*,18,4,6,0.667,2,4,0.5,2,2,1.0,0.833,1,2,0.5,0,1,1,0,1,0,0,3,11,8.1,H,1,1,markel-starks-1,Markel Starks,2012
3,33,3,2011-11-21,Georgetown,N,Kansas,REG (Non-Conf),L 63-67,*,25,3,5,0.6,0,2,0.0,3,3,1.0,0.6,1,2,0.5,0,2,2,0,0,0,1,0,7,3.9,N,0,1,markel-starks-1,Markel Starks,2012
4,34,4,2011-11-22,Georgetown,@,Chaminade,REG (Non-Conf),W 88-61,*,23,3,7,0.429,1,4,0.25,2,3,0.667,0.5,0,0,,0,1,1,3,0,0,3,0,7,2.7,A,1,1,markel-starks-1,Markel Starks,2012
5,35,5,2011-11-23,Georgetown,N,Memphis,REG (Non-Conf),W 91-88 (OT),*,22,3,5,0.6,2,3,0.667,1,2,0.5,0.8,4,4,1.0,0,0,0,1,0,0,0,4,12,8.8,N,1,1,markel-starks-1,Markel Starks,2012
6,36,6,2011-11-28,Georgetown,,IUPUI,REG (Non-Conf),W 81-58,*,31,6,9,0.667,0,1,0.0,6,8,0.75,0.667,1,2,0.5,1,0,1,4,0,0,3,0,13,9.2,H,1,1,markel-starks-1,Markel Starks,2012
7,37,7,2011-12-01,Georgetown,@,Alabama,REG (Non-Conf),W 57-55,*,32,1,6,0.167,0,4,0.0,1,2,0.5,0.167,1,2,0.5,1,3,4,2,0,0,2,3,3,-1.4,A,1,1,markel-starks-1,Markel Starks,2012
8,38,8,2011-12-03,Georgetown,,NJIT,REG (Non-Conf),W 84-44,*,18,2,4,0.5,2,4,0.5,0,0,,0.75,3,4,0.75,0,2,2,1,0,0,0,0,9,7.9,H,1,1,markel-starks-1,Markel Starks,2012
9,39,9,2011-12-10,Georgetown,,Howard,REG (Non-Conf),W 62-48,*,26,2,7,0.286,1,3,0.333,1,4,0.25,0.357,0,0,,0,0,0,1,0,0,1,4,5,-1.0,H,1,1,markel-starks-1,Markel Starks,2012
10,40,10,2011-12-17,Georgetown,,American,REG (Non-Conf),W 81-55,*,32,6,8,0.75,4,6,0.667,2,2,1.0,1.0,2,2,1.0,0,0,0,2,0,0,2,1,18,13.8,H,1,1,markel-starks-1,Markel Starks,2012
