rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,71,1,2011-11-11,Duke,,Belmont,REG (Non-Conf),W 77-76,*,35,6,10,0.6,0,0,6,10,0.6,0.6,1,2,0.5,4,10,14,6,0,1,4,1,13,14.3,H,1,1,mason-plumlee-1,Mason Plumlee,2012
2,72,2,2011-11-12,Duke,,Presbyterian,REG (Non-Conf),W 96-55,*,20,6,8,0.75,0,0,6,8,0.75,0.75,1,6,0.167,2,6,8,2,0,3,1,2,13,12.7,H,1,1,mason-plumlee-1,Mason Plumlee,2012
3,73,3,2011-11-15,Duke,N,Michigan State,REG (Non-Conf),W 74-69,*,32,1,3,0.333,0,0,1,3,0.333,0.333,5,10,0.5,0,5,5,1,0,3,2,3,7,4.4,N,1,1,mason-plumlee-1,Mason Plumlee,2012
4,74,4,2011-11-18,Duke,,Davidson,REG (Non-Conf),W 82-69,*,29,7,10,0.7,0,0,7,10,0.7,0.7,2,6,0.333,2,11,13,2,1,0,2,1,16,14.9,H,1,1,mason-plumlee-1,Mason Plumlee,2012
5,75,5,2011-11-21,Duke,N,Tennessee,REG (Non-Conf),W 77-67,*,33,3,5,0.6,0,0,3,5,0.6,0.6,2,5,0.4,2,11,13,1,0,0,3,2,8,6.1,N,1,1,mason-plumlee-1,Mason Plumlee,2012
6,76,6,2011-11-22,Duke,N,Michigan,REG (Non-Conf),W 82-75,*,29,3,3,1.0,0,0,3,3,1.0,1.0,0,3,0.0,1,4,5,2,2,1,3,4,6,5.3,N,1,1,mason-plumlee-1,Mason Plumlee,2012
7,77,7,2011-11-23,Duke,N,Kansas,REG (Non-Conf),W 68-61,*,37,5,10,0.5,0,0,5,10,0.5,0.5,7,9,0.778,5,7,12,1,1,2,4,3,17,14.7,N,1,1,mason-plumlee-1,Mason Plumlee,2012
8,78,8,2011-11-29,Duke,@,Ohio State,REG (Non-Conf),L 63-85,*,35,7,12,0.583,0,0,7,12,0.583,0.583,2,5,0.4,1,7,8,1,2,2,4,3,16,10.9,A,0,1,mason-plumlee-1,Mason Plumlee,2012
9,79,9,2011-12-07,Duke,,Colorado State,REG (Non-Conf),W 87-64,*,25,6,7,0.857,0,0,6,7,0.857,0.857,2,6,0.333,2,8,10,2,4,5,1,0,14,21.6,H,1,1,mason-plumlee-1,Mason Plumlee,2012
10,80,10,2011-12-10,Duke,N,Washington,REG (Non-Conf),W 86-80,*,30,5,8,0.625,0,0,5,8,0.625,0.625,2,11,0.182,1,8,9,1,3,2,2,1,12,10.6,N,1,1,mason-plumlee-1,Mason Plumlee,2012
