rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2011-11-11,Brigham Young,@,Utah State,REG (Non-Conf),L 62-69,,11,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,2,3,0,0,1,1,1,2,2.3,A,0,1,nate-austin-1,Nate Austin,2012
2,2,2,2011-11-15,Brigham Young,,BYU-Hawaii,REG (Non-Conf),W 73-52,,5,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,2,3,0,-2.2,H,1,1,nate-austin-1,Nate Austin,2012
3,3,3,2011-11-18,Brigham Young,,Longwood,REG (Non-Conf),W 92-60,,13,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,2,1,3,1,0,1,2,3,4,1.9,H,1,1,nate-austin-1,Nate Austin,2012
4,4,4,2011-11-22,Brigham Young,,Prairie View A&M,REG (Non-Conf),W 90-51,,8,0,1,0.0,0,0,,0,1,0.0,0.0,2,4,0.5,0,0,0,0,1,0,1,2,2,-0.3,H,1,1,nate-austin-1,Nate Austin,2012
5,5,5,2011-11-25,Brigham Young,N,Nevada,REG (Non-Conf),W 76-55,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,1,0,1.3,N,1,1,nate-austin-1,Nate Austin,2012
6,6,6,2011-11-26,Brigham Young,N,Wisconsin,REG (Non-Conf),L 56-73,,1,0,0,,0,0,,0,0,,,2,2,1.0,0,0,0,0,0,0,0,0,2,2.0,N,0,1,nate-austin-1,Nate Austin,2012
7,7,7,2011-11-30,Brigham Young,N,Northern Arizona,REG (Non-Conf),W 87-52,,9,5,6,0.833,1,2,0.5,4,4,1.0,0.917,0,0,,1,3,4,1,0,0,0,3,11,9.9,N,1,1,nate-austin-1,Nate Austin,2012
8,8,8,2011-12-03,Brigham Young,N,Oregon,REG (Non-Conf),W 79-65,,18,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,,2,4,6,0,0,0,0,5,9,6.3,N,1,1,nate-austin-1,Nate Austin,2012
9,9,9,2011-12-07,Brigham Young,,Weber State,REG (Non-Conf),W 94-66,,21,7,8,0.875,1,2,0.5,6,6,1.0,0.938,0,3,0.0,2,7,9,0,0,1,0,3,15,14.0,H,1,1,nate-austin-1,Nate Austin,2012
10,10,10,2011-12-10,Brigham Young,@,Utah,REG (Non-Conf),W 61-42,,18,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,5,5,1,0,0,0,3,3,3.7,A,1,1,nate-austin-1,Nate Austin,2012
11,11,11,2011-12-17,Brigham Young,,Baylor,REG (Non-Conf),L 83-86,,7,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,2,3,0,0,1,0,2,0,0.5,H,0,1,nate-austin-1,Nate Austin,2012
12,12,12,2011-12-20,Brigham Young,,Buffalo,REG (Non-Conf),W 93-78,,24,2,4,0.5,0,1,0.0,2,3,0.667,0.5,3,4,0.75,2,7,9,1,1,0,1,4,7,7.2,H,1,1,nate-austin-1,Nate Austin,2012
13,13,13,2011-12-22,Brigham Young,,UC Santa Barbara,REG (Non-Conf),W 89-75,,8,0,1,0.0,0,1,0.0,0,0,,0.0,0,2,0.0,0,0,0,0,0,0,3,2,0,-5.3,H,1,1,nate-austin-1,Nate Austin,2012
14,14,14,2011-12-27,Brigham Young,,Cal St San Marcos,REG (Non-Conf),W 79-51,,13,1,3,0.333,0,0,,1,3,0.333,0.333,1,2,0.5,0,2,2,1,0,2,0,3,3,2.4,H,1,1,nate-austin-1,Nate Austin,2012
15,15,15,2011-12-29,Brigham Young,@,St. Mary's (CA),REG (Conf),L 82-98,,12,0,1,0.0,0,0,,0,1,0.0,0.0,0,2,0.0,2,2,4,2,0,0,0,1,0,1.5,A,0,1,nate-austin-1,Nate Austin,2012
16,16,16,2011-12-31,Brigham Young,,San Diego,REG (Conf),W 88-52,,14,3,6,0.5,1,2,0.5,2,4,0.5,0.583,2,2,1.0,0,1,1,0,1,1,0,5,9,6.0,H,1,1,nate-austin-1,Nate Austin,2012
17,17,17,2012-01-05,Brigham Young,@,Loyola Marymount,REG (Conf),W 73-65,,15,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,4,2,6,0,0,0,0,2,8,8.7,A,1,1,nate-austin-1,Nate Austin,2012
18,18,18,2012-01-07,Brigham Young,,San Francisco,REG (Conf),W 81-56,,16,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,2,0.0,2,7,9,1,0,1,0,1,4,5.7,H,1,1,nate-austin-1,Nate Austin,2012
19,19,19,2012-01-14,Brigham Young,,Santa Clara,REG (Conf),W 95-78,,16,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,4,3,7,2,0,0,0,2,3,6.6,H,1,1,nate-austin-1,Nate Austin,2012
20,20,20,2012-01-16,Brigham Young,@,San Diego,REG (Conf),W 82-63,,10,2,4,0.5,1,1,1.0,1,3,0.333,0.625,2,3,0.667,3,2,5,1,0,0,2,2,7,5.2,A,1,1,nate-austin-1,Nate Austin,2012
21,21,21,2012-01-19,Brigham Young,,Loyola Marymount,REG (Conf),L 68-82,,10,0,2,0.0,0,2,0.0,0,0,,0.0,2,4,0.5,0,2,2,0,0,0,0,1,2,0.0,H,0,1,nate-austin-1,Nate Austin,2012
22,22,22,2012-01-21,Brigham Young,@,Pepperdine,REG (Conf),W 77-64,,9,2,2,1.0,0,0,,2,2,1.0,1.0,0,1,0.0,2,3,5,0,0,0,0,3,4,4.1,A,1,1,nate-austin-1,Nate Austin,2012
23,23,23,2012-01-25,Brigham Young,@,Virginia Tech,REG (Non-Conf),W 70-68,,17,3,7,0.429,0,0,,3,7,0.429,0.429,0,0,,3,1,4,0,0,0,1,2,6,2.9,A,1,1,nate-austin-1,Nate Austin,2012
