rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2011-11-11,Duke,,Belmont,REG (Non-Conf),W 77-76,,8,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.8,H,1,1,quinn-cook-1,Quinn Cook,2012
2,2,2,2011-11-12,Duke,,Presbyterian,REG (Non-Conf),W 96-55,,18,2,4,0.5,2,3,0.667,0,1,0.0,0.75,4,4,1.0,1,1,2,2,0,0,1,2,10,8.6,H,1,1,quinn-cook-1,Quinn Cook,2012
3,3,3,2011-11-15,Duke,N,Michigan State,REG (Non-Conf),W 74-69,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,N,1,1,quinn-cook-1,Quinn Cook,2012
4,4,4,2011-11-18,Duke,,Davidson,REG (Non-Conf),W 82-69,,12,2,4,0.5,1,2,0.5,1,2,0.5,0.625,4,5,0.8,1,0,1,0,2,0,0,1,9,8.9,H,1,1,quinn-cook-1,Quinn Cook,2012
5,5,5,2011-11-21,Duke,N,Tennessee,REG (Non-Conf),W 77-67,,8,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,2,2,1,1,1,1,0,2,2.3,N,1,1,quinn-cook-1,Quinn Cook,2012
6,6,6,2011-11-22,Duke,N,Michigan,REG (Non-Conf),W 82-75,,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,1.0,N,1,1,quinn-cook-1,Quinn Cook,2012
7,7,7,2011-11-23,Duke,N,Kansas,REG (Non-Conf),W 68-61,,1,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,N,1,1,quinn-cook-1,Quinn Cook,2012
8,8,8,2011-11-29,Duke,@,Ohio State,REG (Non-Conf),L 63-85,,14,2,6,0.333,0,3,0.0,2,3,0.667,0.333,0,0,,1,0,1,4,1,0,2,0,4,3.1,A,0,1,quinn-cook-1,Quinn Cook,2012
9,9,9,2011-12-07,Duke,,Colorado State,REG (Non-Conf),W 87-64,,16,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,2,3,2,0,0,0,0,2,3.0,H,1,1,quinn-cook-1,Quinn Cook,2012
10,10,10,2011-12-10,Duke,N,Washington,REG (Non-Conf),W 86-80,,4,0,0,,0,0,,0,0,,,4,6,0.667,0,0,0,0,0,0,0,1,4,2.8,N,1,1,quinn-cook-1,Quinn Cook,2012
11,11,11,2011-12-19,Duke,,UNC Greensboro,REG (Non-Conf),W 90-63,,18,6,7,0.857,2,3,0.667,4,4,1.0,1.0,0,0,,0,0,0,2,1,0,2,0,14,11.9,H,1,1,quinn-cook-1,Quinn Cook,2012
12,12,12,2011-12-30,Duke,,Western Michigan,REG (Non-Conf),W 110-70,,23,4,7,0.571,1,4,0.25,3,3,1.0,0.643,7,8,0.875,1,3,4,8,2,1,0,1,16,21.8,H,1,1,quinn-cook-1,Quinn Cook,2012
13,13,13,2012-01-01,Duke,,Pennsylvania,REG (Non-Conf),W 85-55,,22,2,5,0.4,0,2,0.0,2,3,0.667,0.4,2,2,1.0,0,1,1,9,0,0,0,2,6,9.1,H,1,1,quinn-cook-1,Quinn Cook,2012
14,14,14,2012-01-04,Duke,N,Temple,REG (Non-Conf),L 73-78,,12,2,6,0.333,1,4,0.25,1,2,0.5,0.417,0,0,,0,1,1,2,0,0,1,3,5,1.1,N,0,1,quinn-cook-1,Quinn Cook,2012
15,15,15,2012-01-07,Duke,@,Georgia Tech,REG (Conf),W 81-74,*,27,3,7,0.429,1,4,0.25,2,3,0.667,0.5,3,4,0.75,0,1,1,5,0,0,1,3,10,7.5,A,1,1,quinn-cook-1,Quinn Cook,2012
16,16,16,2012-01-12,Duke,,Virginia,REG (Conf),W 61-58,*,12,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,1,1,0,0,0,1,1,2,-0.8,H,1,1,quinn-cook-1,Quinn Cook,2012
17,17,17,2012-01-15,Duke,@,Clemson,REG (Conf),W 73-66,*,19,4,6,0.667,2,3,0.667,2,3,0.667,0.833,0,0,,0,1,1,2,0,0,2,0,10,7.1,A,1,1,quinn-cook-1,Quinn Cook,2012
18,18,18,2012-01-19,Duke,,Wake Forest,REG (Conf),W 91-73,*,14,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,,0,1,1,1,0,0,1,3,5,1.8,H,1,1,quinn-cook-1,Quinn Cook,2012
