rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,5,2011-11-20,Western Kentucky,N,VCU,REG (Non-Conf),L 64-69,*,32,5,11,0.455,4,6,0.667,1,5,0.2,0.636,3,5,0.6,1,3,4,1,0,0,4,3,17,7.6,N,0,1,tj-price-1,T.J. Price,2012
2,2,6,2011-11-23,Western Kentucky,,VCU,REG (Non-Conf),L 45-68,*,19,2,5,0.4,1,4,0.25,1,1,1.0,0.5,1,2,0.5,1,1,2,1,1,1,4,2,6,1.5,H,0,1,tj-price-1,T.J. Price,2012
3,3,8,2011-12-01,Western Kentucky,,Murray State,REG (Non-Conf),L 59-70,,24,1,6,0.167,1,3,0.333,0,3,0.0,0.25,1,2,0.5,0,3,3,3,0,0,2,4,4,-0.8,H,0,1,tj-price-1,T.J. Price,2012
4,4,9,2011-12-04,Western Kentucky,,Bowling Green,REG (Non-Conf),W 60-53,,28,0,5,0.0,0,2,0.0,0,3,0.0,0.0,5,5,1.0,2,1,3,0,0,0,2,2,5,0.4,H,1,1,tj-price-1,T.J. Price,2012
5,5,10,2011-12-07,Western Kentucky,@,Southern Illinois,REG (Non-Conf),W 62-55,,31,3,7,0.429,2,3,0.667,1,4,0.25,0.571,0,3,0.0,1,1,2,2,1,0,4,1,8,2.1,A,1,1,tj-price-1,T.J. Price,2012
6,6,11,2011-12-10,Western Kentucky,@,IUPUI,REG (Non-Conf),L 76-84,,26,6,12,0.5,3,6,0.5,3,6,0.5,0.625,4,4,1.0,1,2,3,3,0,0,3,3,19,12.2,A,0,1,tj-price-1,T.J. Price,2012
7,7,12,2011-12-17,Western Kentucky,,Furman,REG (Non-Conf),L 63-76,*,38,3,11,0.273,3,10,0.3,0,1,0.0,0.409,0,0,,0,4,4,4,0,0,2,3,9,3.3,H,0,1,tj-price-1,T.J. Price,2012
8,8,13,2011-12-23,Western Kentucky,@,Louisville,REG (Non-Conf),L 60-70,*,28,2,7,0.286,1,5,0.2,1,2,0.5,0.357,1,2,0.5,0,2,2,2,1,0,2,4,6,0.9,A,0,1,tj-price-1,T.J. Price,2012
9,9,14,2011-12-29,Western Kentucky,@,Louisiana–Monroe,REG (Conf),W 76-71 (OT),*,37,3,9,0.333,0,4,0.0,3,5,0.6,0.333,3,8,0.375,2,4,6,7,0,0,1,3,9,7.2,A,1,1,tj-price-1,T.J. Price,2012
10,10,15,2011-12-31,Western Kentucky,,Florida International,REG (Conf),L 63-81,*,29,1,9,0.111,1,8,0.125,0,1,0.0,0.167,2,2,1.0,2,5,7,2,0,0,4,4,5,-2.2,H,0,1,tj-price-1,T.J. Price,2012
11,11,16,2012-01-05,Western Kentucky,,Louisiana–Lafayette,REG (Conf),L 70-72 (OT),*,31,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,2,1.0,1,2,3,1,1,0,0,2,4,2.4,H,0,1,tj-price-1,T.J. Price,2012
12,12,17,2012-01-07,Western Kentucky,,Troy,REG (Conf),L 65-67,,26,3,8,0.375,2,7,0.286,1,1,1.0,0.5,0,0,,0,3,3,3,0,1,4,2,8,2.5,H,0,1,tj-price-1,T.J. Price,2012
13,13,18,2012-01-12,Western Kentucky,@,North Texas,REG (Conf),L 67-84,,28,2,9,0.222,1,4,0.25,1,5,0.2,0.278,0,0,,2,6,8,1,1,1,2,2,5,2.3,A,0,1,tj-price-1,T.J. Price,2012
14,14,19,2012-01-15,Western Kentucky,@,Denver,REG (Conf),L 65-78,,32,5,9,0.556,2,5,0.4,3,4,0.75,0.667,0,0,,3,3,6,3,0,0,0,2,12,12.0,A,0,1,tj-price-1,T.J. Price,2012
15,15,20,2012-01-21,Western Kentucky,,Little Rock,REG (Conf),W 65-53,,19,1,6,0.167,0,4,0.0,1,2,0.5,0.167,4,4,1.0,1,2,3,2,1,0,1,2,6,4.1,H,1,1,tj-price-1,T.J. Price,2012
16,16,21,2012-01-26,Western Kentucky,@,Florida Atlantic,REG (Conf),L 66-67,,20,3,5,0.6,2,3,0.667,1,2,0.5,0.8,0,2,0.0,0,1,1,0,1,0,0,2,8,5.4,A,0,1,tj-price-1,T.J. Price,2012
17,17,22,2012-01-28,Western Kentucky,@,Florida International,REG (Conf),W 61-51,*,31,3,6,0.5,3,5,0.6,0,1,0.0,0.75,2,3,0.667,3,4,7,2,2,0,5,4,11,7.7,A,1,1,tj-price-1,T.J. Price,2012
18,18,23,2012-02-04,Western Kentucky,,South Alabama,REG (Conf),W 75-66,*,12,4,5,0.8,3,4,0.75,1,1,1.0,1.1,0,1,0.0,1,2,3,2,3,0,1,4,11,11.8,H,1,1,tj-price-1,T.J. Price,2012
19,19,24,2012-02-09,Western Kentucky,@,Middle Tennessee,REG (Conf),L 64-72,*,36,4,11,0.364,3,7,0.429,1,4,0.25,0.5,3,3,1.0,1,6,7,3,2,0,2,4,14,10.9,A,0,1,tj-price-1,T.J. Price,2012
20,20,25,2012-02-11,Western Kentucky,@,Troy,REG (Conf),L 77-83,*,36,5,10,0.5,4,8,0.5,1,2,0.5,0.7,3,4,0.75,1,4,5,1,2,0,2,5,17,12.2,A,0,1,tj-price-1,T.J. Price,2012
21,21,26,2012-02-16,Western Kentucky,,Florida Atlantic,REG (Conf),W 64-57,*,32,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,,1,3,4,1,3,1,5,2,3,0.8,H,1,1,tj-price-1,T.J. Price,2012
22,22,27,2012-02-18,Western Kentucky,@,South Alabama,REG (Conf),L 61-66,*,24,2,11,0.182,0,6,0.0,2,5,0.4,0.182,0,0,,2,3,5,3,2,0,3,4,4,-1.1,A,0,1,tj-price-1,T.J. Price,2012
23,23,28,2012-02-23,Western Kentucky,,Arkansas State,REG (Conf),W 79-76,*,29,2,6,0.333,2,6,0.333,0,0,,0.5,0,0,,0,2,2,2,0,0,3,1,6,1.2,H,1,1,tj-price-1,T.J. Price,2012
24,24,29,2012-02-25,Western Kentucky,,Middle Tennessee,REG (Conf),W 73-67,,29,4,7,0.571,2,5,0.4,2,2,1.0,0.714,3,3,1.0,3,4,7,0,2,0,1,3,13,12.8,H,1,1,tj-price-1,T.J. Price,2012
25,25,30,2012-03-03,Western Kentucky,N,Florida International,CTOURN,W 67-63,*,18,3,7,0.429,3,6,0.5,0,1,0.0,0.643,2,2,1.0,0,5,5,1,0,0,3,3,11,5.3,N,1,0,tj-price-1,T.J. Price,2012
26,26,31,2012-03-04,Western Kentucky,N,Little Rock,CTOURN,W 68-63,*,17,1,4,0.25,1,3,0.333,0,1,0.0,0.375,2,2,1.0,1,4,5,0,1,0,1,2,5,3.7,N,1,0,tj-price-1,T.J. Price,2012
27,27,32,2012-03-05,Western Kentucky,N,Denver,CTOURN,W 67-63,*,30,2,4,0.5,2,3,0.667,0,1,0.0,0.75,0,0,,0,3,3,1,0,3,2,2,6,4.9,N,1,0,tj-price-1,T.J. Price,2012
28,28,33,2012-03-06,Western Kentucky,N,North Texas,CTOURN,W 74-70,*,32,2,7,0.286,2,3,0.667,0,4,0.0,0.429,0,1,0.0,0,4,4,2,0,0,3,2,6,0.3,N,1,0,tj-price-1,T.J. Price,2012
29,29,34,2012-03-13,Western Kentucky,N,Mississippi Valley State,FIRST-FOUR,W 59-58,*,29,3,11,0.273,0,5,0.0,3,6,0.5,0.273,5,5,1.0,3,5,8,1,3,0,2,3,11,8.6,N,1,0,tj-price-1,T.J. Price,2012
30,30,35,2012-03-15,Western Kentucky,N,Kentucky,ROUND-64,L 66-81,*,33,6,11,0.545,3,7,0.429,3,4,0.75,0.682,6,7,0.857,1,3,4,0,0,0,0,5,21,14.9,N,0,0,tj-price-1,T.J. Price,2012
