rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,37,1,2011-11-12,Southern Mississippi,,Spring Hill,REG (Non-Conf),W 76-41,*,17,5,5,1.0,0,0,,5,5,1.0,1.0,0,0,,5,2,7,1,2,1,2,2,10,13.2,H,1,1,torye-pelham-1,Torye Pelham,2012
2,38,2,2011-11-17,Southern Mississippi,@,Denver,REG (Non-Conf),L 52-59,*,15,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,4,0,4,0,1,0,0,4,4,4.2,A,0,1,torye-pelham-1,Torye Pelham,2012
3,39,3,2011-11-19,Southern Mississippi,@,Colorado State,REG (Non-Conf),W 79-58,*,22,3,3,1.0,0,0,,3,3,1.0,1.0,0,0,,1,2,3,0,0,0,1,4,6,3.8,A,1,1,torye-pelham-1,Torye Pelham,2012
4,40,4,2011-11-24,Southern Mississippi,N,UC Irvine,REG (Non-Conf),W 78-67,*,30,6,10,0.6,1,1,1.0,5,9,0.556,0.65,4,5,0.8,5,3,8,1,1,1,2,2,17,16.0,N,1,1,torye-pelham-1,Torye Pelham,2012
5,41,5,2011-11-25,Southern Mississippi,N,New Mexico State,REG (Non-Conf),W 80-72,*,22,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,2,2,4,0,0,1,1,5,4,1.7,N,1,1,torye-pelham-1,Torye Pelham,2012
6,42,6,2011-11-26,Southern Mississippi,N,Murray State,REG (Non-Conf),L 81-90 (2OT),*,31,1,5,0.2,0,0,,1,5,0.2,0.2,0,0,,4,1,5,1,5,1,0,1,2,8.0,N,0,1,torye-pelham-1,Torye Pelham,2012
7,43,7,2011-12-04,Southern Mississippi,,New Mexico State,REG (Non-Conf),W 74-66,*,22,2,4,0.5,0,0,,2,4,0.5,0.5,2,4,0.5,6,3,9,1,3,1,2,3,6,9.5,H,1,1,torye-pelham-1,Torye Pelham,2012
8,44,8,2011-12-07,Southern Mississippi,@,South Alabama,REG (Non-Conf),W 67-54,*,16,4,4,1.0,1,1,1.0,3,3,1.0,1.125,0,0,,1,1,2,0,2,1,0,4,9,9.9,A,1,1,torye-pelham-1,Torye Pelham,2012
9,45,9,2011-12-10,Southern Mississippi,,Louisiana Tech,REG (Non-Conf),W 78-62,*,18,5,7,0.714,0,1,0.0,5,6,0.833,0.714,0,0,,5,1,6,0,0,0,0,1,10,10.5,H,1,1,torye-pelham-1,Torye Pelham,2012
10,46,10,2011-12-17,Southern Mississippi,,Ole Miss,REG (Non-Conf),W 86-82,*,31,5,7,0.714,0,1,0.0,5,6,0.833,0.714,1,1,1.0,2,3,5,0,1,0,1,4,11,8.8,H,1,1,torye-pelham-1,Torye Pelham,2012
