rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,108,1,2011-11-11,Kansas,,Towson,REG (Non-Conf),W 100-54,*,24,4,7,0.571,1,2,0.5,3,5,0.6,0.643,3,6,0.5,0,0,0,4,1,0,1,3,12,9.1,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
2,109,2,2011-11-15,Kansas,N,Kentucky,REG (Non-Conf),L 65-75,*,33,3,13,0.231,1,2,0.5,2,11,0.182,0.269,15,17,0.882,0,1,1,2,2,0,0,3,22,15.8,N,0,1,tyshawn-taylor-1,Tyshawn Taylor,2012
3,110,3,2011-11-21,Kansas,N,Georgetown,REG (Non-Conf),W 67-63,*,33,5,9,0.556,3,3,1.0,2,6,0.333,0.722,3,5,0.6,0,1,1,3,0,1,2,0,16,12.0,N,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
4,111,4,2011-11-22,Kansas,N,UCLA,REG (Non-Conf),W 72-56,*,31,4,10,0.4,1,3,0.333,3,7,0.429,0.45,4,4,1.0,0,2,2,6,0,0,4,2,13,7.6,N,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
5,112,5,2011-11-23,Kansas,N,Duke,REG (Non-Conf),L 61-68,*,38,6,13,0.462,0,0,,6,13,0.462,0.462,5,6,0.833,0,2,2,4,1,1,11,3,17,2.8,N,0,1,tyshawn-taylor-1,Tyshawn Taylor,2012
6,113,6,2011-11-30,Kansas,,Florida Atlantic,REG (Non-Conf),W 77-54,*,32,5,12,0.417,1,3,0.333,4,9,0.444,0.458,7,8,0.875,0,3,3,1,1,0,4,1,18,9.4,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
7,114,7,2011-12-03,Kansas,,South Florida,REG (Non-Conf),W 70-42,*,33,8,10,0.8,4,6,0.667,4,4,1.0,1.0,4,6,0.667,0,2,2,5,1,0,5,1,24,19.1,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
8,115,8,2011-12-06,Kansas,,Long Beach State,REG (Non-Conf),W 88-80,,34,4,11,0.364,1,2,0.5,3,9,0.333,0.409,3,3,1.0,0,1,1,4,0,1,5,4,12,3.1,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
9,116,9,2011-12-10,Kansas,,Ohio State,REG (Non-Conf),W 78-67,*,35,3,9,0.333,0,0,,3,9,0.333,0.333,3,6,0.5,0,3,3,13,1,0,7,3,9,5.5,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
10,117,10,2011-12-19,Kansas,N,Davidson,REG (Non-Conf),L 74-80,*,33,4,11,0.364,1,5,0.2,3,6,0.5,0.409,6,11,0.545,1,0,1,7,3,0,5,2,15,9.7,N,0,1,tyshawn-taylor-1,Tyshawn Taylor,2012
11,118,11,2011-12-22,Kansas,@,Southern California,REG (Non-Conf),W 63-47,*,33,3,8,0.375,1,2,0.5,2,6,0.333,0.438,3,8,0.375,1,3,4,9,0,0,2,0,10,9.5,A,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
12,119,12,2011-12-29,Kansas,,Howard,REG (Non-Conf),W 89-34,*,22,4,7,0.571,3,4,0.75,1,3,0.333,0.786,2,2,1.0,0,0,0,5,1,0,1,2,13,12.4,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
13,120,13,2011-12-31,Kansas,,North Dakota,REG (Non-Conf),W 84-58,*,31,7,13,0.538,1,3,0.333,6,10,0.6,0.577,3,5,0.6,0,1,1,5,1,0,3,2,18,11.9,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
14,121,14,2012-01-04,Kansas,,Kansas State,REG (Conf),W 67-49,*,35,5,14,0.357,0,1,0.0,5,13,0.385,0.357,3,4,0.75,2,0,2,3,1,1,8,0,13,2.0,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
15,122,15,2012-01-07,Kansas,@,Oklahoma,REG (Conf),W 72-61,*,34,4,10,0.4,0,5,0.0,4,5,0.8,0.4,1,1,1.0,0,2,2,6,3,0,2,3,9,8.2,A,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
16,123,16,2012-01-11,Kansas,@,Texas Tech,REG (Conf),W 81-46,*,28,6,14,0.429,1,2,0.5,5,12,0.417,0.464,2,2,1.0,1,0,1,5,0,1,4,1,15,8.1,A,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
17,124,17,2012-01-14,Kansas,,Iowa State,REG (Conf),W 82-73,*,37,10,21,0.476,3,9,0.333,7,12,0.583,0.548,5,9,0.556,0,1,1,6,4,0,4,3,28,19.0,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
18,125,18,2012-01-16,Kansas,,Baylor,REG (Conf),W 92-74,*,33,10,14,0.714,4,6,0.667,6,8,0.75,0.857,4,7,0.571,0,2,2,6,1,0,5,1,28,21.4,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
19,126,19,2012-01-21,Kansas,@,Texas,REG (Conf),W 69-66,*,34,7,13,0.538,3,6,0.5,4,7,0.571,0.654,5,7,0.714,0,5,5,4,0,0,0,1,22,18.8,A,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
20,127,20,2012-01-23,Kansas,,Texas A&M,REG (Conf),W 64-54,*,28,6,9,0.667,3,6,0.5,3,3,1.0,0.833,2,4,0.5,0,1,1,2,3,0,2,4,17,13.4,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
21,128,21,2012-01-28,Kansas,@,Iowa State,REG (Conf),L 64-72,*,35,6,11,0.545,1,3,0.333,5,8,0.625,0.591,3,6,0.5,0,1,1,10,2,0,2,3,16,15.6,A,0,1,tyshawn-taylor-1,Tyshawn Taylor,2012
22,129,22,2012-02-01,Kansas,,Oklahoma,REG (Conf),W 84-62,*,30,7,13,0.538,2,6,0.333,5,7,0.714,0.615,5,6,0.833,0,1,1,6,2,0,3,1,21,17.4,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
23,130,23,2012-02-04,Kansas,@,Missouri,REG (Conf),L 71-74,*,38,9,15,0.6,2,5,0.4,7,10,0.7,0.667,1,3,0.333,0,0,0,3,0,0,6,4,21,7.8,A,0,1,tyshawn-taylor-1,Tyshawn Taylor,2012
24,131,24,2012-02-08,Kansas,@,Baylor,REG (Conf),W 68-54,*,37,6,11,0.545,4,7,0.571,2,4,0.5,0.727,3,5,0.6,0,3,3,3,1,0,3,3,19,12.7,A,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
25,132,25,2012-02-11,Kansas,,Oklahoma State,REG (Conf),W 81-66,*,37,5,14,0.357,0,5,0.0,5,9,0.556,0.357,2,4,0.5,0,2,2,6,1,0,3,1,12,5.8,H,1,1,tyshawn-taylor-1,Tyshawn Taylor,2012
