rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,66,1,2012-11-13,New Mexico,,Davidson,REG (Non-Conf),W 86-81,*,21,1,5,0.2,0,0,1,5,0.2,0.2,7,8,0.875,1,3,4,1,1,0,2,3,9,5.6,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
2,67,2,2012-11-16,New Mexico,N,Illinois–Chicago,REG (Non-Conf),W 66-59,*,14,0,3,0.0,0,0,0,3,0.0,0.0,3,4,0.75,0,0,0,0,0,0,2,5,3,-3.5,N,1,1,cameron-bairstow-1,Cameron Bairstow,2013
3,68,3,2012-11-18,New Mexico,N,George Mason,REG (Non-Conf),W 70-69,,21,3,6,0.5,0,0,3,6,0.5,0.5,4,4,1.0,2,3,5,0,0,2,0,3,10,9.5,N,1,1,cameron-bairstow-1,Cameron Bairstow,2013
4,69,4,2012-11-19,New Mexico,N,Connecticut,REG (Non-Conf),W 66-60,,19,2,4,0.5,0,0,2,4,0.5,0.5,4,4,1.0,1,5,6,1,0,0,0,0,8,8.9,N,1,1,cameron-bairstow-1,Cameron Bairstow,2013
5,70,5,2012-11-23,New Mexico,,Idaho,REG (Non-Conf),W 73-58,,16,2,4,0.5,0,0,2,4,0.5,0.5,4,6,0.667,0,3,3,0,2,0,0,0,8,8.1,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
6,71,6,2012-11-25,New Mexico,,Portland,REG (Non-Conf),W 69-54,,23,0,5,0.0,0,0,0,5,0.0,0.0,9,10,0.9,5,6,11,0,0,2,0,1,9,11.4,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
7,72,7,2012-11-28,New Mexico,,Mercer,REG (Non-Conf),W 76-58,,20,5,6,0.833,0,0,5,6,0.833,0.833,6,6,1.0,3,2,5,1,1,1,1,3,16,16.7,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
8,73,8,2012-12-01,New Mexico,@,Indiana State,REG (Non-Conf),W 77-68 (OT),,22,2,5,0.4,0,0,2,5,0.4,0.4,4,4,1.0,3,8,11,1,1,0,2,3,8,8.3,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
9,74,9,2012-12-05,New Mexico,,Southern California,REG (Non-Conf),W 75-67,,11,2,2,1.0,0,0,2,2,1.0,1.0,2,2,1.0,1,1,2,0,0,0,1,3,6,4.2,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
10,75,10,2012-12-08,New Mexico,,Valparaiso,REG (Non-Conf),W 65-52,,17,2,4,0.5,0,0,2,4,0.5,0.5,3,6,0.5,1,4,5,1,1,1,2,1,7,5.7,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
11,76,11,2012-12-15,New Mexico,,New Mexico State,REG (Non-Conf),W 73-58,,14,1,3,0.333,0,0,1,3,0.333,0.333,5,8,0.625,1,1,2,0,0,0,1,0,7,4.1,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
12,77,12,2012-12-19,New Mexico,@,New Mexico State,REG (Non-Conf),W 68-63,,24,3,8,0.375,0,0,3,8,0.375,0.375,3,5,0.6,4,3,7,0,2,1,1,2,9,8.4,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
13,78,13,2012-12-22,New Mexico,,South Dakota State,REG (Non-Conf),L 65-70,*,20,3,4,0.75,0,0,3,4,0.75,0.75,0,0,,1,3,4,0,1,1,2,2,6,4.9,H,0,1,cameron-bairstow-1,Cameron Bairstow,2013
14,79,14,2012-12-27,New Mexico,@,Cincinnati,REG (Non-Conf),W 55-54,,14,3,7,0.429,0,0,3,7,0.429,0.429,1,2,0.5,2,4,6,0,0,1,1,3,7,4.0,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
15,80,15,2012-12-31,New Mexico,@,Saint Louis,REG (Non-Conf),L 46-60,,22,2,3,0.667,0,0,2,3,0.667,0.667,0,0,,1,5,6,0,1,1,0,0,4,6.6,A,0,1,cameron-bairstow-1,Cameron Bairstow,2013
16,81,16,2013-01-09,New Mexico,,UNLV,REG (Conf),W 65-60,,24,3,9,0.333,0,0,3,9,0.333,0.333,0,2,0.0,2,4,6,3,0,0,0,1,6,4.4,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
17,82,17,2013-01-12,New Mexico,,Fresno State,REG (Conf),W 72-45,*,24,6,11,0.545,0,0,6,11,0.545,0.545,4,5,0.8,1,4,5,0,0,2,2,5,16,9.6,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
18,83,18,2013-01-16,New Mexico,@,Boise State,REG (Conf),W 79-74 (OT),,19,2,8,0.25,0,0,2,8,0.25,0.25,4,4,1.0,2,2,4,0,2,0,1,2,8,5.4,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
19,84,19,2013-01-23,New Mexico,,Colorado State,REG (Conf),W 66-61,,23,2,2,1.0,0,0,2,2,1.0,1.0,0,2,0.0,1,1,2,1,3,3,3,4,4,4.8,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
20,85,20,2013-01-26,New Mexico,@,San Diego State,REG (Conf),L 34-55,,24,0,4,0.0,0,0,0,4,0.0,0.0,0,0,,0,3,3,2,1,1,2,0,0,-0.8,A,0,1,cameron-bairstow-1,Cameron Bairstow,2013
21,86,21,2013-01-30,New Mexico,@,Wyoming,REG (Conf),W 63-59,*,32,5,8,0.625,0,0,5,8,0.625,0.625,7,10,0.7,1,1,2,0,0,0,1,3,17,11.0,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
22,87,22,2013-02-02,New Mexico,,Nevada,REG (Conf),W 75-62,*,24,3,5,0.6,0,0,3,5,0.6,0.6,1,4,0.25,1,4,5,1,1,0,1,2,7,5.3,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
23,88,23,2013-02-06,New Mexico,,Air Force,REG (Conf),W 81-58,*,30,4,10,0.4,0,0,4,10,0.4,0.4,6,8,0.75,4,5,9,3,1,1,0,3,14,14.7,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
24,89,24,2013-02-09,New Mexico,@,UNLV,REG (Conf),L 55-64,*,28,5,11,0.455,0,0,5,11,0.455,0.455,3,6,0.5,2,4,6,2,2,0,1,1,13,10.7,A,0,1,cameron-bairstow-1,Cameron Bairstow,2013
25,90,25,2013-02-13,New Mexico,@,Fresno State,REG (Conf),W 54-48,*,31,3,7,0.429,0,0,3,7,0.429,0.429,0,0,,3,7,10,2,0,0,1,3,6,5.7,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
26,91,26,2013-02-16,New Mexico,,Boise State,REG (Conf),W 60-50,*,32,5,8,0.625,0,0,5,8,0.625,0.625,6,8,0.75,2,5,7,1,1,0,1,3,16,14.0,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
27,92,27,2013-02-23,New Mexico,@,Colorado State,REG (Conf),W 91-82,*,35,2,5,0.4,0,0,2,5,0.4,0.4,2,2,1.0,3,3,6,2,0,1,2,4,6,4.8,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
28,93,28,2013-02-27,New Mexico,,San Diego State,REG (Conf),W 70-60,*,31,5,10,0.5,0,0,5,10,0.5,0.5,6,8,0.75,1,4,5,0,0,0,2,5,16,8.1,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
29,94,29,2013-03-02,New Mexico,,Wyoming,REG (Conf),W 53-42,*,33,3,9,0.333,0,0,3,9,0.333,0.333,7,8,0.875,4,5,9,2,0,1,0,1,13,13.5,H,1,1,cameron-bairstow-1,Cameron Bairstow,2013
30,95,30,2013-03-06,New Mexico,@,Nevada,REG (Conf),W 75-62,*,28,7,13,0.538,0,0,7,13,0.538,0.538,1,2,0.5,4,6,10,1,0,0,1,5,15,10.6,A,1,1,cameron-bairstow-1,Cameron Bairstow,2013
31,96,31,2013-03-09,New Mexico,@,Air Force,REG (Conf),L 88-89,*,19,6,6,1.0,0,0,6,6,1.0,1.0,0,1,0.0,2,5,7,2,0,0,3,4,12,9.5,A,0,1,cameron-bairstow-1,Cameron Bairstow,2013
