rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,35,1,2012-11-11,California,,Cal State Bakersfield,REG (Non-Conf),W 78-65,*,27,1,2,0.5,0,0,,1,2,0.5,0.5,2,2,1.0,2,7,9,1,0,3,3,0,4,6.3,H,1,1,david-kravish-1,David Kravish,2013
2,36,2,2012-11-13,California,,Pepperdine,REG (Non-Conf),W 79-62,*,25,0,7,0.0,0,0,,0,7,0.0,0.0,0,0,,2,5,7,2,0,1,0,3,0,-1.1,H,1,1,david-kravish-1,David Kravish,2013
3,37,3,2012-11-16,California,@,Denver,REG (Non-Conf),W 72-61,*,31,5,9,0.556,0,0,,5,9,0.556,0.556,1,1,1.0,0,12,12,1,0,0,0,4,11,9.4,A,1,1,david-kravish-1,David Kravish,2013
4,38,4,2012-11-22,California,N,Drake,REG (Non-Conf),W 73-70,*,38,2,8,0.25,0,0,,2,8,0.25,0.25,2,4,0.5,1,5,6,0,1,1,1,4,6,1.7,N,1,1,david-kravish-1,David Kravish,2013
5,39,5,2012-11-23,California,N,Georgia Tech,REG (Non-Conf),W 68-57,*,28,4,6,0.667,0,0,,4,6,0.667,0.667,1,2,0.5,3,5,8,1,0,0,1,1,9,8.9,N,1,1,david-kravish-1,David Kravish,2013
6,40,6,2012-11-25,California,N,Pacific,REG (Non-Conf),W 78-58,*,33,2,5,0.4,0,0,,2,5,0.4,0.4,1,1,1.0,1,9,10,3,2,1,2,3,5,7.3,N,1,1,david-kravish-1,David Kravish,2013
7,41,7,2012-12-02,California,@,Wisconsin,REG (Non-Conf),L 56-81,*,30,3,6,0.5,0,0,,3,6,0.5,0.5,0,1,0.0,2,2,4,0,2,1,1,3,6,5.1,A,0,1,david-kravish-1,David Kravish,2013
8,42,8,2012-12-09,California,,UNLV,REG (Non-Conf),L 75-76,*,28,4,6,0.667,0,0,,4,6,0.667,0.667,1,2,0.5,0,7,7,1,0,2,0,2,9,9.4,H,0,1,david-kravish-1,David Kravish,2013
9,43,9,2012-12-15,California,,Creighton,REG (Non-Conf),L 64-74,*,30,3,7,0.429,0,0,,3,7,0.429,0.429,1,1,1.0,6,7,13,1,0,3,1,3,7,10.2,H,0,1,david-kravish-1,David Kravish,2013
10,44,10,2012-12-18,California,,UC Santa Barbara,REG (Non-Conf),W 68-59,*,24,5,8,0.625,0,0,,5,8,0.625,0.625,0,0,,2,2,4,1,0,0,2,0,10,7.1,H,1,1,david-kravish-1,David Kravish,2013
