rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,35,1,2012-11-11,San Diego State,N,Syracuse,REG (Non-Conf),L 49-62,*,28,1,2,0.5,0,0,1,2,0.5,0.5,3,4,0.75,1,5,6,0,1,0,1,1,5,5.4,N,0,1,deshawn-stephens-1,Deshawn Stephens,2013
2,36,2,2012-11-13,San Diego State,,San Diego Christ,REG (Non-Conf),W 91-57,*,21,3,6,0.5,0,0,3,6,0.5,0.5,3,9,0.333,7,1,8,0,2,0,0,0,9,10.8,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
3,37,3,2012-11-17,San Diego State,@,Missouri State,REG (Non-Conf),W 60-44,*,18,1,4,0.25,0,0,1,4,0.25,0.25,0,0,,1,4,5,0,1,0,0,4,2,0.9,A,1,1,deshawn-stephens-1,Deshawn Stephens,2013
4,38,4,2012-11-21,San Diego State,,Arkansas–Pine Bluff,REG (Non-Conf),W 79-43,*,27,5,8,0.625,0,0,5,8,0.625,0.625,1,2,0.5,4,6,10,0,0,1,2,3,11,9.1,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
5,39,5,2012-11-25,San Diego State,@,Southern California,REG (Non-Conf),W 66-60,*,5,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,0,2,1.7,A,1,1,deshawn-stephens-1,Deshawn Stephens,2013
6,40,6,2012-12-01,San Diego State,N,UCLA,REG (Non-Conf),W 78-69,*,25,5,7,0.714,0,0,5,7,0.714,0.714,2,2,1.0,4,2,6,0,2,0,1,2,12,12.7,N,1,1,deshawn-stephens-1,Deshawn Stephens,2013
7,41,7,2012-12-03,San Diego State,,Texas Southern,REG (Non-Conf),W 74-62,*,27,6,11,0.545,0,0,6,11,0.545,0.545,1,2,0.5,2,3,5,0,0,1,1,2,13,8.5,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
8,42,8,2012-12-06,San Diego State,,UC Santa Barbara,REG (Non-Conf),W 84-70,*,19,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,1,2,3,0,0,1,0,4,2,0.7,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
9,43,9,2012-12-15,San Diego State,,San Diego,REG (Non-Conf),W 72-56,*,21,5,5,1.0,0,0,5,5,1.0,1.0,1,2,0.5,2,4,6,1,1,1,0,1,11,13.7,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
10,44,10,2012-12-18,San Diego State,,Point Loma Nazarene,REG (Non-Conf),W 76-49,*,20,3,5,0.6,0,0,3,5,0.6,0.6,2,3,0.667,1,3,4,0,0,0,4,1,8,2.5,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
11,45,11,2012-12-22,San Diego State,N,San Francisco,REG (Non-Conf),W 80-58,*,27,5,9,0.556,0,0,5,9,0.556,0.556,0,2,0.0,3,5,8,0,0,0,3,2,10,4.7,N,1,1,deshawn-stephens-1,Deshawn Stephens,2013
12,46,12,2012-12-23,San Diego State,N,Indiana State,REG (Non-Conf),W 62-55,*,17,1,2,0.5,0,0,1,2,0.5,0.5,1,2,0.5,1,2,3,0,0,0,0,0,3,2.9,N,1,1,deshawn-stephens-1,Deshawn Stephens,2013
13,47,13,2012-12-25,San Diego State,N,Arizona,REG (Non-Conf),L 67-68,*,24,1,3,0.333,0,0,1,3,0.333,0.333,1,2,0.5,2,2,4,1,0,1,1,5,3,1.3,N,0,1,deshawn-stephens-1,Deshawn Stephens,2013
14,48,14,2013-01-02,San Diego State,,Cal State Bakersfield,REG (Non-Conf),W 72-57,*,16,1,3,0.333,0,0,1,3,0.333,0.333,3,4,0.75,5,0,5,1,0,1,0,3,5,6.6,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
15,49,15,2013-01-09,San Diego State,@,Fresno State,REG (Conf),W 65-62,*,29,6,9,0.667,0,0,6,9,0.667,0.667,1,1,1.0,2,3,5,0,2,0,0,3,13,12.2,A,1,1,deshawn-stephens-1,Deshawn Stephens,2013
16,50,16,2013-01-12,San Diego State,,Colorado State,REG (Conf),W 79-72 (OT),*,29,0,0,,0,0,0,0,,,2,2,1.0,2,3,5,1,0,0,0,5,2,3.0,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
17,51,17,2013-01-16,San Diego State,,UNLV,REG (Conf),L 75-82,*,18,0,2,0.0,0,0,0,2,0.0,0.0,1,2,0.5,1,3,4,0,1,0,1,2,1,0.0,H,0,1,deshawn-stephens-1,Deshawn Stephens,2013
18,52,18,2013-01-19,San Diego State,@,Wyoming,REG (Conf),L 45-58,*,26,3,5,0.6,0,0,3,5,0.6,0.6,1,1,1.0,1,6,7,0,1,1,0,4,7,7.3,A,0,1,deshawn-stephens-1,Deshawn Stephens,2013
19,53,19,2013-01-23,San Diego State,@,Nevada,REG (Conf),W 78-57,*,20,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,1,4,5,0,0,2,1,2,2,1.8,A,1,1,deshawn-stephens-1,Deshawn Stephens,2013
20,54,20,2013-01-26,San Diego State,,New Mexico,REG (Conf),W 55-34,*,20,2,4,0.5,0,0,2,4,0.5,0.5,1,4,0.25,3,3,6,0,1,1,1,1,5,5.1,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
21,55,21,2013-02-02,San Diego State,@,Air Force,REG (Conf),L 67-70,*,27,4,6,0.667,0,0,4,6,0.667,0.667,2,4,0.5,5,3,8,1,1,1,2,3,10,10.2,A,0,1,deshawn-stephens-1,Deshawn Stephens,2013
22,56,22,2013-02-06,San Diego State,,Boise State,REG (Conf),W 63-62,*,25,2,3,0.667,0,0,2,3,0.667,0.667,0,1,0.0,0,3,3,0,1,1,0,1,4,4.5,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
23,57,23,2013-02-09,San Diego State,,Fresno State,REG (Conf),W 75-53,*,17,1,4,0.25,0,0,1,4,0.25,0.25,0,2,0.0,1,4,5,1,1,0,0,1,2,2.0,H,1,1,deshawn-stephens-1,Deshawn Stephens,2013
