rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,15,1,2012-11-09,Florida Gulf Coast,@,VCU,REG (Non-Conf),L 57-80,*,24,2,3,0.667,0,0,2,3,0.667,0.667,1,3,0.333,0,5,5,2,1,2,2,2,5,5.4,A,0,1,eric-mcknight-1,Eric McKnight,2013
2,16,2,2012-11-13,Florida Gulf Coast,,Miami (FL),REG (Non-Conf),W 63-51,*,21,5,7,0.714,0,0,5,7,0.714,0.714,4,5,0.8,4,4,8,0,0,1,4,4,14,9.8,H,1,1,eric-mcknight-1,Eric McKnight,2013
3,17,3,2012-11-15,Florida Gulf Coast,,Ave Maria,REG (Non-Conf),W 86-54,*,18,3,7,0.429,0,0,3,7,0.429,0.429,0,0,,2,4,6,0,0,4,0,1,6,7.3,H,1,1,eric-mcknight-1,Eric McKnight,2013
4,18,4,2012-11-18,Florida Gulf Coast,@,Duke,REG (Non-Conf),L 67-88,*,14,2,6,0.333,0,0,2,6,0.333,0.333,0,0,,2,2,4,0,1,1,1,5,4,1.3,A,0,1,eric-mcknight-1,Eric McKnight,2013
5,19,5,2012-11-21,Florida Gulf Coast,,Alcorn State,REG (Non-Conf),W 50-48,*,31,2,9,0.222,0,0,2,9,0.222,0.222,2,4,0.5,5,3,8,0,2,2,1,5,6,4.5,H,1,1,eric-mcknight-1,Eric McKnight,2013
6,20,6,2012-11-22,Florida Gulf Coast,,Toledo,REG (Non-Conf),W 72-66,*,28,6,8,0.75,0,0,6,8,0.75,0.75,3,4,0.75,3,4,7,1,0,3,1,2,15,15.7,H,1,1,eric-mcknight-1,Eric McKnight,2013
7,21,7,2012-11-24,Florida Gulf Coast,@,St. John's (NY),REG (Non-Conf),L 68-79,*,25,3,7,0.429,0,0,3,7,0.429,0.429,2,2,1.0,1,1,2,0,0,1,0,1,8,5.6,A,0,1,eric-mcknight-1,Eric McKnight,2013
8,22,8,2012-11-28,Florida Gulf Coast,@,Samford,REG (Non-Conf),W 86-62,*,20,3,4,0.75,0,0,3,4,0.75,0.75,1,2,0.5,1,1,2,0,0,0,2,2,7,3.2,A,1,1,eric-mcknight-1,Eric McKnight,2013
9,23,9,2012-12-01,Florida Gulf Coast,,Loyola (MD),REG (Non-Conf),W 65-50,*,22,2,2,1.0,0,0,2,2,1.0,1.0,2,2,1.0,2,2,4,1,0,1,2,3,6,5.6,H,1,1,eric-mcknight-1,Eric McKnight,2013
10,24,10,2012-12-04,Florida Gulf Coast,@,Iowa State,REG (Non-Conf),L 72-83,*,24,1,2,0.5,0,0,1,2,0.5,0.5,1,1,1.0,1,5,6,0,0,1,5,3,3,-1.3,A,0,1,eric-mcknight-1,Eric McKnight,2013
11,25,11,2012-12-13,Florida Gulf Coast,,Florida International,REG (Non-Conf),W 76-73,,19,1,1,1.0,0,0,1,1,1.0,1.0,1,2,0.5,1,3,4,1,0,1,0,1,3,4.9,H,1,1,eric-mcknight-1,Eric McKnight,2013
12,26,12,2012-12-18,Florida Gulf Coast,,Southeastern (FL),REG (Non-Conf),W 86-60,,12,4,7,0.571,0,0,4,7,0.571,0.571,1,2,0.5,0,4,4,0,0,1,0,3,9,6.0,H,1,1,eric-mcknight-1,Eric McKnight,2013
13,27,13,2012-12-22,Florida Gulf Coast,@,Maine,REG (Non-Conf),L 78-84,*,23,6,10,0.6,0,0,6,10,0.6,0.6,0,2,0.0,2,5,7,1,1,0,0,1,12,10.8,A,0,1,eric-mcknight-1,Eric McKnight,2013
14,28,14,2012-12-31,Florida Gulf Coast,@,Kennesaw State,REG (Conf),W 68-59,*,27,0,0,,0,0,0,0,,,1,2,0.5,0,6,6,1,0,1,2,4,1,0.2,A,1,1,eric-mcknight-1,Eric McKnight,2013
