rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,29,1,2012-11-11,Cincinnati,,UT Martin,REG (Non-Conf),W 80-57,,14,0,1,0.0,0,0,,0,1,0.0,0.0,1,2,0.5,1,1,2,3,0,0,1,0,1,2.0,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
2,30,2,2012-11-13,Cincinnati,,Mississippi Valley State,REG (Non-Conf),W 102-60,,13,3,5,0.6,0,1,0.0,3,4,0.75,0.6,2,3,0.667,0,3,3,1,1,0,2,0,8,5.9,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
3,31,3,2012-11-18,Cincinnati,,North Carolina A&T,REG (Non-Conf),W 93-39,,17,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,3,0.0,1,2,3,1,0,0,1,0,2,0.8,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
4,32,4,2012-11-20,Cincinnati,,Campbell,REG (Non-Conf),W 91-72,,13,2,3,0.667,0,0,,2,3,0.667,0.667,0,1,0.0,0,2,2,1,0,0,1,0,4,2.6,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
5,33,5,2012-11-23,Cincinnati,N,Iowa State,REG (Non-Conf),W 78-70,,19,2,3,0.667,2,2,1.0,0,1,0.0,1.0,0,0,,1,2,3,2,0,0,0,0,6,7.4,N,1,1,jermaine-sanders-1,Jermaine Sanders,2013
6,34,6,2012-11-24,Cincinnati,N,Oregon,REG (Non-Conf),W 77-66,,17,2,4,0.5,1,1,1.0,1,3,0.333,0.625,2,2,1.0,2,2,4,2,2,0,0,0,7,10.4,N,1,1,jermaine-sanders-1,Jermaine Sanders,2013
7,35,7,2012-12-01,Cincinnati,,Alabama,REG (Non-Conf),W 58-56,,9,1,2,0.5,0,0,,1,2,0.5,0.5,2,2,1.0,0,0,0,0,0,0,1,0,4,2.0,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
8,36,8,2012-12-06,Cincinnati,,Little Rock,REG (Non-Conf),W 87-53,,14,2,5,0.4,0,1,0.0,2,4,0.5,0.4,1,4,0.25,2,3,5,3,2,0,0,1,5,7.1,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
9,37,9,2012-12-08,Cincinnati,,Maryland Eastern Shore,REG (Non-Conf),W 92-60,,10,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,2,2,0,0,0,1,0,2,-0.1,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
10,38,10,2012-12-15,Cincinnati,N,Marshall,REG (Non-Conf),W 72-56,,13,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,2,2,4,1,0,0,1,2,4,2.2,N,1,1,jermaine-sanders-1,Jermaine Sanders,2013
11,39,11,2012-12-19,Cincinnati,N,Xavier,REG (Non-Conf),W 60-45,,4,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,0,0,1,0,0,0,-0.7,N,1,1,jermaine-sanders-1,Jermaine Sanders,2013
12,40,12,2012-12-22,Cincinnati,,Wright State,REG (Non-Conf),W 68-58,,6,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,1,3,4,0,0,0,1,0,2,1.2,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
13,41,13,2012-12-27,Cincinnati,,New Mexico,REG (Non-Conf),L 54-55,,5,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,2,0,-1.2,H,0,1,jermaine-sanders-1,Jermaine Sanders,2013
14,42,14,2012-12-31,Cincinnati,@,Pittsburgh,REG (Conf),W 70-61,,13,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,2,0.0,0,1,1,1,1,0,1,0,0,-1.9,A,1,1,jermaine-sanders-1,Jermaine Sanders,2013
15,43,15,2013-01-05,Cincinnati,,St. John's (NY),REG (Conf),L 52-53,,11,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,0,0,0,0,0,2,1,2,-2.1,H,0,1,jermaine-sanders-1,Jermaine Sanders,2013
16,44,16,2013-01-07,Cincinnati,,Notre Dame,REG (Conf),L 60-66,,16,3,5,0.6,2,4,0.5,1,1,1.0,0.8,0,0,,0,1,1,1,0,0,1,0,8,5.7,H,0,1,jermaine-sanders-1,Jermaine Sanders,2013
17,45,17,2013-01-12,Cincinnati,@,Rutgers,REG (Conf),W 68-58,,15,3,5,0.6,1,2,0.5,2,3,0.667,0.7,2,2,1.0,2,0,2,0,0,1,0,1,9,8.4,A,1,1,jermaine-sanders-1,Jermaine Sanders,2013
18,46,18,2013-01-15,Cincinnati,@,DePaul,REG (Conf),W 75-70,,19,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,1,0.0,2,1,3,2,0,0,1,1,2,1.6,A,1,1,jermaine-sanders-1,Jermaine Sanders,2013
19,47,19,2013-01-19,Cincinnati,,Marquette,REG (Conf),W 71-69 (OT),*,20,2,5,0.4,2,4,0.5,0,1,0.0,0.6,0,0,,1,1,2,1,2,1,1,1,6,6.3,H,1,1,jermaine-sanders-1,Jermaine Sanders,2013
