rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,31,1,2012-11-09,Harvard,,MIT,REG (Non-Conf),W 69-54,,21,6,7,0.857,0,0,6,7,0.857,0.857,2,6,0.333,4,4,8,2,1,3,0,3,14,17.2,H,1,1,jonah-travis-1,Jonah Travis,2013
2,32,2,2012-11-13,Harvard,@,Massachusetts,REG (Non-Conf),L 64-67,,15,2,4,0.5,0,0,2,4,0.5,0.5,1,1,1.0,1,0,1,0,0,0,1,3,5,1.5,A,0,1,jonah-travis-1,Jonah Travis,2013
3,33,3,2012-11-16,Harvard,,Manhattan,REG (Non-Conf),W 79-45,,22,1,3,0.333,0,0,1,3,0.333,0.333,3,4,0.75,2,2,4,1,1,0,1,5,5,3.6,H,1,1,jonah-travis-1,Jonah Travis,2013
4,34,4,2012-11-20,Harvard,@,Saint Joseph's,REG (Non-Conf),L 56-75,,25,2,7,0.286,0,0,2,7,0.286,0.286,5,8,0.625,4,2,6,2,2,0,2,0,9,8.5,A,0,1,jonah-travis-1,Jonah Travis,2013
5,35,5,2012-11-27,Harvard,,Vermont,REG (Non-Conf),L 78-85,,24,2,5,0.4,0,0,2,5,0.4,0.4,2,2,1.0,2,3,5,1,0,1,2,5,6,3.0,H,0,1,jonah-travis-1,Jonah Travis,2013
6,36,6,2012-12-01,Harvard,,Fordham,REG (Non-Conf),W 73-64,,22,5,7,0.714,0,0,5,7,0.714,0.714,6,9,0.667,4,8,12,0,1,0,2,4,16,14.5,H,1,1,jonah-travis-1,Jonah Travis,2013
7,37,7,2012-12-04,Harvard,@,Boston College,REG (Non-Conf),W 79-63,*,23,5,5,1.0,0,0,5,5,1.0,1.0,4,4,1.0,0,2,2,0,2,0,0,3,14,13.9,A,1,1,jonah-travis-1,Jonah Travis,2013
8,38,8,2012-12-07,Harvard,@,Connecticut,REG (Non-Conf),L 49-57,*,25,3,5,0.6,0,0,3,5,0.6,0.6,0,0,,2,3,5,1,1,1,2,1,6,6.0,A,0,1,jonah-travis-1,Jonah Travis,2013
9,39,9,2012-12-11,Harvard,,Boston University,REG (Non-Conf),W 65-64,*,18,1,4,0.25,0,0,1,4,0.25,0.25,1,2,0.5,0,4,4,1,1,1,3,3,3,-0.4,H,1,1,jonah-travis-1,Jonah Travis,2013
10,40,10,2012-12-22,Harvard,,Holy Cross,REG (Non-Conf),W 72-65,*,27,4,7,0.571,0,0,4,7,0.571,0.571,1,3,0.333,2,0,2,2,2,1,4,1,9,6.0,H,1,1,jonah-travis-1,Jonah Travis,2013
