rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,76,1,2012-11-09,Miami (FL),,Stetson,REG (Non-Conf),W 87-79,*,31,5,10,0.5,2,5,0.4,3,5,0.6,0.6,0,0,,2,10,12,5,0,1,3,4,12,11.0,H,1,1,kenny-kadji-1,Kenny Kadji,2013
2,77,2,2012-11-13,Miami (FL),@,Florida Gulf Coast,REG (Non-Conf),L 51-63,*,31,4,10,0.4,1,3,0.333,3,7,0.429,0.45,4,7,0.571,4,4,8,0,1,1,1,1,13,10.7,A,0,1,kenny-kadji-1,Kenny Kadji,2013
3,78,3,2012-11-16,Miami (FL),,Jacksonville,REG (Non-Conf),W 73-57,*,31,2,5,0.4,1,3,0.333,1,2,0.5,0.5,2,2,1.0,1,3,4,2,0,2,5,3,7,2.5,H,1,1,kenny-kadji-1,Kenny Kadji,2013
4,79,4,2012-11-24,Miami (FL),,Detroit Mercy,REG (Non-Conf),W 77-62,*,30,5,13,0.385,0,5,0.0,5,8,0.625,0.385,4,4,1.0,2,9,11,3,0,0,1,3,14,10.9,H,1,1,kenny-kadji-1,Kenny Kadji,2013
5,80,5,2012-11-28,Miami (FL),,Michigan State,REG (Non-Conf),W 67-59,*,32,2,6,0.333,0,2,0.0,2,4,0.5,0.333,0,0,,0,3,3,1,0,2,2,2,4,0.8,H,1,1,kenny-kadji-1,Kenny Kadji,2013
6,81,6,2012-12-01,Miami (FL),@,Massachusetts,REG (Non-Conf),W 75-62,*,32,4,8,0.5,2,5,0.4,2,3,0.667,0.625,3,4,0.75,0,5,5,0,0,1,1,3,13,8.6,A,1,1,kenny-kadji-1,Kenny Kadji,2013
7,82,7,2012-12-14,Miami (FL),,Charlotte,REG (Non-Conf),W 77-46,*,24,5,6,0.833,3,3,1.0,2,3,0.667,1.083,4,5,0.8,1,4,5,1,1,3,3,2,17,16.3,H,1,1,kenny-kadji-1,Kenny Kadji,2013
8,83,8,2012-12-18,Miami (FL),@,UCF,REG (Non-Conf),W 72-50,*,24,4,12,0.333,1,5,0.2,3,7,0.429,0.375,1,2,0.5,5,3,8,1,2,1,4,3,10,5.4,A,1,1,kenny-kadji-1,Kenny Kadji,2013
9,84,9,2012-12-22,Miami (FL),@,Hawaii,REG (Non-Conf),W 73-58,*,30,3,9,0.333,0,2,0.0,3,7,0.429,0.333,2,2,1.0,0,6,6,1,0,2,2,4,8,3.2,A,1,1,kenny-kadji-1,Kenny Kadji,2013
10,85,10,2012-12-23,Miami (FL),N,Arizona,REG (Non-Conf),L 50-69,*,35,9,15,0.6,1,3,0.333,8,12,0.667,0.633,0,0,,0,4,4,0,0,0,0,1,19,12.9,N,0,1,kenny-kadji-1,Kenny Kadji,2013
