rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,93,1,2012-11-09,Iowa State,,Southern,REG (Non-Conf),W 82-59,*,29,1,12,0.083,1,6,0.167,0,6,0.0,0.125,1,2,0.5,1,3,4,6,2,0,7,0,4,-3.6,H,1,1,korie-lucious-1,Korie Lucious,2013
2,94,2,2012-11-12,Iowa State,,Alabama A&M,REG (Non-Conf),W 98-40,*,26,4,8,0.5,2,4,0.5,2,4,0.5,0.625,0,0,,1,1,2,5,2,0,5,2,10,6.7,H,1,1,korie-lucious-1,Korie Lucious,2013
3,95,3,2012-11-18,Iowa State,,Campbell,REG (Non-Conf),W 88-68,*,30,2,9,0.222,2,5,0.4,0,4,0.0,0.333,0,0,,1,1,2,9,1,0,1,1,6,7.4,H,1,1,korie-lucious-1,Korie Lucious,2013
4,96,4,2012-11-20,Iowa State,,North Carolina A&T,REG (Non-Conf),W 86-57,*,15,3,6,0.5,2,5,0.4,1,1,1.0,0.667,0,0,,0,2,2,2,0,0,3,2,8,3.2,H,1,1,korie-lucious-1,Korie Lucious,2013
5,97,5,2012-11-23,Iowa State,N,Cincinnati,REG (Non-Conf),L 70-78,*,35,4,12,0.333,3,8,0.375,1,4,0.25,0.458,1,2,0.5,0,2,2,2,0,1,6,3,12,0.3,N,0,1,korie-lucious-1,Korie Lucious,2013
6,98,6,2012-11-24,Iowa State,N,UNLV,REG (Non-Conf),L 70-82,*,27,2,9,0.222,2,7,0.286,0,2,0.0,0.333,0,0,,2,0,2,0,0,0,2,3,6,-1.3,N,0,1,korie-lucious-1,Korie Lucious,2013
7,99,7,2012-12-01,Iowa State,,Brigham Young,REG (Non-Conf),W 83-62,*,30,4,9,0.444,0,3,0.0,4,6,0.667,0.444,4,4,1.0,1,1,2,9,3,0,4,0,12,13.6,H,1,1,korie-lucious-1,Korie Lucious,2013
8,100,8,2012-12-04,Iowa State,,Florida Gulf Coast,REG (Non-Conf),W 83-72,*,35,6,11,0.545,5,7,0.714,1,4,0.25,0.773,0,0,,1,1,2,9,1,0,5,0,17,15.0,H,1,1,korie-lucious-1,Korie Lucious,2013
9,101,9,2012-12-07,Iowa State,@,Iowa,REG (Non-Conf),L 71-80,*,35,3,13,0.231,2,8,0.25,1,5,0.2,0.308,6,7,0.857,0,1,1,7,1,0,7,1,14,4.5,A,0,1,korie-lucious-1,Korie Lucious,2013
10,102,10,2012-12-09,Iowa State,,Omaha,REG (Non-Conf),W 93-65,*,26,4,8,0.5,1,3,0.333,3,5,0.6,0.563,0,0,,0,0,0,4,1,0,1,0,9,7.8,H,1,1,korie-lucious-1,Korie Lucious,2013
11,103,11,2012-12-15,Iowa State,N,Drake,REG (Non-Conf),W 86-77,*,33,3,11,0.273,1,5,0.2,2,6,0.333,0.318,0,0,,1,1,2,4,1,0,3,1,7,1.9,N,1,1,korie-lucious-1,Korie Lucious,2013
12,104,12,2012-12-19,Iowa State,@,Kansas City,REG (Non-Conf),W 76-61,*,35,4,8,0.5,3,6,0.5,1,2,0.5,0.688,0,0,,2,1,3,8,1,0,5,2,11,9.5,A,1,1,korie-lucious-1,Korie Lucious,2013
13,105,13,2013-01-01,Iowa State,,Yale,REG (Non-Conf),W 80-70,*,34,3,7,0.429,0,3,0.0,3,4,0.75,0.429,4,5,0.8,2,2,4,5,0,0,1,4,10,8.8,H,1,1,korie-lucious-1,Korie Lucious,2013
14,106,14,2013-01-09,Iowa State,@,Kansas,REG (Conf),L 89-97 (OT),*,42,4,10,0.4,3,8,0.375,1,2,0.5,0.55,4,5,0.8,0,1,1,2,2,0,3,2,15,9.1,A,0,1,korie-lucious-1,Korie Lucious,2013
15,107,15,2013-01-12,Iowa State,,Texas,REG (Conf),W 82-62,*,32,3,5,0.6,2,4,0.5,1,1,1.0,0.8,2,2,1.0,0,0,0,9,0,0,3,0,10,11.0,H,1,1,korie-lucious-1,Korie Lucious,2013
16,108,16,2013-01-16,Iowa State,,West Virginia,REG (Conf),W 69-67,*,35,5,10,0.5,2,3,0.667,3,7,0.429,0.6,3,4,0.75,0,1,1,8,2,0,4,1,15,13.1,H,1,1,korie-lucious-1,Korie Lucious,2013
17,109,17,2013-01-19,Iowa State,@,TCU,REG (Conf),W 63-50,*,26,3,5,0.6,0,1,0.0,3,4,0.75,0.6,0,0,,0,0,0,5,1,0,4,2,6,3.4,A,1,1,korie-lucious-1,Korie Lucious,2013
