rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2012-11-09,Gonzaga,,Southern Utah,REG (Non-Conf),W 103-65,,20,10,16,0.625,0,0,10,16,0.625,0.625,2,7,0.286,2,1,3,0,0,0,1,1,22,13.1,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
2,2,2,2012-11-12,Gonzaga,,West Virginia,REG (Non-Conf),W 84-50,,17,3,4,0.75,0,0,3,4,0.75,0.75,0,2,0.0,0,4,4,2,0,0,0,4,6,4.6,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
3,3,3,2012-11-18,Gonzaga,,South Dakota,REG (Non-Conf),W 96-58,,19,9,10,0.9,0,0,9,10,0.9,0.9,2,4,0.5,2,2,4,0,1,1,2,0,20,17.5,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
4,4,4,2012-11-22,Gonzaga,N,Clemson,REG (Non-Conf),W 57-49,,9,0,0,,0,0,0,0,,,0,2,0.0,0,3,3,0,0,0,2,1,0,-2.3,N,1,1,przemek-karnowski-1,Przemek Karnowski,2013
5,5,5,2012-11-23,Gonzaga,N,Oklahoma,REG (Non-Conf),W 72-47,,14,3,6,0.5,0,0,3,6,0.5,0.5,2,5,0.4,4,2,6,0,0,0,1,1,8,5.8,N,1,1,przemek-karnowski-1,Przemek Karnowski,2013
6,6,6,2012-11-25,Gonzaga,N,Davidson,REG (Non-Conf),W 81-67,,12,2,4,0.5,0,0,2,4,0.5,0.5,2,3,0.667,0,1,1,0,0,0,0,2,6,3.1,N,1,1,przemek-karnowski-1,Przemek Karnowski,2013
7,7,7,2012-11-29,Gonzaga,,Lewis-Clark St.,REG (Non-Conf),W 104-57,,27,8,10,0.8,0,0,8,10,0.8,0.8,0,4,0.0,3,3,6,2,1,2,3,1,16,14.0,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
8,8,8,2012-12-01,Gonzaga,,Pacific,REG (Non-Conf),W 85-67,,11,2,4,0.5,0,0,2,4,0.5,0.5,2,2,1.0,4,2,6,0,0,1,2,3,6,4.9,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
9,9,9,2012-12-05,Gonzaga,@,Washington State,REG (Non-Conf),W 71-69,,3,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
10,10,10,2012-12-08,Gonzaga,,Illinois,REG (Non-Conf),L 74-85,,9,4,5,0.8,0,0,4,5,0.8,0.8,1,3,0.333,1,1,2,1,0,1,0,2,9,7.9,H,0,1,przemek-karnowski-1,Przemek Karnowski,2013
11,11,11,2012-12-15,Gonzaga,N,Kansas State,REG (Non-Conf),W 68-52,,14,2,5,0.4,0,0,2,5,0.4,0.4,1,2,0.5,0,0,0,0,0,1,2,1,5,0.2,N,1,1,przemek-karnowski-1,Przemek Karnowski,2013
12,12,12,2012-12-19,Gonzaga,,Campbell,REG (Non-Conf),W 74-52,*,20,6,9,0.667,0,0,6,9,0.667,0.667,2,2,1.0,1,1,2,1,0,1,1,2,14,10.7,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
13,13,13,2012-12-28,Gonzaga,,Baylor,REG (Non-Conf),W 94-87,,8,0,2,0.0,0,0,0,2,0.0,0.0,2,2,1.0,1,0,1,0,0,0,0,1,2,0.9,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
14,14,14,2012-12-31,Gonzaga,@,Oklahoma State,REG (Non-Conf),W 69-68,,7,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,0,0,0,0,0,0,0,0,4,3.4,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
15,15,15,2013-01-03,Gonzaga,@,Pepperdine,REG (Conf),W 78-62,,13,2,2,1.0,0,0,2,2,1.0,1.0,1,2,0.5,1,1,2,0,1,0,1,1,5,4.6,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
16,16,16,2013-01-05,Gonzaga,@,Santa Clara,REG (Conf),W 81-74,,4,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
17,17,17,2013-01-10,Gonzaga,,St. Mary's (CA),REG (Conf),W 83-78,,7,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,0,2,2,0,1,0,1,0,4,4.0,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
18,18,18,2013-01-17,Gonzaga,@,Portland,REG (Conf),W 71-49,,15,0,3,0.0,0,0,0,3,0.0,0.0,0,0,,0,2,2,0,0,1,2,1,0,-3.2,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
19,19,19,2013-01-19,Gonzaga,@,Butler,REG (Non-Conf),L 63-64,,6,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,2,2,0,0,0,0,1,0,-0.5,A,0,1,przemek-karnowski-1,Przemek Karnowski,2013
20,20,20,2013-01-24,Gonzaga,,Brigham Young,REG (Conf),W 83-63,,6,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,0,1,1,0,0,0,1,1,2,-0.8,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
21,21,21,2013-01-26,Gonzaga,,San Francisco,REG (Conf),W 66-52,,11,1,4,0.25,0,0,1,4,0.25,0.25,0,0,,0,1,1,0,0,1,0,1,2,0.2,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
22,22,22,2013-01-31,Gonzaga,@,Loyola Marymount,REG (Conf),W 88-43,,20,3,7,0.429,0,0,3,7,0.429,0.429,1,4,0.25,2,6,8,1,0,1,1,0,7,5.7,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
23,23,23,2013-02-02,Gonzaga,@,San Diego,REG (Conf),W 65-63,,5,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
24,24,24,2013-02-07,Gonzaga,,Pepperdine,REG (Conf),W 82-56,,18,4,9,0.444,0,0,4,9,0.444,0.444,2,6,0.333,5,4,9,0,1,0,2,2,10,6.6,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
25,25,25,2013-02-09,Gonzaga,,Loyola Marymount,REG (Conf),W 74-55,,4,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,0,0,0,0,0,0,1,0,2,0.0,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
26,26,26,2013-02-14,Gonzaga,@,St. Mary's (CA),REG (Conf),W 77-60,,3,0,0,,0,0,0,0,,,1,2,0.5,0,2,2,0,0,0,0,0,1,1.2,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
27,27,27,2013-02-16,Gonzaga,@,San Francisco,REG (Conf),W 71-61,,3,0,3,0.0,0,0,0,3,0.0,0.0,0,0,,1,0,1,0,0,0,0,0,0,-1.4,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
28,28,28,2013-02-20,Gonzaga,,Santa Clara,REG (Conf),W 85-42,,17,4,6,0.667,0,0,4,6,0.667,0.667,1,2,0.5,0,2,2,0,0,0,1,3,9,4.4,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
29,29,29,2013-02-23,Gonzaga,,San Diego,REG (Conf),W 81-50,,15,2,5,0.4,0,0,2,5,0.4,0.4,4,5,0.8,3,0,3,0,0,0,0,1,8,6.6,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
30,30,30,2013-02-28,Gonzaga,@,Brigham Young,REG (Conf),W 70-65,,3,0,1,0.0,0,0,0,1,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,-1.5,A,1,1,przemek-karnowski-1,Przemek Karnowski,2013
31,31,31,2013-03-02,Gonzaga,,Portland,REG (Conf),W 81-52,,12,3,5,0.6,0,0,3,5,0.6,0.6,2,5,0.4,1,2,3,0,0,1,0,2,8,5.7,H,1,1,przemek-karnowski-1,Przemek Karnowski,2013
32,32,32,2013-03-09,Gonzaga,N,Loyola Marymount,CTOURN,W 66-48,,8,1,1,1.0,0,0,1,1,1.0,1.0,3,4,0.75,2,3,5,0,0,0,1,1,5,5.2,N,1,0,przemek-karnowski-1,Przemek Karnowski,2013
33,33,33,2013-03-11,Gonzaga,N,St. Mary's (CA),CTOURN,W 65-51,,1,0,1,0.0,0,0,0,1,0.0,0.0,1,2,0.5,2,1,3,0,0,0,0,0,1,1.6,N,1,0,przemek-karnowski-1,Przemek Karnowski,2013
