rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2012-11-09,Duke,,Georgia State,REG (Non-Conf),W 74-55,*,30,2,5,0.4,2,3,0.667,0,2,0.0,0.6,0,0,,0,4,4,4,0,0,1,3,6,5.1,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
2,2,2,2012-11-13,Duke,N,Kentucky,REG (Non-Conf),W 75-68,*,33,3,14,0.214,3,7,0.429,0,7,0.0,0.321,1,2,0.5,2,4,6,5,0,0,0,1,10,6.7,N,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
3,3,3,2012-11-18,Duke,,Florida Gulf Coast,REG (Non-Conf),W 88-67,*,33,5,12,0.417,3,8,0.375,2,4,0.5,0.542,6,6,1.0,0,3,3,2,1,0,3,2,19,12.1,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
4,4,4,2012-11-22,Duke,N,Minnesota,REG (Non-Conf),W 89-71,*,28,4,7,0.571,1,1,1.0,3,6,0.5,0.643,2,3,0.667,0,2,2,1,1,0,2,3,11,6.4,N,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
5,5,5,2012-11-23,Duke,N,VCU,REG (Non-Conf),W 67-58,*,34,4,12,0.333,2,5,0.4,2,7,0.286,0.417,2,2,1.0,2,5,7,0,1,0,0,1,12,8.7,N,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
6,6,6,2012-11-24,Duke,N,Louisville,REG (Non-Conf),W 76-71,*,34,6,13,0.462,1,6,0.167,5,7,0.714,0.5,1,2,0.5,2,2,4,0,3,1,3,2,14,8.8,N,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
7,7,7,2012-11-28,Duke,,Ohio State,REG (Non-Conf),W 73-68,*,31,7,12,0.583,2,4,0.5,5,8,0.625,0.667,1,2,0.5,0,4,4,0,0,0,1,2,17,10.4,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
8,8,8,2012-12-01,Duke,,Delaware,REG (Non-Conf),W 88-50,*,33,6,12,0.5,1,4,0.25,5,8,0.625,0.542,1,1,1.0,1,3,4,6,0,0,2,3,14,10.6,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
9,9,9,2012-12-08,Duke,N,Temple,REG (Non-Conf),W 90-67,*,30,2,6,0.333,1,2,0.5,1,4,0.25,0.417,3,3,1.0,0,2,2,7,1,0,0,1,8,10.7,N,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
10,10,10,2012-12-19,Duke,,Cornell,REG (Non-Conf),W 88-47,*,26,6,10,0.6,0,3,0.0,6,7,0.857,0.6,4,4,1.0,0,0,0,2,3,0,3,2,16,12.0,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
11,11,11,2012-12-20,Duke,,Elon,REG (Non-Conf),W 76-54,*,26,5,10,0.5,3,4,0.75,2,6,0.333,0.65,0,0,,0,2,2,4,1,0,2,1,13,10.0,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
12,12,12,2012-12-29,Duke,,Santa Clara,REG (Non-Conf),W 90-77,*,29,2,8,0.25,0,2,0.0,2,6,0.333,0.25,2,5,0.4,1,0,1,2,2,0,1,2,6,2.3,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
13,13,13,2013-01-02,Duke,N,Davidson,REG (Non-Conf),W 67-50,*,31,1,6,0.167,0,1,0.0,1,5,0.2,0.167,6,6,1.0,0,7,7,0,0,1,1,1,8,5.6,N,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
14,14,14,2013-01-05,Duke,,Wake Forest,REG (Conf),W 80-62,*,25,5,11,0.455,2,4,0.5,3,7,0.429,0.545,0,0,,0,3,3,0,2,0,0,2,12,8.4,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
15,15,15,2013-01-08,Duke,,Clemson,REG (Conf),W 68-40,*,24,1,5,0.2,0,2,0.0,1,3,0.333,0.2,0,2,0.0,1,6,7,1,0,0,1,4,2,-1.3,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
16,16,16,2013-01-12,Duke,@,NC State,REG (Conf),L 76-84,*,27,0,10,0.0,0,3,0.0,0,7,0.0,0.0,4,4,1.0,0,0,0,0,0,0,0,2,4,-3.8,A,0,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
17,17,17,2013-01-17,Duke,,Georgia Tech,REG (Conf),W 73-57,,27,5,8,0.625,3,4,0.75,2,4,0.5,0.813,2,4,0.5,1,4,5,1,0,0,1,3,15,11.0,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
18,18,18,2013-01-23,Duke,@,Miami (FL),REG (Conf),L 63-90,*,26,4,9,0.444,2,6,0.333,2,3,0.667,0.556,6,6,1.0,0,2,2,3,4,0,2,3,16,14.8,A,0,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
19,19,19,2013-01-26,Duke,,Maryland,REG (Conf),W 84-64,*,29,9,13,0.692,6,8,0.75,3,5,0.6,0.923,1,2,0.5,0,1,1,2,0,0,0,4,25,19.2,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
20,20,20,2013-01-30,Duke,@,Wake Forest,REG (Conf),W 75-70,*,24,2,4,0.5,0,2,0.0,2,2,1.0,0.5,2,3,0.667,1,3,4,1,0,0,1,3,6,3.7,A,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
21,21,21,2013-02-02,Duke,@,Florida State,REG (Conf),W 79-60,*,35,6,11,0.545,2,4,0.5,4,7,0.571,0.636,0,0,,0,2,2,3,1,0,1,2,14,10.6,A,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
22,22,22,2013-02-07,Duke,,NC State,REG (Conf),W 98-85,*,35,3,8,0.375,2,4,0.5,1,4,0.25,0.5,3,3,1.0,0,5,5,2,0,0,2,4,11,5.9,H,1,1,rasheed-sulaimon-1,Rasheed Sulaimon,2013
