rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,75,3,2012-11-18,Florida,N,Middle Tennessee,REG (Non-Conf),W 66-45,,23,3,6,0.5,0,1,0.0,3,5,0.6,0.5,2,2,1.0,1,2,3,3,2,0,2,1,8,8.0,N,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
2,76,4,2012-11-20,Florida,,Savannah State,REG (Non-Conf),W 58-40,,25,1,4,0.25,1,1,1.0,0,3,0.0,0.375,1,2,0.5,1,2,3,2,3,0,0,0,4,6.9,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
3,77,5,2012-11-23,Florida,,UCF,REG (Non-Conf),W 79-66,,32,6,12,0.5,4,9,0.444,2,3,0.667,0.667,1,2,0.5,4,1,5,8,3,0,2,3,17,19.1,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
4,78,6,2012-11-29,Florida,,Marquette,REG (Non-Conf),W 82-49,*,27,2,6,0.333,0,2,0.0,2,4,0.5,0.333,0,0,,1,1,2,4,0,0,0,1,4,4.0,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
5,79,7,2012-12-05,Florida,@,Florida State,REG (Non-Conf),W 72-47,*,31,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,1,1,2,5,5,0,3,2,5,8.0,A,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
6,80,8,2012-12-15,Florida,@,Arizona,REG (Non-Conf),L 64-65,,35,4,5,0.8,3,3,1.0,1,2,0.5,1.1,0,0,,0,1,1,3,0,0,1,3,11,9.3,A,0,1,scottie-wilbekin-1,Scottie Wilbekin,2013
7,81,9,2012-12-19,Florida,,Southeastern Louisiana,REG (Non-Conf),W 82-43,,28,3,6,0.5,3,6,0.5,0,0,,0.75,0,0,,0,6,6,4,1,1,1,0,9,11.3,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
8,82,10,2012-12-22,Florida,N,Kansas State,REG (Non-Conf),L 61-67,*,34,5,11,0.455,0,3,0.0,5,8,0.625,0.455,1,2,0.5,0,1,1,7,0,0,2,1,11,7.7,N,0,1,scottie-wilbekin-1,Scottie Wilbekin,2013
9,83,11,2012-12-29,Florida,N,Air Force,REG (Non-Conf),W 78-61,*,38,2,7,0.286,0,4,0.0,2,3,0.667,0.286,5,8,0.625,0,4,4,1,3,0,4,3,9,3.4,N,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
10,84,12,2013-01-06,Florida,@,Yale,REG (Non-Conf),W 79-58,*,25,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,0,0,10,1,0,3,4,4,6.1,A,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
11,85,13,2013-01-09,Florida,,Georgia,REG (Conf),W 77-44,*,32,3,7,0.429,2,4,0.5,1,3,0.333,0.571,0,0,,1,1,2,6,2,0,2,1,8,9.1,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
12,86,14,2013-01-12,Florida,@,Louisiana State,REG (Conf),W 74-52,*,36,3,10,0.3,1,3,0.333,2,7,0.286,0.35,0,0,,1,4,5,3,2,0,2,1,7,4.8,A,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
13,87,15,2013-01-17,Florida,@,Texas A&M,REG (Conf),W 68-47,*,34,2,8,0.25,0,2,0.0,2,6,0.333,0.25,2,2,1.0,0,3,3,3,2,0,2,1,6,3.8,A,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
14,88,16,2013-01-19,Florida,,Missouri,REG (Conf),W 83-52,*,33,6,8,0.75,1,2,0.5,5,6,0.833,0.813,0,0,,0,3,3,10,3,0,3,1,13,17.3,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
15,89,17,2013-01-23,Florida,@,Georgia,REG (Conf),W 64-47,*,36,7,9,0.778,2,3,0.667,5,6,0.833,0.889,1,2,0.5,0,2,2,3,1,0,1,3,17,14.6,A,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
16,90,18,2013-01-26,Florida,@,Mississippi State,REG (Conf),W 82-47,*,32,5,9,0.556,3,5,0.6,2,4,0.5,0.722,0,0,,1,1,2,9,0,0,3,1,13,12.6,A,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
17,91,19,2013-01-30,Florida,,South Carolina,REG (Conf),W 75-36,*,30,3,5,0.6,1,1,1.0,2,4,0.5,0.7,1,2,0.5,2,2,4,3,1,0,2,2,8,7.6,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
18,92,20,2013-02-02,Florida,,Ole Miss,REG (Conf),W 78-64,*,35,6,15,0.4,1,7,0.143,5,8,0.625,0.433,0,0,,0,1,1,7,2,1,2,2,13,10.0,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
19,93,21,2013-02-05,Florida,@,Arkansas,REG (Conf),L 69-80,*,33,5,15,0.333,2,5,0.4,3,10,0.3,0.4,2,2,1.0,2,5,7,4,0,0,3,3,14,7.0,A,0,1,scottie-wilbekin-1,Scottie Wilbekin,2013
20,94,22,2013-02-09,Florida,,Mississippi State,REG (Conf),W 83-58,,33,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,,1,2,3,7,0,0,2,2,5,6.4,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
21,95,23,2013-02-12,Florida,,Kentucky,REG (Conf),W 69-52,*,36,5,9,0.556,1,2,0.5,4,7,0.571,0.611,3,4,0.75,0,1,1,8,2,0,3,2,14,13.4,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
22,96,24,2013-02-16,Florida,@,Auburn,REG (Conf),W 83-52,*,28,3,7,0.429,0,3,0.0,3,4,0.75,0.429,0,0,,0,4,4,10,3,0,3,0,6,10.5,A,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
23,97,25,2013-02-19,Florida,@,Missouri,REG (Conf),L 60-63,*,35,3,6,0.5,1,3,0.333,2,3,0.667,0.583,1,3,0.333,0,5,5,4,0,0,2,2,8,5.7,A,0,1,scottie-wilbekin-1,Scottie Wilbekin,2013
24,98,26,2013-02-23,Florida,,Arkansas,REG (Conf),W 71-54,*,33,1,3,0.333,0,0,,1,3,0.333,0.333,2,3,0.667,1,5,6,6,2,0,0,3,4,9.1,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
25,99,27,2013-02-26,Florida,@,Tennessee,REG (Conf),L 58-64,*,39,4,9,0.444,0,1,0.0,4,8,0.5,0.444,0,0,,0,8,8,6,2,0,1,4,8,9.3,A,0,1,scottie-wilbekin-1,Scottie Wilbekin,2013
26,100,28,2013-03-02,Florida,,Alabama,REG (Conf),W 64-52,*,38,4,7,0.571,0,1,0.0,4,6,0.667,0.571,3,3,1.0,0,3,3,1,1,0,4,0,11,6.3,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
27,101,29,2013-03-06,Florida,,Vanderbilt,REG (Conf),W 66-40,*,30,2,3,0.667,2,2,1.0,0,1,0.0,1.0,2,2,1.0,0,1,1,4,0,0,3,1,8,6.4,H,1,1,scottie-wilbekin-1,Scottie Wilbekin,2013
28,102,30,2013-03-09,Florida,@,Kentucky,REG (Conf),L 57-61,*,26,2,8,0.25,1,4,0.25,1,4,0.25,0.313,2,2,1.0,0,1,1,2,0,0,2,3,7,0.7,A,0,1,scottie-wilbekin-1,Scottie Wilbekin,2013
29,103,31,2013-03-15,Florida,N,Louisiana State,CTOURN,W 80-58,*,27,6,8,0.75,4,5,0.8,2,3,0.667,1.0,0,0,,1,1,2,3,2,0,1,3,16,15.7,N,1,0,scottie-wilbekin-1,Scottie Wilbekin,2013
30,104,32,2013-03-16,Florida,N,Alabama,CTOURN,W 61-51,*,37,1,4,0.25,0,2,0.0,1,2,0.5,0.25,2,2,1.0,0,2,2,4,3,0,1,1,4,6.6,N,1,0,scottie-wilbekin-1,Scottie Wilbekin,2013
31,105,33,2013-03-17,Florida,N,Ole Miss,CTOURN,L 63-66,*,34,3,11,0.273,1,6,0.167,2,5,0.4,0.318,0,2,0.0,0,1,1,4,0,0,3,3,7,-1.4,N,0,0,scottie-wilbekin-1,Scottie Wilbekin,2013
32,106,34,2013-03-22,Florida,N,Northwestern State,ROUND-64,W 79-47,*,32,4,6,0.667,0,2,0.0,4,4,1.0,0.667,3,4,0.75,1,0,1,4,2,0,2,0,11,11.5,N,1,0,scottie-wilbekin-1,Scottie Wilbekin,2013
33,107,35,2013-03-24,Florida,N,Minnesota,ROUND-32,W 78-64,*,34,2,3,0.667,1,1,1.0,1,2,0.5,0.833,7,10,0.7,0,1,1,6,1,0,3,3,12,10.8,N,1,0,scottie-wilbekin-1,Scottie Wilbekin,2013
34,108,36,2013-03-29,Florida,N,Florida Gulf Coast,ROUND-16,W 62-50,*,29,3,11,0.273,0,3,0.0,3,8,0.375,0.273,7,8,0.875,1,2,3,3,0,0,2,2,13,6.7,N,1,0,scottie-wilbekin-1,Scottie Wilbekin,2013
35,109,37,2013-03-31,Florida,N,Michigan,ROUND-8,L 59-79,*,27,1,6,0.167,0,0,,1,6,0.167,0.167,2,2,1.0,0,3,3,7,4,0,4,5,4,4.0,N,0,0,scottie-wilbekin-1,Scottie Wilbekin,2013
