rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,105,1,2012-11-11,Arizona,,Charleston Southern,REG (Non-Conf),W 82-73,*,30,5,11,0.455,4,8,0.5,1,3,0.333,0.636,0,0,,3,2,5,2,0,1,1,4,14,10.5,H,1,1,solomon-hill-1,Solomon Hill,2013
2,106,2,2012-11-15,Arizona,,UTEP,REG (Non-Conf),W 72-51,*,33,4,9,0.444,2,3,0.667,2,6,0.333,0.556,0,0,,2,4,6,4,0,0,3,3,10,6.5,H,1,1,solomon-hill-1,Solomon Hill,2013
3,107,3,2012-11-19,Arizona,,Long Beach State,REG (Non-Conf),W 94-72,*,24,2,8,0.25,0,5,0.0,2,3,0.667,0.25,11,11,1.0,1,5,6,4,0,0,1,1,15,13.8,H,1,1,solomon-hill-1,Solomon Hill,2013
4,108,4,2012-11-28,Arizona,,Northern Arizona,REG (Non-Conf),W 93-50,*,25,5,7,0.714,3,4,0.75,2,3,0.667,0.929,4,7,0.571,1,2,3,2,0,0,1,0,17,14.6,H,1,1,solomon-hill-1,Solomon Hill,2013
5,109,5,2012-12-01,Arizona,@,Texas Tech,REG (Non-Conf),W 85-57,*,26,4,6,0.667,2,3,0.667,2,3,0.667,0.833,4,6,0.667,0,4,4,3,3,0,2,0,14,14.9,A,1,1,solomon-hill-1,Solomon Hill,2013
6,110,6,2012-12-04,Arizona,,Southern Mississippi,REG (Non-Conf),W 63-55,*,37,3,7,0.429,3,5,0.6,0,2,0.0,0.643,0,0,,2,2,4,4,2,1,4,2,9,8.0,H,1,1,solomon-hill-1,Solomon Hill,2013
7,111,7,2012-12-08,Arizona,@,Clemson,REG (Non-Conf),W 66-54,*,35,2,16,0.125,0,3,0.0,2,13,0.154,0.125,3,4,0.75,7,3,10,3,2,2,5,1,7,2.1,A,1,1,solomon-hill-1,Solomon Hill,2013
8,112,8,2012-12-15,Arizona,,Florida,REG (Non-Conf),W 65-64,*,37,5,9,0.556,2,6,0.333,3,3,1.0,0.667,6,6,1.0,0,1,1,3,2,1,1,0,18,17.8,H,1,1,solomon-hill-1,Solomon Hill,2013
9,113,9,2012-12-18,Arizona,,Oral Roberts,REG (Non-Conf),W 89-64,*,28,4,8,0.5,0,2,0.0,4,6,0.667,0.5,4,4,1.0,0,6,6,5,6,2,3,2,12,16.9,H,1,1,solomon-hill-1,Solomon Hill,2013
10,114,10,2012-12-22,Arizona,N,East Tennessee State,REG (Non-Conf),W 73-53,*,24,2,7,0.286,1,4,0.25,1,3,0.333,0.357,2,3,0.667,2,4,6,2,1,0,1,1,7,6.1,N,1,1,solomon-hill-1,Solomon Hill,2013
11,115,11,2012-12-23,Arizona,N,Miami (FL),REG (Non-Conf),W 69-50,*,28,2,4,0.5,0,1,0.0,2,3,0.667,0.5,4,4,1.0,0,3,3,2,2,0,0,2,8,9.5,N,1,1,solomon-hill-1,Solomon Hill,2013
12,116,12,2012-12-25,Arizona,N,San Diego State,REG (Non-Conf),W 68-67,*,37,7,15,0.467,0,3,0.0,7,12,0.583,0.467,7,12,0.583,5,1,6,3,0,1,0,3,21,16.7,N,1,1,solomon-hill-1,Solomon Hill,2013
13,117,13,2013-01-03,Arizona,,Colorado,REG (Conf),W 92-83 (OT),*,34,4,8,0.5,2,3,0.667,2,5,0.4,0.625,5,6,0.833,3,5,8,0,0,0,5,4,15,7.6,H,1,1,solomon-hill-1,Solomon Hill,2013
14,118,14,2013-01-05,Arizona,,Utah,REG (Conf),W 60-57,*,35,6,7,0.857,3,3,1.0,3,4,0.75,1.071,4,4,1.0,4,2,6,1,1,0,3,4,19,17.0,H,1,1,solomon-hill-1,Solomon Hill,2013
15,119,15,2013-01-10,Arizona,@,Oregon,REG (Conf),L 66-70,*,37,6,12,0.5,2,4,0.5,4,8,0.5,0.583,2,3,0.667,1,5,6,2,0,0,1,1,16,11.8,A,0,1,solomon-hill-1,Solomon Hill,2013
16,120,16,2013-01-12,Arizona,@,Oregon State,REG (Conf),W 80-70,*,35,5,10,0.5,5,8,0.625,0,2,0.0,0.75,1,2,0.5,2,4,6,0,1,1,2,2,16,12.1,A,1,1,solomon-hill-1,Solomon Hill,2013
17,121,17,2013-01-19,Arizona,@,Arizona State,REG (Conf),W 71-54,*,39,6,11,0.545,1,4,0.25,5,7,0.714,0.591,0,0,,1,5,6,5,1,0,1,1,13,13.0,A,1,1,solomon-hill-1,Solomon Hill,2013
18,122,18,2013-01-24,Arizona,,UCLA,REG (Conf),L 73-84,*,37,6,12,0.5,1,4,0.25,5,8,0.625,0.542,0,0,,4,6,10,2,1,0,4,3,13,8.8,H,0,1,solomon-hill-1,Solomon Hill,2013
19,123,19,2013-01-26,Arizona,,Southern California,REG (Conf),W 74-50,*,24,5,9,0.556,0,1,0.0,5,8,0.625,0.556,3,4,0.75,1,4,5,4,0,0,2,1,13,10.6,H,1,1,solomon-hill-1,Solomon Hill,2013
20,124,20,2013-01-31,Arizona,@,Washington,REG (Conf),W 57-53,*,36,5,12,0.417,0,4,0.0,5,8,0.625,0.417,0,0,,1,2,3,2,1,1,2,3,10,4.8,A,1,1,solomon-hill-1,Solomon Hill,2013
21,125,21,2013-02-02,Arizona,@,Washington State,REG (Conf),W 79-65,*,39,6,11,0.545,6,10,0.6,0,1,0.0,0.818,0,0,,0,3,3,2,2,0,1,2,18,15.2,A,1,1,solomon-hill-1,Solomon Hill,2013
22,126,22,2013-02-06,Arizona,,Stanford,REG (Conf),W 73-66,*,38,7,13,0.538,2,7,0.286,5,6,0.833,0.615,7,10,0.7,2,4,6,1,1,0,3,4,23,15.2,H,1,1,solomon-hill-1,Solomon Hill,2013
23,127,23,2013-02-10,Arizona,,California,REG (Conf),L 69-77,*,38,4,12,0.333,2,6,0.333,2,6,0.333,0.417,3,4,0.75,1,3,4,3,1,1,1,1,13,9.8,H,0,1,solomon-hill-1,Solomon Hill,2013
24,128,24,2013-02-14,Arizona,@,Colorado,REG (Conf),L 58-71,*,36,5,14,0.357,1,6,0.167,4,8,0.5,0.393,1,2,0.5,3,4,7,1,1,2,3,0,12,7.2,A,0,1,solomon-hill-1,Solomon Hill,2013
