rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2012-11-09,Pittsburgh,,Mount St. Mary's,REG (Non-Conf),W 80-48,*,26,4,5,0.8,0,0,4,5,0.8,0.8,0,0,,3,5,8,3,1,4,1,0,8,14.6,H,1,1,steven-adams-1,Steven Adams,2013
2,2,2,2012-11-12,Pittsburgh,,Fordham,REG (Non-Conf),W 86-51,*,19,5,5,1.0,0,0,5,5,1.0,1.0,3,4,0.75,5,0,5,0,2,1,0,2,13,16.5,H,1,1,steven-adams-1,Steven Adams,2013
3,3,3,2012-11-13,Pittsburgh,,Lehigh,REG (Non-Conf),W 78-53,*,22,3,7,0.429,0,0,3,7,0.429,0.429,0,0,,1,3,4,1,1,2,2,1,6,4.6,H,1,1,steven-adams-1,Steven Adams,2013
4,4,4,2012-11-17,Pittsburgh,,Oakland,REG (Non-Conf),W 72-62 (OT),*,17,2,4,0.5,0,0,2,4,0.5,0.5,0,0,,2,3,5,0,0,2,1,4,4,3.1,H,1,1,steven-adams-1,Steven Adams,2013
5,5,5,2012-11-21,Pittsburgh,N,Michigan,REG (Non-Conf),L 62-67,*,10,0,1,0.0,0,0,0,1,0.0,0.0,0,2,0.0,0,1,1,0,0,0,0,2,0,-2.0,N,0,1,steven-adams-1,Steven Adams,2013
6,6,6,2012-11-23,Pittsburgh,N,Delaware,REG (Non-Conf),W 85-59,*,24,6,9,0.667,0,0,6,9,0.667,0.667,1,2,0.5,2,1,3,0,2,3,0,2,13,13.7,N,1,1,steven-adams-1,Steven Adams,2013
7,7,7,2012-11-27,Pittsburgh,,Howard,REG (Non-Conf),W 70-46,*,26,1,4,0.25,0,0,1,4,0.25,0.25,0,1,0.0,2,4,6,0,0,1,2,1,2,0.1,H,1,1,steven-adams-1,Steven Adams,2013
8,8,8,2012-12-01,Pittsburgh,,Detroit Mercy,REG (Non-Conf),W 74-61,*,12,1,2,0.5,0,0,1,2,0.5,0.5,0,2,0.0,2,1,3,0,0,0,2,2,2,-0.9,H,1,1,steven-adams-1,Steven Adams,2013
9,9,9,2012-12-05,Pittsburgh,N,Duquesne,REG (Non-Conf),W 66-45,*,28,4,9,0.444,0,0,4,9,0.444,0.444,0,2,0.0,9,5,14,1,1,2,0,1,8,13.0,N,1,1,steven-adams-1,Steven Adams,2013
10,10,10,2012-12-08,Pittsburgh,,North Florida,REG (Non-Conf),W 89-47,*,24,3,4,0.75,0,0,3,4,0.75,0.75,0,2,0.0,3,4,7,1,2,4,1,0,6,11.4,H,1,1,steven-adams-1,Steven Adams,2013
11,11,11,2012-12-15,Pittsburgh,,Bethune-Cookman,REG (Non-Conf),W 89-40,*,22,7,10,0.7,0,0,7,10,0.7,0.7,2,3,0.667,5,5,10,1,1,1,0,2,16,18.0,H,1,1,steven-adams-1,Steven Adams,2013
12,12,12,2012-12-19,Pittsburgh,,Delaware State,REG (Non-Conf),W 71-43,*,24,4,5,0.8,0,0,4,5,0.8,0.8,2,4,0.5,3,5,8,1,0,4,3,2,10,10.6,H,1,1,steven-adams-1,Steven Adams,2013
13,13,13,2012-12-23,Pittsburgh,,Kennesaw State,REG (Non-Conf),W 59-43,*,24,3,4,0.75,0,0,3,4,0.75,0.75,1,4,0.25,3,4,7,0,0,1,0,1,7,7.8,H,1,1,steven-adams-1,Steven Adams,2013
14,14,14,2012-12-31,Pittsburgh,,Cincinnati,REG (Conf),L 61-70,*,24,0,0,,0,0,0,0,,,0,0,,3,6,9,1,0,1,1,4,0,2.7,H,0,1,steven-adams-1,Steven Adams,2013
15,15,15,2013-01-05,Pittsburgh,@,Rutgers,REG (Conf),L 62-67,*,28,4,6,0.667,0,0,4,6,0.667,0.667,0,0,,1,3,4,0,2,0,0,1,8,8.6,A,0,1,steven-adams-1,Steven Adams,2013
