rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,47,1,2012-11-09,Villanova,,Dist. Columbia,REG (Non-Conf),W 78-58,,26,2,8,0.25,0,0,,2,8,0.25,0.25,0,0,,0,4,4,5,2,0,0,4,4,4.3,H,1,1,tony-chennault-1,Tony Chennault,2013
2,48,2,2012-11-11,Villanova,,Marshall,REG (Non-Conf),W 80-68,,13,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,1,1,0,0,0,1,1,4,0.2,H,1,1,tony-chennault-1,Tony Chennault,2013
3,49,3,2012-11-15,Villanova,N,Purdue,REG (Non-Conf),W 89-81 (OT),,11,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,1,1,0,0,2,2,2.2,N,1,1,tony-chennault-1,Tony Chennault,2013
4,50,4,2012-11-16,Villanova,N,Alabama,REG (Non-Conf),L 55-77,,21,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1.0,0,2,2,0,1,0,1,3,4,1.0,N,0,1,tony-chennault-1,Tony Chennault,2013
5,51,5,2012-11-20,Villanova,,Columbia,REG (Non-Conf),L 57-75,,28,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,2,0.0,1,2,3,4,1,0,3,4,4,1.0,H,0,1,tony-chennault-1,Tony Chennault,2013
6,52,6,2012-11-25,Villanova,@,La Salle,REG (Non-Conf),L 74-77 (OT),,23,1,3,0.333,0,2,0.0,1,1,1.0,0.333,4,4,1.0,0,2,2,0,1,0,3,2,6,2.1,A,0,1,tony-chennault-1,Tony Chennault,2013
7,53,7,2012-12-01,Villanova,@,Vanderbilt,REG (Non-Conf),W 62-52,,16,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,3,3,2,0,0,2,3,3,1.1,A,1,1,tony-chennault-1,Tony Chennault,2013
8,54,8,2012-12-05,Villanova,,Temple,REG (Non-Conf),L 61-76,,13,4,7,0.571,2,3,0.667,2,4,0.5,0.714,0,0,,0,0,0,0,0,0,1,4,10,4.1,H,0,1,tony-chennault-1,Tony Chennault,2013
9,55,9,2012-12-08,Villanova,@,Pennsylvania,REG (Non-Conf),W 68-55,,16,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,4,4,0,-5.3,A,1,1,tony-chennault-1,Tony Chennault,2013
10,56,10,2012-12-11,Villanova,,Saint Joseph's,REG (Non-Conf),W 65-61,,13,0,4,0.0,0,1,0.0,0,3,0.0,0.0,1,2,0.5,0,2,2,2,0,0,0,2,1,-1.0,H,1,1,tony-chennault-1,Tony Chennault,2013
11,57,11,2012-12-16,Villanova,,Delaware,REG (Non-Conf),W 75-65,,22,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,0,1,1,0,1,0,1,2,4,0.8,H,1,1,tony-chennault-1,Tony Chennault,2013
12,58,12,2012-12-22,Villanova,@,Monmouth,REG (Non-Conf),W 83-56,,18,3,4,0.75,3,3,1.0,0,1,0.0,1.125,2,2,1.0,0,1,1,2,1,0,1,3,11,9.9,A,1,1,tony-chennault-1,Tony Chennault,2013
13,59,13,2012-12-28,Villanova,,NJIT,REG (Non-Conf),W 70-60,,23,1,6,0.167,0,1,0.0,1,5,0.2,0.167,2,2,1.0,0,1,1,5,3,0,1,3,4,4.8,H,1,1,tony-chennault-1,Tony Chennault,2013
14,60,14,2013-01-02,Villanova,,St. John's (NY),REG (Conf),W 98-86 (OT),,16,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,2,2,2,0,0,2,2,4,0.5,H,1,1,tony-chennault-1,Tony Chennault,2013
15,61,15,2013-01-09,Villanova,@,South Florida,REG (Conf),W 61-53,,10,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,1,2,0,-3.6,A,1,1,tony-chennault-1,Tony Chennault,2013
