rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2013-11-08,Coastal Carolina,@,Akron,REG (Non-Conf),L 63-72,,18,0,4,0.0,0,2,0.0,0,2,0.0,0.0,2,3,0.667,0,4,4,1,2,0,1,1,2,1.3,A,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
2,2,2,2013-11-11,Coastal Carolina,,Guilford,REG (Non-Conf),W 76-49,,21,3,9,0.333,1,3,0.333,2,6,0.333,0.389,1,2,0.5,1,5,6,4,2,0,1,2,8,7.7,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
3,3,3,2013-11-16,Coastal Carolina,,Ole Miss,REG (Non-Conf),L 70-72,,16,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,1,0.0,1,4,5,0,0,1,2,5,2,-2.9,H,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
4,4,4,2013-11-19,Coastal Carolina,@,Minnesota,REG (Non-Conf),L 72-82,,29,6,6,1.0,3,3,1.0,3,3,1.0,1.25,0,0,,1,4,5,6,0,1,5,4,15,13.4,A,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
5,5,5,2013-11-23,Coastal Carolina,,St. Francis Brooklyn,REG (Non-Conf),W 70-59,,20,2,2,1.0,0,0,,2,2,1.0,1.0,1,1,1.0,0,5,5,1,0,1,1,1,5,5.9,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
6,6,6,2013-11-24,Coastal Carolina,,Louisiana–Lafayette,REG (Non-Conf),L 69-73,,17,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,2,2,0,1,0,1,2,4,2.5,H,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
7,7,7,2013-11-29,Coastal Carolina,@,Clemson,REG (Non-Conf),L 40-69,,10,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,2,1,0,-3.5,A,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
8,8,8,2013-12-04,Coastal Carolina,,Western Carolina,REG (Non-Conf),W 76-68,,17,2,5,0.4,0,2,0.0,2,3,0.667,0.4,0,0,,2,1,3,0,0,0,1,0,4,2.0,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
9,9,9,2013-12-05,Coastal Carolina,,N.C. Wesleyan,REG (Non-Conf),W 89-54,,16,4,5,0.8,3,4,0.75,1,1,1.0,1.1,0,0,,0,2,2,1,0,1,0,3,11,9.9,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
10,10,10,2013-12-14,Coastal Carolina,,Reinhardt,REG (Non-Conf),W 118-82,,20,4,6,0.667,2,4,0.5,2,2,1.0,0.833,0,0,,0,1,1,3,0,0,3,1,10,6.4,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
11,11,11,2013-12-17,Coastal Carolina,@,South Carolina State,REG (Non-Conf),L 78-83,,12,3,6,0.5,3,6,0.5,0,0,,0.75,0,0,,0,2,2,0,0,0,1,2,9,4.8,A,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
12,12,12,2013-12-21,Coastal Carolina,@,Central Connecticut State,REG (Non-Conf),W 65-62,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
13,13,19,2014-01-22,Coastal Carolina,@,Presbyterian,REG (Conf),W 84-72,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,A,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
14,14,20,2014-01-25,Coastal Carolina,@,Radford,REG (Conf),W 69-61,,7,2,3,0.667,0,0,,2,3,0.667,0.667,0,0,,1,0,1,0,0,0,0,0,4,3.4,A,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
15,15,21,2014-01-29,Coastal Carolina,,Liberty,REG (Conf),W 66-64,,6,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,2,2,0,0,0,0,1,0,-0.5,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
16,16,22,2014-02-01,Coastal Carolina,@,Campbell,REG (Conf),W 61-58,,8,1,4,0.25,0,2,0.0,1,2,0.5,0.25,0,0,,1,2,3,0,0,0,0,2,2,0.1,A,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
17,17,23,2014-02-05,Coastal Carolina,,High Point,REG (Conf),L 74-77,,14,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,1,0,1,1,2,0,2,0,2,2.4,H,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
18,18,24,2014-02-08,Coastal Carolina,,Longwood,REG (Conf),W 67-58,,16,1,4,0.25,1,3,0.333,0,1,0.0,0.375,1,2,0.5,0,3,3,1,0,0,0,1,4,2.4,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
19,19,25,2014-02-12,Coastal Carolina,@,VMI,REG (Conf),W 83-78,,14,1,3,0.333,0,0,,1,3,0.333,0.333,3,3,1.0,1,2,3,2,1,1,0,1,5,7.3,A,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
20,20,26,2014-02-15,Coastal Carolina,,Gardner-Webb,REG (Conf),W 75-60,,10,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,0,0,1,1,0,3,1.7,H,1,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
21,21,27,2014-02-19,Coastal Carolina,@,Winthrop,REG (Conf),L 65-75,,13,0,2,0.0,0,1,0.0,0,1,0.0,0.0,1,2,0.5,0,1,1,0,0,0,1,1,1,-1.9,A,0,1,colton-ray-st-cyr-1,Colton Ray-St Cyr,2014
