rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2013-11-09,New Mexico,,Alabama A&M,REG (Non-Conf),W 88-52,,20,2,6,0.333,1,2,0.5,1,4,0.25,0.417,7,9,0.778,0,3,3,2,1,0,4,1,12,6.7,H,1,1,cullen-neal-1,Cullen Neal,2014
2,2,2,2013-11-17,New Mexico,,Charleston Southern,REG (Non-Conf),W 109-93,,26,3,9,0.333,2,5,0.4,1,4,0.25,0.444,3,4,0.75,0,4,4,7,1,0,6,4,11,5.0,H,1,1,cullen-neal-1,Cullen Neal,2014
3,3,3,2013-11-21,New Mexico,N,UAB,REG (Non-Conf),W 97-94 (2OT),,20,0,8,0.0,0,4,0.0,0,4,0.0,0.0,4,4,1.0,0,1,1,0,1,0,1,4,4,-2.9,N,1,1,cullen-neal-1,Cullen Neal,2014
4,4,4,2013-11-22,New Mexico,N,Massachusetts,REG (Non-Conf),L 65-81,,17,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,0,2,2,3,0,0,6,1,3,-2.4,N,0,1,cullen-neal-1,Cullen Neal,2014
5,5,5,2013-11-24,New Mexico,N,Davidson,REG (Non-Conf),W 79-58,,14,6,9,0.667,3,5,0.6,3,4,0.75,0.833,0,0,,0,2,2,0,0,0,2,2,15,8.9,N,1,1,cullen-neal-1,Cullen Neal,2014
6,6,6,2013-11-30,New Mexico,,San Diego,REG (Non-Conf),W 73-66,,13,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,2,2,0,-3.2,H,1,1,cullen-neal-1,Cullen Neal,2014
7,7,7,2013-12-04,New Mexico,@,New Mexico State,REG (Non-Conf),W 79-70,,16,1,3,0.333,1,2,0.5,0,1,0.0,0.5,3,3,1.0,0,1,1,1,0,0,2,1,6,2.9,A,1,1,cullen-neal-1,Cullen Neal,2014
8,8,8,2013-12-07,New Mexico,,Cincinnati,REG (Non-Conf),W 63-54,,24,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,2,0.0,0,0,0,1,0,0,2,2,5,-0.6,H,1,1,cullen-neal-1,Cullen Neal,2014
9,9,9,2013-12-14,New Mexico,N,Kansas,REG (Non-Conf),L 63-80,,18,1,7,0.143,0,2,0.0,1,5,0.2,0.143,2,2,1.0,2,0,2,0,0,0,1,2,4,-0.9,N,0,1,cullen-neal-1,Cullen Neal,2014
10,10,10,2013-12-17,New Mexico,,New Mexico State,REG (Non-Conf),L 61-67,*,27,1,7,0.143,0,1,0.0,1,6,0.167,0.143,2,2,1.0,0,1,1,2,0,0,1,4,4,-1.4,H,0,1,cullen-neal-1,Cullen Neal,2014
11,11,11,2013-12-21,New Mexico,N,Marquette,REG (Non-Conf),W 75-68,*,32,8,12,0.667,6,8,0.75,2,4,0.5,0.917,2,2,1.0,0,3,3,2,1,0,3,4,24,17.5,N,1,1,cullen-neal-1,Cullen Neal,2014
12,12,12,2013-12-23,New Mexico,,Grand Canyon,REG (Non-Conf),W 80-68,*,35,5,10,0.5,3,5,0.6,2,5,0.4,0.65,5,7,0.714,0,2,2,7,0,0,2,3,18,14.5,H,1,1,cullen-neal-1,Cullen Neal,2014
13,13,13,2014-01-04,New Mexico,,Colorado State,REG (Conf),W 80-73,,24,2,6,0.333,1,4,0.25,1,2,0.5,0.417,0,0,,0,1,1,1,0,0,2,5,5,-1.4,H,1,1,cullen-neal-1,Cullen Neal,2014
