rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,62,1,2013-11-08,Connecticut,N,Maryland,REG (Non-Conf),W 78-77,*,32,4,9,0.444,0,3,0.0,4,6,0.667,0.444,0,0,,0,2,2,2,2,3,1,2,8,7.6,N,1,1,deandre-daniels-1,DeAndre Daniels,2014
2,63,2,2013-11-11,Connecticut,,Yale,REG (Non-Conf),W 80-62,*,18,0,5,0.0,0,2,0.0,0,3,0.0,0.0,0,0,,0,1,1,0,0,1,1,2,0,-4.3,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
3,64,3,2013-11-14,Connecticut,,Detroit Mercy,REG (Non-Conf),W 101-55,*,15,4,10,0.4,1,2,0.5,3,8,0.375,0.45,2,2,1.0,2,2,4,0,0,1,0,2,11,7.5,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
4,65,4,2013-11-17,Connecticut,,Boston University,REG (Non-Conf),W 77-60,*,34,10,18,0.556,1,5,0.2,9,13,0.692,0.583,3,3,1.0,1,2,3,1,0,0,2,3,24,14.2,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
5,66,5,2013-11-21,Connecticut,N,Boston College,REG (Non-Conf),W 72-70,*,34,8,15,0.533,2,5,0.4,6,10,0.6,0.6,5,5,1.0,0,6,6,0,2,1,2,3,23,17.0,N,1,1,deandre-daniels-1,DeAndre Daniels,2014
6,67,6,2013-11-22,Connecticut,N,Indiana,REG (Non-Conf),W 59-58,*,31,2,8,0.25,1,2,0.5,1,6,0.167,0.313,2,2,1.0,1,5,6,0,0,0,0,3,7,3.2,N,1,1,deandre-daniels-1,DeAndre Daniels,2014
7,68,7,2013-11-26,Connecticut,,Loyola (MD),REG (Non-Conf),W 76-66,*,29,8,12,0.667,2,3,0.667,6,9,0.667,0.75,3,5,0.6,4,4,8,0,0,3,3,3,21,16.9,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
8,69,8,2013-12-02,Connecticut,,Florida,REG (Non-Conf),W 65-64,*,37,6,10,0.6,2,4,0.5,4,6,0.667,0.7,0,0,,3,4,7,1,2,1,2,2,14,13.3,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
9,70,9,2013-12-06,Connecticut,,Maine,REG (Non-Conf),W 95-68,*,20,6,6,1.0,3,3,1.0,3,3,1.0,1.25,1,2,0.5,0,5,5,2,0,1,0,2,16,16.6,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
10,71,10,2013-12-18,Connecticut,,Stanford,REG (Non-Conf),L 51-53,*,36,6,10,0.6,1,1,1.0,5,9,0.556,0.65,2,2,1.0,1,4,5,0,1,4,2,1,15,13.7,H,0,1,deandre-daniels-1,DeAndre Daniels,2014
11,72,11,2013-12-22,Connecticut,@,Washington,REG (Non-Conf),W 82-70,*,31,3,7,0.429,0,1,0.0,3,6,0.5,0.429,4,4,1.0,0,3,3,2,1,1,1,1,10,8.9,A,1,1,deandre-daniels-1,DeAndre Daniels,2014
12,73,12,2013-12-28,Connecticut,N,Eastern Washington,REG (Non-Conf),W 82-65,*,22,3,8,0.375,0,1,0.0,3,7,0.429,0.375,2,2,1.0,1,3,4,0,0,1,1,1,8,4.5,N,1,1,deandre-daniels-1,DeAndre Daniels,2014
13,74,13,2013-12-31,Connecticut,@,Houston,REG (Conf),L 71-75,*,33,3,10,0.3,2,3,0.667,1,7,0.143,0.4,4,6,0.667,1,4,5,0,2,1,2,2,12,7.2,A,0,1,deandre-daniels-1,DeAndre Daniels,2014
14,75,14,2014-01-04,Connecticut,@,SMU,REG (Conf),L 65-74,*,31,3,10,0.3,2,5,0.4,1,5,0.2,0.4,3,4,0.75,1,4,5,0,0,0,4,3,11,1.5,A,0,1,deandre-daniels-1,DeAndre Daniels,2014
15,76,15,2014-01-08,Connecticut,,Harvard,REG (Non-Conf),W 61-56,*,33,3,8,0.375,3,5,0.6,0,3,0.0,0.563,2,3,0.667,2,6,8,0,1,4,1,3,11,11.0,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
16,77,16,2014-01-11,Connecticut,,UCF,REG (Conf),W 84-61,*,32,4,10,0.4,2,4,0.5,2,6,0.333,0.5,3,4,0.75,2,5,7,1,0,4,1,2,13,11.8,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
17,78,17,2014-01-16,Connecticut,@,Memphis,REG (Conf),W 83-73,*,38,9,15,0.6,4,5,0.8,5,10,0.5,0.733,1,3,0.333,4,7,11,0,2,3,3,1,23,20.9,A,1,1,deandre-daniels-1,DeAndre Daniels,2014
18,79,18,2014-01-18,Connecticut,,Louisville,REG (Conf),L 64-76,*,23,1,9,0.111,1,4,0.25,0,5,0.0,0.167,0,0,,0,4,4,0,2,0,0,3,3,-0.9,H,0,1,deandre-daniels-1,DeAndre Daniels,2014
19,80,19,2014-01-21,Connecticut,,Temple,REG (Conf),W 90-66,*,34,11,19,0.579,4,6,0.667,7,13,0.538,0.684,5,6,0.833,5,7,12,0,0,2,1,2,31,26.9,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
20,81,20,2014-01-25,Connecticut,@,Rutgers,REG (Conf),W 82-71,*,21,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,0,,0,5,5,0,0,0,1,4,7,2.2,A,1,1,deandre-daniels-1,DeAndre Daniels,2014
21,82,23,2014-02-09,Connecticut,@,UCF,REG (Conf),W 75-55,*,25,7,17,0.412,0,1,0.0,7,16,0.438,0.412,2,3,0.667,5,2,7,0,0,0,2,2,16,7.8,A,1,1,deandre-daniels-1,DeAndre Daniels,2014
22,83,24,2014-02-12,Connecticut,,South Florida,REG (Conf),W 83-40,*,23,6,10,0.6,0,2,0.0,6,8,0.75,0.6,0,1,0.0,0,5,5,0,1,2,3,1,12,7.5,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
23,84,25,2014-02-15,Connecticut,,Memphis,REG (Conf),W 86-81 (OT),*,31,2,8,0.25,1,2,0.5,1,6,0.167,0.313,3,4,0.75,1,5,6,0,0,2,0,2,8,5.6,H,1,1,deandre-daniels-1,DeAndre Daniels,2014
24,85,26,2014-02-20,Connecticut,@,Temple,REG (Conf),W 68-55,*,24,6,10,0.6,1,2,0.5,5,8,0.625,0.65,0,0,,0,1,1,1,2,1,2,3,13,8.9,A,1,1,deandre-daniels-1,DeAndre Daniels,2014
25,86,27,2014-02-23,Connecticut,,SMU,REG (Conf),L 55-64,*,30,2,10,0.2,0,4,0.0,2,6,0.333,0.2,2,2,1.0,5,3,8,0,1,1,2,4,6,2.3,H,0,1,deandre-daniels-1,DeAndre Daniels,2014
