rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2013-11-08,New Mexico State,N,Western Michigan,REG (Non-Conf),L 64-70,*,29,2,8,0.25,0,2,0.0,2,6,0.333,0.25,4,6,0.667,3,2,5,3,2,1,0,3,8,8.7,N,0,1,dk-eldridge-1,DK Eldridge,2014
2,2,2,2013-11-09,New Mexico State,N,Tennessee State,REG (Non-Conf),W 70-55,*,27,5,7,0.714,2,3,0.667,3,4,0.75,0.857,2,2,1.0,0,4,4,2,0,2,3,2,14,11.3,N,1,1,dk-eldridge-1,DK Eldridge,2014
3,3,3,2013-11-12,New Mexico State,@,Hawaii,REG (Non-Conf),W 95-88,*,33,5,9,0.556,3,5,0.6,2,4,0.5,0.722,2,3,0.667,1,6,7,2,0,0,3,3,15,10.0,A,1,1,dk-eldridge-1,DK Eldridge,2014
4,4,4,2013-11-15,New Mexico State,,UTEP,REG (Non-Conf),W 86-73,*,34,3,9,0.333,1,5,0.2,2,4,0.5,0.389,2,4,0.5,2,1,3,3,1,2,3,2,9,5.5,H,1,1,dk-eldridge-1,DK Eldridge,2014
5,5,5,2013-11-20,New Mexico State,,Northern Colorado,REG (Non-Conf),W 67-63,*,36,5,12,0.417,0,2,0.0,5,10,0.5,0.417,0,1,0.0,2,4,6,0,0,0,4,1,10,1.4,H,1,1,dk-eldridge-1,DK Eldridge,2014
6,6,6,2013-11-23,New Mexico State,@,UTEP,REG (Non-Conf),W 77-68,*,22,1,4,0.25,0,1,0.0,1,3,0.333,0.25,4,4,1.0,2,0,2,2,0,0,0,5,6,4.4,A,1,1,dk-eldridge-1,DK Eldridge,2014
7,7,7,2013-11-25,New Mexico State,,Bethune-Cookman,REG (Non-Conf),W 79-56,*,23,4,4,1.0,2,2,1.0,2,2,1.0,1.25,3,4,0.75,1,2,3,2,0,0,2,0,13,12.1,H,1,1,dk-eldridge-1,DK Eldridge,2014
8,8,8,2013-11-27,New Mexico State,,Prairie View A&M,REG (Non-Conf),W 91-60,*,19,6,9,0.667,1,2,0.5,5,7,0.714,0.722,3,5,0.6,1,0,1,2,2,0,2,1,16,13.0,H,1,1,dk-eldridge-1,DK Eldridge,2014
9,9,9,2013-11-30,New Mexico State,@,Colorado State,REG (Non-Conf),L 83-85,*,32,8,12,0.667,6,6,1.0,2,6,0.333,0.917,1,1,1.0,1,2,3,1,0,0,3,4,23,15.2,A,0,1,dk-eldridge-1,DK Eldridge,2014
10,10,10,2013-12-04,New Mexico State,,New Mexico,REG (Non-Conf),L 70-79,*,31,2,7,0.286,1,3,0.333,1,4,0.25,0.357,2,2,1.0,2,4,6,1,0,0,1,4,7,3.6,H,0,1,dk-eldridge-1,DK Eldridge,2014
11,11,11,2013-12-07,New Mexico State,@,Gonzaga,REG (Non-Conf),L 68-80,*,24,2,9,0.222,1,5,0.2,1,4,0.25,0.278,0,0,,1,2,3,2,0,1,2,2,5,0.1,A,0,1,dk-eldridge-1,DK Eldridge,2014
12,12,12,2013-12-11,New Mexico State,@,Arizona,REG (Non-Conf),L 48-74,*,27,2,8,0.25,1,4,0.25,1,4,0.25,0.313,0,0,,2,1,3,0,2,0,2,0,5,1.9,A,0,1,dk-eldridge-1,DK Eldridge,2014
13,13,13,2013-12-14,New Mexico State,@,Drake,REG (Non-Conf),W 81-69 (OT),*,34,2,7,0.286,0,1,0.0,2,6,0.333,0.286,4,6,0.667,1,5,6,3,1,1,0,3,8,7.9,A,1,1,dk-eldridge-1,DK Eldridge,2014
14,14,14,2013-12-17,New Mexico State,@,New Mexico,REG (Non-Conf),W 67-61,*,20,1,6,0.167,0,0,,1,6,0.167,0.167,0,0,,1,1,2,0,0,0,0,1,2,-1.2,A,1,1,dk-eldridge-1,DK Eldridge,2014
15,15,15,2013-12-21,New Mexico State,,N New Mexico,REG (Non-Conf),W 97-47,*,25,7,11,0.636,2,3,0.667,5,8,0.625,0.727,0,0,,1,3,4,2,3,0,0,2,16,16.3,H,1,1,dk-eldridge-1,DK Eldridge,2014
16,16,16,2013-12-28,New Mexico State,,South Alabama,REG (Non-Conf),W 82-64,*,30,7,11,0.636,1,2,0.5,6,9,0.667,0.682,1,2,0.5,4,8,12,1,1,0,0,2,16,16.8,H,1,1,dk-eldridge-1,DK Eldridge,2014
17,17,17,2014-01-04,New Mexico State,@,Grand Canyon,REG (Conf),W 84-62,*,28,4,12,0.333,1,4,0.25,3,8,0.375,0.375,5,5,1.0,2,8,10,4,0,0,3,1,14,10.4,A,1,1,dk-eldridge-1,DK Eldridge,2014
18,18,18,2014-01-09,New Mexico State,,Seattle,REG (Conf),W 96-87,*,30,6,9,0.667,0,2,0.0,6,7,0.857,0.667,6,11,0.545,6,3,9,1,0,1,1,4,18,16.0,H,1,1,dk-eldridge-1,DK Eldridge,2014
19,19,19,2014-01-11,New Mexico State,,Idaho,REG (Conf),W 78-54,*,26,5,13,0.385,2,4,0.5,3,9,0.333,0.462,3,3,1.0,5,1,6,4,1,0,1,3,15,13.3,H,1,1,dk-eldridge-1,DK Eldridge,2014
20,20,20,2014-01-16,New Mexico State,@,Chicago State,REG (Conf),L 81-86,*,27,5,9,0.556,2,4,0.5,3,5,0.6,0.667,2,3,0.667,1,1,2,3,0,0,2,2,14,9.6,A,0,1,dk-eldridge-1,DK Eldridge,2014
21,21,21,2014-01-18,New Mexico State,@,Kansas City,REG (Conf),L 66-68,*,30,1,9,0.111,0,5,0.0,1,4,0.25,0.111,0,0,,0,2,2,0,1,0,3,1,2,-5.7,A,0,1,dk-eldridge-1,DK Eldridge,2014
22,22,22,2014-01-25,New Mexico State,,Texas–Pan American,REG (Conf),W 90-78,*,27,5,9,0.556,2,5,0.4,3,4,0.75,0.667,2,2,1.0,1,1,2,2,1,0,0,2,14,12.3,H,1,1,dk-eldridge-1,DK Eldridge,2014
23,23,23,2014-01-30,New Mexico State,,Cal State Bakersfield,REG (Conf),W 88-86,*,17,4,6,0.667,1,3,0.333,3,3,1.0,0.75,3,6,0.5,1,0,1,3,1,0,1,4,12,9.4,H,1,1,dk-eldridge-1,DK Eldridge,2014
24,24,24,2014-02-01,New Mexico State,,Utah Valley,REG (Conf),W 72-49,*,32,6,8,0.75,1,2,0.5,5,6,0.833,0.813,0,2,0.0,0,4,4,3,0,0,1,2,13,10.5,H,1,1,dk-eldridge-1,DK Eldridge,2014
25,25,25,2014-02-06,New Mexico State,@,Idaho,REG (Conf),L 67-73,*,24,5,11,0.455,0,3,0.0,5,8,0.625,0.455,2,4,0.5,2,3,5,2,0,0,2,2,12,6.4,A,0,1,dk-eldridge-1,DK Eldridge,2014
26,26,26,2014-02-08,New Mexico State,@,Seattle,REG (Conf),W 92-77,*,31,7,12,0.583,0,1,0.0,7,11,0.636,0.583,1,3,0.333,1,1,2,2,1,0,4,1,15,7.6,A,1,1,dk-eldridge-1,DK Eldridge,2014
27,27,27,2014-02-13,New Mexico State,,Kansas City,REG (Conf),W 71-48,*,24,3,10,0.3,3,5,0.6,0,5,0.0,0.45,1,4,0.25,2,3,5,3,0,2,0,2,10,8.0,H,1,1,dk-eldridge-1,DK Eldridge,2014
28,28,28,2014-02-15,New Mexico State,,Chicago State,REG (Conf),W 84-55,*,28,8,12,0.667,0,2,0.0,8,10,0.8,0.667,1,4,0.25,2,5,7,3,0,1,1,1,17,14.9,H,1,1,dk-eldridge-1,DK Eldridge,2014
29,29,29,2014-02-20,New Mexico State,@,Texas–Pan American,REG (Conf),W 78-61,*,25,2,6,0.333,1,2,0.5,1,4,0.25,0.417,2,4,0.5,0,5,5,2,0,1,5,4,7,-0.2,A,1,1,dk-eldridge-1,DK Eldridge,2014
30,30,30,2014-02-27,New Mexico State,@,Utah Valley,REG (Conf),L 61-66 (OT),*,31,2,8,0.25,1,3,0.333,1,5,0.2,0.313,5,6,0.833,4,1,5,2,0,0,0,3,10,8.1,A,0,1,dk-eldridge-1,DK Eldridge,2014
31,31,31,2014-03-01,New Mexico State,@,Cal State Bakersfield,REG (Conf),W 72-57,*,31,4,7,0.571,1,2,0.5,3,5,0.6,0.643,3,6,0.5,0,6,6,2,1,0,2,3,12,8.5,A,1,1,dk-eldridge-1,DK Eldridge,2014
32,32,32,2014-03-06,New Mexico State,,Grand Canyon,REG (Conf),W 81-57,*,21,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,1,7,8,2,0,0,1,4,0,-1.2,H,1,1,dk-eldridge-1,DK Eldridge,2014
33,33,33,2014-03-13,New Mexico State,N,Seattle,CTOURN,W 70-68,*,34,6,9,0.667,3,3,1.0,3,6,0.5,0.833,4,4,1.0,1,2,3,1,0,0,3,3,19,12.9,N,1,0,dk-eldridge-1,DK Eldridge,2014
34,34,34,2014-03-14,New Mexico State,N,Cal State Bakersfield,CTOURN,W 69-63,*,31,6,8,0.75,1,2,0.5,5,6,0.833,0.813,4,5,0.8,0,4,4,0,2,2,1,1,17,16.6,N,1,0,dk-eldridge-1,DK Eldridge,2014
35,35,35,2014-03-15,New Mexico State,N,Idaho,CTOURN,W 77-55,*,32,3,8,0.375,2,4,0.5,1,4,0.25,0.5,0,0,,1,3,4,4,0,0,1,1,8,6.6,N,1,0,dk-eldridge-1,DK Eldridge,2014
36,36,36,2014-03-20,New Mexico State,N,San Diego State,ROUND-64,L 69-73 (OT),*,20,0,5,0.0,0,1,0.0,0,4,0.0,0.0,0,0,,0,2,2,3,0,0,2,0,0,-2.8,N,0,0,dk-eldridge-1,DK Eldridge,2014
