rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,29,10,2013-12-17,Oregon,,UC Irvine,REG (Non-Conf),W 91-63,,26,2,3,0.667,0,1,0.0,2,2,1.0,0.667,1,2,0.5,1,7,8,3,1,0,1,1,5,7.8,H,1,1,dominic-artis-1,Dominic Artis,2014
2,30,11,2013-12-21,Oregon,,Brigham Young,REG (Non-Conf),W 100-96 (OT),,11,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,1,1,1,0,0,0,0,0,-1.1,H,1,1,dominic-artis-1,Dominic Artis,2014
3,31,12,2013-12-29,Oregon,,Morgan State,REG (Non-Conf),W 97-76,,22,2,6,0.333,0,0,,2,6,0.333,0.333,3,4,0.75,1,5,6,5,2,0,4,2,7,6.1,H,1,1,dominic-artis-1,Dominic Artis,2014
4,32,13,2014-01-02,Oregon,@,Utah,REG (Conf),W 70-68 (OT),,24,5,8,0.625,1,2,0.5,4,6,0.667,0.688,1,2,0.5,0,1,1,1,4,0,1,2,12,11.2,A,1,1,dominic-artis-1,Dominic Artis,2014
5,33,14,2014-01-05,Oregon,@,Colorado,REG (Conf),L 91-100,,21,1,8,0.125,0,2,0.0,1,6,0.167,0.125,6,6,1.0,0,2,2,7,3,1,1,4,8,9.4,A,0,1,dominic-artis-1,Dominic Artis,2014
6,34,15,2014-01-09,Oregon,,California,REG (Conf),L 83-96,,20,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,0,0,0,2,1,0,2,3,5,1.1,H,0,1,dominic-artis-1,Dominic Artis,2014
7,35,16,2014-01-12,Oregon,,Stanford,REG (Conf),L 80-82,,13,1,3,0.333,1,2,0.5,0,1,0.0,0.5,2,2,1.0,0,1,1,0,0,0,2,3,5,0.4,H,0,1,dominic-artis-1,Dominic Artis,2014
8,36,17,2014-01-19,Oregon,@,Oregon State,REG (Conf),L 72-80,,20,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1.0,2,0,2,1,2,0,2,1,6,5.0,A,0,1,dominic-artis-1,Dominic Artis,2014
9,37,18,2014-01-23,Oregon,@,Washington,REG (Conf),L 76-80,*,16,1,6,0.167,1,2,0.5,0,4,0.0,0.25,0,0,,0,0,0,0,0,0,3,1,3,-4.2,A,0,1,dominic-artis-1,Dominic Artis,2014
10,38,19,2014-01-26,Oregon,@,Washington State,REG (Conf),W 71-44,*,18,2,4,0.5,1,1,1.0,1,3,0.333,0.625,2,2,1.0,0,2,2,4,1,0,1,2,7,7.6,A,1,1,dominic-artis-1,Dominic Artis,2014
11,39,20,2014-01-30,Oregon,,UCLA,REG (Conf),L 68-70,*,11,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,1,0,1,2,0,0,2,2,0,-2.1,H,0,1,dominic-artis-1,Dominic Artis,2014
12,40,21,2014-02-01,Oregon,,Southern California,REG (Conf),W 78-66,*,18,2,8,0.25,0,2,0.0,2,6,0.333,0.25,1,2,0.5,1,1,2,3,0,0,1,0,5,1.9,H,1,1,dominic-artis-1,Dominic Artis,2014
13,41,22,2014-02-06,Oregon,@,Arizona,REG (Conf),L 65-67,*,26,4,6,0.667,1,2,0.5,3,4,0.75,0.75,1,4,0.25,0,3,3,4,1,0,2,2,10,8.1,A,0,1,dominic-artis-1,Dominic Artis,2014
14,42,23,2014-02-08,Oregon,@,Arizona State,REG (Conf),L 72-74,*,23,1,6,0.167,0,2,0.0,1,4,0.25,0.167,0,0,,1,3,4,4,2,0,0,3,2,3.4,A,0,1,dominic-artis-1,Dominic Artis,2014
15,43,24,2014-02-16,Oregon,,Oregon State,REG (Conf),W 93-83,,14,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,4,0,1,1,1,0,0.7,H,1,1,dominic-artis-1,Dominic Artis,2014
16,44,25,2014-02-19,Oregon,,Washington,REG (Conf),W 78-71,,9,0,1,0.0,0,1,0.0,0,0,,0.0,2,2,1.0,0,1,1,0,0,0,2,1,2,-0.8,H,1,1,dominic-artis-1,Dominic Artis,2014
17,45,26,2014-02-23,Oregon,,Washington State,REG (Conf),W 67-53,,18,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,0,0,0,0,0,1,1,2,-1.8,H,1,1,dominic-artis-1,Dominic Artis,2014
18,46,27,2014-02-27,Oregon,@,UCLA,REG (Conf),W 87-83 (2OT),,7,0,1,0.0,0,0,,0,1,0.0,0.0,0,2,0.0,0,1,1,0,1,0,0,0,0,-0.2,A,1,1,dominic-artis-1,Dominic Artis,2014
19,47,28,2014-03-01,Oregon,@,Southern California,REG (Conf),W 78-63,,27,0,1,0.0,0,1,0.0,0,0,,0.0,4,4,1.0,1,3,4,2,2,0,0,3,4,7.1,A,1,1,dominic-artis-1,Dominic Artis,2014
20,48,29,2014-03-04,Oregon,,Arizona State,REG (Conf),W 85-78,,11,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,1,1,2,0,0,1,2,0,-1.5,H,1,1,dominic-artis-1,Dominic Artis,2014
21,49,30,2014-03-08,Oregon,,Arizona,REG (Conf),W 64-57,,4,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,H,1,1,dominic-artis-1,Dominic Artis,2014
22,50,31,2014-03-12,Oregon,N,Oregon State,CTOURN,W 88-74,,23,3,4,0.75,2,2,1.0,1,2,0.5,1.0,2,4,0.5,0,2,2,6,0,0,2,2,10,9.6,N,1,0,dominic-artis-1,Dominic Artis,2014
23,51,32,2014-03-13,Oregon,N,UCLA,CTOURN,L 63-82,,22,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,1,0.0,0,2,2,2,0,0,3,1,5,0.5,N,0,0,dominic-artis-1,Dominic Artis,2014
24,52,33,2014-03-20,Oregon,N,Brigham Young,ROUND-64,W 87-68,,11,1,1,1.0,0,0,,1,1,1.0,1.0,1,2,0.5,1,0,1,1,0,1,1,1,3,3.0,N,1,0,dominic-artis-1,Dominic Artis,2014
25,53,34,2014-03-22,Oregon,N,Wisconsin,ROUND-32,L 77-85,,7,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,3,3,1,0,0,0,0,2,2.6,N,0,0,dominic-artis-1,Dominic Artis,2014
