rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,38,1,2013-11-08,Weber State,@,Brigham Young,REG (Non-Conf),L 72-81,*,34,4,12,0.333,0,0,,4,12,0.333,0.333,3,6,0.5,6,7,13,0,0,2,1,3,11,8.5,A,0,1,joel-bolomboy-1,Joel Bolomboy,2014
2,39,2,2013-11-16,Weber State,@,Colorado State,REG (Non-Conf),L 67-88,*,22,4,7,0.571,0,0,,4,7,0.571,0.571,4,4,1.0,1,4,5,0,0,0,0,4,12,9.0,A,0,1,joel-bolomboy-1,Joel Bolomboy,2014
3,40,3,2013-11-26,Weber State,,Utah State,REG (Non-Conf),L 71-77,*,26,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,4,4,8,2,1,1,3,3,4,4.9,H,0,1,joel-bolomboy-1,Joel Bolomboy,2014
4,41,4,2013-11-30,Weber State,,San Jose State,REG (Non-Conf),W 72-55,*,34,4,6,0.667,0,0,,4,6,0.667,0.667,0,1,0.0,1,10,11,1,0,1,1,2,8,8.3,H,1,1,joel-bolomboy-1,Joel Bolomboy,2014
5,42,5,2013-12-11,Weber State,@,Utah Valley,REG (Non-Conf),L 59-62,*,32,4,8,0.5,0,0,,4,8,0.5,0.5,1,1,1.0,3,5,8,2,1,1,0,1,9,11.3,A,0,1,joel-bolomboy-1,Joel Bolomboy,2014
6,43,7,2013-12-22,Weber State,@,UCLA,REG (Non-Conf),L 60-83,,29,2,6,0.333,0,0,,2,6,0.333,0.333,2,4,0.5,3,3,6,0,0,0,5,1,6,-0.6,A,0,1,joel-bolomboy-1,Joel Bolomboy,2014
7,44,8,2013-12-28,Weber State,,N New Mexico,REG (Non-Conf),W 75-49,*,23,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1.0,2,9,11,0,1,2,4,0,4,4.1,H,1,1,joel-bolomboy-1,Joel Bolomboy,2014
8,45,9,2014-01-02,Weber State,,Eastern Washington,REG (Conf),W 74-67,*,31,3,6,0.5,0,0,,3,6,0.5,0.5,7,10,0.7,5,7,12,0,1,1,1,3,13,13.9,H,1,1,joel-bolomboy-1,Joel Bolomboy,2014
9,46,10,2014-01-04,Weber State,,Portland State,REG (Conf),W 79-62,*,28,2,3,0.667,0,0,,2,3,0.667,0.667,2,2,1.0,1,11,12,1,0,1,1,2,6,8.3,H,1,1,joel-bolomboy-1,Joel Bolomboy,2014
10,47,11,2014-01-09,Weber State,@,Northern Colorado,REG (Conf),L 51-70,*,34,5,9,0.556,0,0,,5,9,0.556,0.556,0,0,,6,8,14,1,0,2,0,3,10,13.2,A,0,1,joel-bolomboy-1,Joel Bolomboy,2014
11,48,12,2014-01-11,Weber State,@,North Dakota,REG (Conf),W 72-60,*,34,1,8,0.125,0,0,,1,8,0.125,0.125,3,7,0.429,4,6,10,0,1,1,2,4,5,0.9,A,1,1,joel-bolomboy-1,Joel Bolomboy,2014
12,49,13,2014-01-18,Weber State,,Southern Utah,REG (Conf),W 65-59,*,20,2,2,1.0,0,0,,2,2,1.0,1.0,3,6,0.5,1,3,4,1,0,0,1,4,7,4.9,H,1,1,joel-bolomboy-1,Joel Bolomboy,2014
13,50,14,2014-01-20,Weber State,,Idaho State,REG (Conf),W 65-59,*,36,3,6,0.5,0,0,,3,6,0.5,0.5,1,2,0.5,8,8,16,0,0,1,1,0,7,11.3,H,1,1,joel-bolomboy-1,Joel Bolomboy,2014
