rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2013-11-08,VCU,,Illinois State,REG (Non-Conf),W 96-58,,19,2,5,0.4,0,1,0.0,2,4,0.5,0.4,3,3,1.0,0,4,4,3,3,0,1,1,7,9.2,H,1,1,jordan-burgess-1,Jordan Burgess,2014
2,2,2,2013-11-12,VCU,@,Virginia,REG (Non-Conf),W 59-56,,17,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,0,1,1,0,0,0,2,4,5,-1.0,A,1,1,jordan-burgess-1,Jordan Burgess,2014
3,3,3,2013-11-16,VCU,,Winthrop,REG (Non-Conf),W 92-71,,15,0,6,0.0,0,1,0.0,0,5,0.0,0.0,2,2,1.0,1,1,2,1,1,0,2,3,2,-2.7,H,1,1,jordan-burgess-1,Jordan Burgess,2014
4,4,4,2013-11-21,VCU,N,Florida State,REG (Non-Conf),L 67-85,,29,2,11,0.182,0,4,0.0,2,7,0.286,0.182,2,4,0.5,0,1,1,1,1,1,2,2,6,-1.8,N,0,1,jordan-burgess-1,Jordan Burgess,2014
5,5,9,2013-12-05,VCU,,Eastern Kentucky,REG (Non-Conf),W 71-68 (OT),,10,1,2,0.5,1,2,0.5,0,0,,0.75,1,3,0.333,0,1,1,1,0,0,1,2,4,1.4,H,1,1,jordan-burgess-1,Jordan Burgess,2014
6,6,10,2013-12-08,VCU,,Old Dominion,REG (Non-Conf),W 69-48,,16,1,6,0.167,1,2,0.5,0,4,0.0,0.25,0,0,,1,1,2,1,0,0,1,0,3,-0.1,H,1,1,jordan-burgess-1,Jordan Burgess,2014
7,7,11,2013-12-14,VCU,@,Northern Iowa,REG (Non-Conf),L 68-77,*,27,7,13,0.538,4,6,0.667,3,7,0.429,0.692,0,0,,1,3,4,1,0,0,2,3,18,10.8,A,0,1,jordan-burgess-1,Jordan Burgess,2014
8,8,12,2013-12-17,VCU,,Wofford,REG (Non-Conf),W 72-57,*,23,2,6,0.333,0,1,0.0,2,5,0.4,0.333,2,2,1.0,2,0,2,0,0,0,1,1,6,2.6,H,1,1,jordan-burgess-1,Jordan Burgess,2014
9,9,13,2013-12-21,VCU,N,Virginia Tech,REG (Non-Conf),W 82-52,*,15,1,4,0.25,1,1,1.0,0,3,0.0,0.375,1,2,0.5,1,1,2,0,2,0,1,2,4,2.4,N,1,1,jordan-burgess-1,Jordan Burgess,2014
10,10,14,2013-12-28,VCU,N,Boston College,REG (Non-Conf),W 69-50,*,20,1,5,0.2,0,2,0.0,1,3,0.333,0.2,2,2,1.0,0,0,0,0,2,0,3,1,4,-0.5,N,1,1,jordan-burgess-1,Jordan Burgess,2014
11,11,15,2014-01-03,VCU,,Stony Brook,REG (Non-Conf),W 81-63,*,21,1,2,0.5,1,1,1.0,0,1,0.0,0.75,3,4,0.75,0,2,2,0,1,0,1,3,6,4.0,H,1,1,jordan-burgess-1,Jordan Burgess,2014
