rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,33,1,2013-11-08,Wofford,@,Georgia,REG (Non-Conf),L 52-72,*,17,4,5,0.8,0,1,0.0,4,4,1.0,0.8,1,2,0.5,1,0,1,0,0,0,2,3,9,4.2,A,0,1,justin-gordon-1,Justin Gordon,2014
2,34,2,2013-11-11,Wofford,,Emory & Henry,REG (Non-Conf),W 83-58,*,19,3,4,0.75,0,0,,3,4,0.75,0.75,2,4,0.5,3,0,3,0,1,0,0,3,8,7.5,H,1,1,justin-gordon-1,Justin Gordon,2014
3,35,3,2013-11-16,Wofford,@,Iona,REG (Non-Conf),L 55-76,*,20,3,5,0.6,0,0,,3,5,0.6,0.6,1,2,0.5,1,1,2,0,0,0,1,2,7,3.5,A,0,1,justin-gordon-1,Justin Gordon,2014
4,36,4,2013-11-21,Wofford,@,Minnesota,REG (Non-Conf),L 57-79,,9,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,4,3,7,0,1,0,1,3,4,3.8,A,0,1,justin-gordon-1,Justin Gordon,2014
5,37,5,2013-11-24,Wofford,@,High Point,REG (Non-Conf),L 56-66,,12,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,1,1,2,0,1,0,3,5,2,-1.3,A,0,1,justin-gordon-1,Justin Gordon,2014
6,38,6,2013-11-30,Wofford,,Johnson/Wales-NC,REG (Non-Conf),W 90-48,,18,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,5,4,9,4,0,0,2,3,4,6.3,H,1,1,justin-gordon-1,Justin Gordon,2014
7,39,7,2013-12-04,Wofford,@,Gardner-Webb,REG (Non-Conf),W 65-62,,9,1,1,1.0,0,0,,1,1,1.0,1.0,3,7,0.429,0,2,2,1,1,0,1,3,5,3.2,A,1,1,justin-gordon-1,Justin Gordon,2014
8,40,8,2013-12-07,Wofford,,William & Mary,REG (Non-Conf),L 60-63,,11,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,2,2,2,-1.1,H,0,1,justin-gordon-1,Justin Gordon,2014
9,41,9,2013-12-14,Wofford,@,Saint Louis,REG (Non-Conf),L 52-66,,21,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,1,1,2,1,0,3,3,4,0.5,A,0,1,justin-gordon-1,Justin Gordon,2014
10,42,10,2013-12-17,Wofford,@,VCU,REG (Non-Conf),L 57-72,,22,4,7,0.571,0,0,,4,7,0.571,0.571,1,1,1.0,2,2,4,1,1,0,1,3,9,7.2,A,0,1,justin-gordon-1,Justin Gordon,2014
11,43,11,2013-12-21,Wofford,@,Winthrop,REG (Non-Conf),W 62-56,,25,2,7,0.286,0,1,0.0,2,6,0.333,0.286,3,8,0.375,2,2,4,0,2,0,0,3,7,3.7,A,1,1,justin-gordon-1,Justin Gordon,2014
12,44,12,2013-12-30,Wofford,,High Point,REG (Non-Conf),W 81-53,*,27,1,2,0.5,0,0,,1,2,0.5,0.5,0,1,0.0,0,4,4,0,0,0,1,5,2,-1.2,H,1,1,justin-gordon-1,Justin Gordon,2014
13,45,13,2014-01-02,Wofford,@,Samford,REG (Conf),W 71-61,*,21,3,7,0.429,0,0,,3,7,0.429,0.429,0,0,,6,1,7,0,0,0,3,2,6,3.0,A,1,1,justin-gordon-1,Justin Gordon,2014
14,46,14,2014-01-04,Wofford,,Davidson,REG (Conf),L 63-78,*,21,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,3,1,4,1,0,0,3,3,6,0.5,H,0,1,justin-gordon-1,Justin Gordon,2014
15,47,15,2014-01-09,Wofford,,The Citadel,REG (Conf),W 79-75 (OT),*,23,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,2,1,3,1,0,0,0,1,8,8.1,H,1,1,justin-gordon-1,Justin Gordon,2014
16,48,16,2014-01-11,Wofford,@,Chattanooga,REG (Conf),L 69-70,*,22,3,6,0.5,0,0,,3,6,0.5,0.5,0,0,,3,1,4,0,0,0,1,1,6,4.0,A,0,1,justin-gordon-1,Justin Gordon,2014
17,49,17,2014-01-18,Wofford,,Chattanooga,REG (Conf),L 57-71,*,20,3,6,0.5,0,0,,3,6,0.5,0.5,0,1,0.0,4,2,6,0,0,0,2,4,6,2.4,H,0,1,justin-gordon-1,Justin Gordon,2014
18,50,18,2014-01-20,Wofford,,Western Carolina,REG (Conf),W 71-60,,10,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,1,1,2,0,1,1,1,1,2,0.9,H,1,1,justin-gordon-1,Justin Gordon,2014
19,51,19,2014-01-23,Wofford,@,Georgia Southern,REG (Conf),W 74-64,,14,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,1,2,3,0,0,2,0,5,4,2.0,A,1,1,justin-gordon-1,Justin Gordon,2014
20,52,20,2014-01-25,Wofford,@,Furman,REG (Conf),W 76-52,,26,3,7,0.429,0,0,,3,7,0.429,0.429,3,4,0.75,1,2,3,0,1,1,2,1,9,5.5,A,1,1,justin-gordon-1,Justin Gordon,2014
21,53,21,2014-02-01,Wofford,,Samford,REG (Conf),W 77-58,,23,2,6,0.333,0,0,,2,6,0.333,0.333,0,1,0.0,0,3,3,3,1,0,0,1,4,3.8,H,1,1,justin-gordon-1,Justin Gordon,2014
22,54,22,2014-02-06,Wofford,,Georgia Southern,REG (Conf),W 74-61,,23,1,4,0.25,0,0,,1,4,0.25,0.25,2,2,1.0,3,0,3,1,1,0,2,0,4,3.4,H,1,1,justin-gordon-1,Justin Gordon,2014
23,55,23,2014-02-08,Wofford,@,The Citadel,REG (Conf),W 77-56,,13,3,5,0.6,0,0,,3,5,0.6,0.6,2,4,0.5,4,2,6,1,0,0,0,4,8,7.4,A,1,1,justin-gordon-1,Justin Gordon,2014
24,56,24,2014-02-10,Wofford,,Hiwassee,REG (Non-Conf),W 95-60,,21,8,8,1.0,0,0,,8,8,1.0,1.0,2,4,0.5,3,2,5,3,2,0,2,0,18,19.6,H,1,1,justin-gordon-1,Justin Gordon,2014
25,57,25,2014-02-15,Wofford,@,Appalachian State,REG (Conf),W 64-58,,14,4,7,0.571,0,0,,4,7,0.571,0.571,0,1,0.0,3,0,3,0,1,0,1,5,8,4.4,A,1,1,justin-gordon-1,Justin Gordon,2014
26,58,26,2014-02-20,Wofford,,Furman,REG (Conf),W 70-50,,18,3,5,0.6,0,0,,3,5,0.6,0.6,1,2,0.5,1,1,2,3,3,0,2,4,7,6.8,H,1,1,justin-gordon-1,Justin Gordon,2014
27,59,27,2014-02-22,Wofford,@,Davidson,REG (Conf),L 49-59,,17,0,5,0.0,0,0,,0,5,0.0,0.0,0,0,,2,2,4,1,0,0,1,3,0,-3.0,A,0,1,justin-gordon-1,Justin Gordon,2014
28,60,28,2014-02-27,Wofford,@,Elon,REG (Conf),W 63-59,,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,1,4,0,-1.3,A,1,1,justin-gordon-1,Justin Gordon,2014
29,61,29,2014-03-01,Wofford,,UNC Greensboro,REG (Conf),L 71-73,,20,3,6,0.5,0,0,,3,6,0.5,0.5,2,4,0.5,3,2,5,0,0,0,0,3,8,5.7,H,0,1,justin-gordon-1,Justin Gordon,2014
30,62,30,2014-03-08,Wofford,N,The Citadel,CTOURN,W 68-51,,22,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,3,0,-1.9,N,1,0,justin-gordon-1,Justin Gordon,2014
31,63,31,2014-03-09,Wofford,N,Georgia Southern,CTOURN,W 71-57,,16,1,4,0.25,0,0,,1,4,0.25,0.25,3,8,0.375,1,3,4,1,0,1,1,1,5,2.2,N,1,0,justin-gordon-1,Justin Gordon,2014
32,64,32,2014-03-10,Wofford,N,Western Carolina,CTOURN,W 56-53,,12,1,3,0.333,0,0,,1,3,0.333,0.333,0,2,0.0,0,0,0,0,0,0,0,1,2,-0.9,N,1,0,justin-gordon-1,Justin Gordon,2014
33,65,33,2014-03-20,Wofford,N,Michigan,ROUND-64,L 40-57,,17,4,5,0.8,0,0,,4,5,0.8,0.8,0,0,,0,0,0,1,0,0,1,1,8,5.4,N,0,0,justin-gordon-1,Justin Gordon,2014
