rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2013-11-09,Wichita State,,Emporia St.,REG (Non-Conf),W 93-50,*,15,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,2,3,1,0,1,3,3,2,0.2,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
2,33,2,2013-11-12,Wichita State,,Western Kentucky,REG (Non-Conf),W 66-49,*,22,6,11,0.545,0,0,6,11,0.545,0.545,1,2,0.5,2,2,4,1,0,3,0,2,13,11.3,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
3,34,3,2013-11-14,Wichita State,,William & Mary,REG (Non-Conf),W 79-62,*,22,4,8,0.5,0,0,4,8,0.5,0.5,2,2,1.0,1,1,2,0,1,1,1,3,10,6.5,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
4,35,4,2013-11-16,Wichita State,,Tennessee State,REG (Non-Conf),W 85-71,,22,2,4,0.5,0,0,2,4,0.5,0.5,1,2,0.5,2,6,8,1,0,0,3,2,5,2.7,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
5,36,5,2013-11-20,Wichita State,@,Tulsa,REG (Non-Conf),W 77-54,*,14,0,0,,0,0,0,0,,,0,0,,0,4,4,1,0,0,0,5,0,-0.1,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
6,37,6,2013-11-25,Wichita State,N,DePaul,REG (Non-Conf),W 90-72,*,17,2,3,0.667,0,0,2,3,0.667,0.667,2,2,1.0,3,0,3,0,0,1,0,5,6,5.5,N,1,1,kadeem-coleby-1,Kadeem Coleby,2014
7,38,7,2013-11-26,Wichita State,N,Brigham Young,REG (Non-Conf),W 75-62,*,11,2,4,0.5,0,0,2,4,0.5,0.5,0,0,,2,2,4,0,0,0,0,1,4,3.6,N,1,1,kadeem-coleby-1,Kadeem Coleby,2014
8,39,8,2013-12-01,Wichita State,@,Saint Louis,REG (Non-Conf),W 70-65,,8,0,2,0.0,0,0,0,2,0.0,0.0,0,0,,0,1,1,0,0,1,0,0,0,-0.4,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
9,40,9,2013-12-07,Wichita State,,Oral Roberts,REG (Non-Conf),W 71-58,,15,2,6,0.333,0,0,2,6,0.333,0.333,1,1,1.0,4,1,5,0,0,1,0,3,5,4.2,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
10,41,10,2013-12-14,Wichita State,,Tennessee,REG (Non-Conf),W 70-61,*,10,3,3,1.0,0,0,3,3,1.0,1.0,0,0,,0,0,0,0,0,0,1,3,6,2.9,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
11,42,11,2013-12-17,Wichita State,@,Alabama,REG (Non-Conf),W 72-67,,9,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0,-0.4,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
12,43,12,2013-12-22,Wichita State,,North Carolina Central,REG (Non-Conf),W 77-66,,3,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
13,44,13,2013-12-29,Wichita State,,Davidson,REG (Non-Conf),W 81-70,,10,1,1,1.0,0,0,1,1,1.0,1.0,0,1,0.0,0,0,0,0,0,0,1,1,2,-0.1,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
14,45,14,2014-01-02,Wichita State,@,Southern Illinois,REG (Conf),W 82-67,,12,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,2,0,4,0,-0.2,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
15,46,15,2014-01-05,Wichita State,,Northern Iowa,REG (Conf),W 67-53,,8,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,0,0,0,0,1,0,4,0,-1.6,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
16,47,16,2014-01-08,Wichita State,,Illinois State,REG (Conf),W 66-47,,10,1,1,1.0,0,0,1,1,1.0,1.0,2,5,0.4,1,3,4,0,0,3,1,1,4,4.8,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
17,48,17,2014-01-11,Wichita State,@,Missouri State,REG (Conf),W 72-69 (OT),,8,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,2,2,0,-2.5,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
18,49,18,2014-01-14,Wichita State,,Bradley,REG (Conf),W 72-50,,19,0,0,,0,0,0,0,,,1,2,0.5,0,5,5,1,0,2,1,0,1,3.2,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
19,50,19,2014-01-18,Wichita State,,Indiana State,REG (Conf),W 68-48,,11,1,1,1.0,0,0,1,1,1.0,1.0,0,0,,1,3,4,1,0,1,0,2,2,3.9,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
20,51,20,2014-01-22,Wichita State,@,Illinois State,REG (Conf),W 70-55,,5,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,0,0,0,0,0,0,1,1,2,-0.4,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
21,52,21,2014-01-25,Wichita State,@,Drake,REG (Conf),W 78-61,,13,0,2,0.0,0,0,0,2,0.0,0.0,0,0,,0,3,3,0,2,2,1,1,0,1.5,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
22,53,22,2014-01-28,Wichita State,,Loyola Chicago,REG (Conf),W 57-45,,9,2,2,1.0,0,0,2,2,1.0,1.0,0,0,,2,2,4,0,0,1,2,1,4,3.7,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
23,54,23,2014-02-01,Wichita State,,Evansville,REG (Conf),W 81-67,*,16,1,4,0.25,0,0,1,4,0.25,0.25,2,6,0.333,3,3,6,0,0,2,0,1,4,4.0,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
24,55,24,2014-02-05,Wichita State,@,Indiana State,REG (Conf),W 65-58,*,16,0,2,0.0,0,0,0,2,0.0,0.0,1,2,0.5,1,3,4,0,0,2,0,2,1,1.4,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
25,56,25,2014-02-08,Wichita State,@,Northern Iowa,REG (Conf),W 82-73,*,11,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,3,3,0,0,4,1,4,0,0.4,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
26,57,26,2014-02-11,Wichita State,,Southern Illinois,REG (Conf),W 78-67,*,10,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,2,0,1,0,1.3,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
27,58,27,2014-02-16,Wichita State,@,Evansville,REG (Conf),W 84-68,,19,0,1,0.0,0,0,0,1,0.0,0.0,2,2,1.0,0,2,2,0,0,2,0,2,2,2.5,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
28,59,28,2014-02-19,Wichita State,@,Loyola Chicago,REG (Conf),W 88-74,*,10,0,0,,0,0,0,0,,,0,0,,1,3,4,0,0,0,1,3,0,-0.6,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
29,60,29,2014-02-22,Wichita State,,Drake,REG (Conf),W 83-54,,17,1,3,0.333,0,0,1,3,0.333,0.333,0,0,,1,4,5,0,0,2,0,2,2,2.8,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
30,61,30,2014-02-25,Wichita State,@,Bradley,REG (Conf),W 69-49,*,7,1,2,0.5,0,0,1,2,0.5,0.5,0,0,,0,0,0,0,0,1,0,2,2,0.9,A,1,1,kadeem-coleby-1,Kadeem Coleby,2014
31,62,31,2014-03-01,Wichita State,,Missouri State,REG (Conf),W 68-45,*,12,2,5,0.4,0,0,2,5,0.4,0.4,0,0,,1,4,5,0,0,0,2,4,4,-0.4,H,1,1,kadeem-coleby-1,Kadeem Coleby,2014
32,63,32,2014-03-07,Wichita State,N,Evansville,CTOURN,W 80-58,*,15,2,3,0.667,0,0,2,3,0.667,0.667,2,2,1.0,3,1,4,0,0,6,0,2,6,10.5,N,1,0,kadeem-coleby-1,Kadeem Coleby,2014
33,64,33,2014-03-08,Wichita State,N,Missouri State,CTOURN,W 67-42,*,21,1,3,0.333,0,0,1,3,0.333,0.333,0,1,0.0,0,4,4,0,0,0,0,3,2,-0.1,N,1,0,kadeem-coleby-1,Kadeem Coleby,2014
34,65,34,2014-03-09,Wichita State,N,Indiana State,CTOURN,W 83-69,*,10,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,1,1,2,0,0,0,0,4,0,-1.3,N,1,0,kadeem-coleby-1,Kadeem Coleby,2014
35,66,35,2014-03-21,Wichita State,N,Cal Poly,ROUND-64,W 64-37,*,19,2,4,0.5,0,0,2,4,0.5,0.5,1,6,0.167,1,2,3,0,0,4,1,3,5,2.9,N,1,0,kadeem-coleby-1,Kadeem Coleby,2014
36,67,36,2014-03-23,Wichita State,N,Kentucky,ROUND-32,L 76-78,*,7,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,N,0,0,kadeem-coleby-1,Kadeem Coleby,2014
