rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,34,1,2013-11-08,Oklahoma State,,Mississippi Valley State,REG (Non-Conf),W 117-62,*,19,4,9,0.444,1,2,0.5,3,7,0.429,0.5,2,4,0.5,0,4,4,3,2,0,2,3,11,7.6,H,1,1,marcus-smart-1,Marcus Smart,2014
2,35,2,2013-11-12,Oklahoma State,,Utah Valley,REG (Non-Conf),W 93-40,*,25,5,12,0.417,4,10,0.4,1,2,0.5,0.583,0,1,0.0,0,5,5,4,9,1,1,0,14,20.2,H,1,1,marcus-smart-1,Marcus Smart,2014
3,36,3,2013-11-15,Oklahoma State,,Arkansas–Pine Bluff,REG (Non-Conf),W 97-63,*,28,3,9,0.333,0,4,0.0,3,5,0.6,0.333,10,14,0.714,2,2,4,3,1,0,5,2,16,8.6,H,1,1,marcus-smart-1,Marcus Smart,2014
4,37,4,2013-11-19,Oklahoma State,,Memphis,REG (Non-Conf),W 101-80,*,33,11,21,0.524,5,10,0.5,6,11,0.545,0.643,12,16,0.75,2,2,4,4,5,2,3,4,39,33.7,H,1,1,marcus-smart-1,Marcus Smart,2014
5,38,5,2013-11-25,Oklahoma State,@,South Florida,REG (Non-Conf),W 93-67,*,32,8,16,0.5,1,5,0.2,7,11,0.636,0.531,8,11,0.727,1,2,3,4,4,1,2,3,25,21.4,A,1,1,marcus-smart-1,Marcus Smart,2014
6,39,6,2013-11-28,Oklahoma State,N,Purdue,REG (Non-Conf),W 97-87,*,30,9,18,0.5,4,6,0.667,5,12,0.417,0.611,8,12,0.667,0,4,4,4,0,0,2,4,30,19.8,N,1,1,marcus-smart-1,Marcus Smart,2014
7,40,7,2013-11-29,Oklahoma State,N,Butler,REG (Non-Conf),W 69-67,*,36,8,15,0.533,1,5,0.2,7,10,0.7,0.567,0,3,0.0,0,8,8,3,2,1,5,3,17,9.5,N,1,1,marcus-smart-1,Marcus Smart,2014
8,41,8,2013-12-01,Oklahoma State,N,Memphis,REG (Non-Conf),L 68-73,*,35,4,13,0.308,0,5,0.0,4,8,0.5,0.308,4,6,0.667,1,7,8,4,1,0,5,3,12,4.1,N,0,1,marcus-smart-1,Marcus Smart,2014
9,42,9,2013-12-06,Oklahoma State,,South Carolina,REG (Non-Conf),W 79-52,*,31,4,8,0.5,2,5,0.4,2,3,0.667,0.625,3,3,1.0,2,2,4,5,2,0,1,1,13,15.1,H,1,1,marcus-smart-1,Marcus Smart,2014
10,43,10,2013-12-14,Oklahoma State,N,Louisiana Tech,REG (Non-Conf),W 70-55,*,32,3,8,0.375,0,4,0.0,3,4,0.75,0.375,7,7,1.0,1,4,5,5,4,2,5,2,13,13.6,N,1,1,marcus-smart-1,Marcus Smart,2014
11,44,11,2013-12-17,Oklahoma State,,Delaware State,REG (Non-Conf),W 75-43,*,27,3,5,0.6,2,4,0.5,1,1,1.0,0.8,0,0,,0,4,4,3,3,1,3,2,8,8.9,H,1,1,marcus-smart-1,Marcus Smart,2014
12,45,12,2013-12-21,Oklahoma State,N,Colorado,REG (Non-Conf),W 78-73,*,32,6,13,0.462,1,5,0.2,5,8,0.625,0.5,5,8,0.625,0,0,0,3,1,0,2,2,18,10.4,N,1,1,marcus-smart-1,Marcus Smart,2014
13,46,13,2013-12-30,Oklahoma State,,Robert Morris,REG (Non-Conf),W 92-66,*,19,3,5,0.6,1,2,0.5,2,3,0.667,0.7,0,0,,0,3,3,8,0,0,2,3,7,8.0,H,1,1,marcus-smart-1,Marcus Smart,2014
14,47,14,2014-01-04,Oklahoma State,@,Kansas State,REG (Conf),L 71-74,*,28,6,14,0.429,1,6,0.167,5,8,0.625,0.464,2,5,0.4,3,3,6,3,0,1,2,4,15,8.6,A,0,1,marcus-smart-1,Marcus Smart,2014
15,48,15,2014-01-08,Oklahoma State,,Texas,REG (Conf),W 87-74,*,37,4,11,0.364,0,1,0.0,4,10,0.4,0.364,16,20,0.8,2,9,11,5,6,1,0,3,24,29.4,H,1,1,marcus-smart-1,Marcus Smart,2014
16,49,16,2014-01-11,Oklahoma State,@,West Virginia,REG (Conf),W 73-72,*,35,8,15,0.533,3,5,0.6,5,10,0.5,0.633,3,4,0.75,6,7,13,5,1,1,3,3,22,21.6,A,1,1,marcus-smart-1,Marcus Smart,2014
17,50,17,2014-01-15,Oklahoma State,,TCU,REG (Conf),W 82-50,*,32,5,11,0.455,3,5,0.6,2,6,0.333,0.591,7,9,0.778,3,5,8,5,2,0,1,3,20,20.4,H,1,1,marcus-smart-1,Marcus Smart,2014
18,51,18,2014-01-18,Oklahoma State,@,Kansas,REG (Conf),L 78-80,*,39,3,14,0.214,0,6,0.0,3,8,0.375,0.214,10,10,1.0,0,10,10,9,4,0,2,2,16,17.9,A,0,1,marcus-smart-1,Marcus Smart,2014
19,52,19,2014-01-25,Oklahoma State,,West Virginia,REG (Conf),W 81-75,*,25,1,7,0.143,0,4,0.0,1,3,0.333,0.143,2,2,1.0,2,3,5,4,1,0,3,5,4,0.6,H,1,1,marcus-smart-1,Marcus Smart,2014
20,53,20,2014-01-27,Oklahoma State,@,Oklahoma,REG (Conf),L 76-88,*,25,6,18,0.333,3,11,0.273,3,7,0.429,0.417,7,13,0.538,2,2,4,3,1,0,2,4,22,10.9,A,0,1,marcus-smart-1,Marcus Smart,2014
21,54,21,2014-02-01,Oklahoma State,,Baylor,REG (Conf),L 70-76,*,39,3,14,0.214,0,7,0.0,3,7,0.429,0.214,9,11,0.818,2,4,6,7,3,0,4,3,15,10.9,H,0,1,marcus-smart-1,Marcus Smart,2014
22,55,22,2014-02-03,Oklahoma State,,Iowa State,REG (Conf),L 97-98 (3OT),*,52,6,14,0.429,1,5,0.2,5,9,0.556,0.464,7,9,0.778,1,6,7,3,1,0,3,4,20,12.8,H,0,1,marcus-smart-1,Marcus Smart,2014
23,56,23,2014-02-08,Oklahoma State,@,Texas Tech,REG (Conf),L 61-65,*,36,6,12,0.5,1,4,0.25,5,8,0.625,0.542,9,10,0.9,1,3,4,2,0,0,3,3,22,14.4,A,0,1,marcus-smart-1,Marcus Smart,2014
24,57,27,2014-02-22,Oklahoma State,,Texas Tech,REG (Conf),W 84-62,*,35,5,10,0.5,0,3,0.0,5,7,0.714,0.5,6,7,0.857,0,3,3,10,6,2,3,4,16,21.3,H,1,1,marcus-smart-1,Marcus Smart,2014
25,58,28,2014-02-24,Oklahoma State,@,TCU,REG (Conf),W 76-54,*,35,6,17,0.353,5,9,0.556,1,8,0.125,0.5,0,0,,3,5,8,7,5,0,3,1,17,17.6,A,1,1,marcus-smart-1,Marcus Smart,2014
26,59,29,2014-03-01,Oklahoma State,,Kansas,REG (Conf),W 72-65,*,36,5,14,0.357,2,7,0.286,3,7,0.429,0.429,9,14,0.643,1,5,6,5,4,1,3,3,21,17.4,H,1,1,marcus-smart-1,Marcus Smart,2014
27,60,30,2014-03-03,Oklahoma State,,Kansas State,REG (Conf),W 77-61,*,33,5,8,0.625,1,3,0.333,4,5,0.8,0.688,7,9,0.778,1,5,6,5,3,1,2,4,18,19.4,H,1,1,marcus-smart-1,Marcus Smart,2014
28,61,31,2014-03-08,Oklahoma State,@,Iowa State,REG (Conf),L 81-85 (OT),*,32,8,17,0.471,4,10,0.4,4,7,0.571,0.588,7,9,0.778,0,3,3,5,4,1,2,5,27,22.6,A,0,1,marcus-smart-1,Marcus Smart,2014
29,62,32,2014-03-12,Oklahoma State,N,Texas Tech,CTOURN,W 80-62,*,34,6,10,0.6,1,2,0.5,5,8,0.625,0.65,5,7,0.714,2,5,7,7,6,1,0,1,18,26.7,N,1,0,marcus-smart-1,Marcus Smart,2014
30,63,33,2014-03-13,Oklahoma State,N,Kansas,CTOURN,L 70-77 (OT),*,44,4,14,0.286,1,4,0.25,3,10,0.3,0.321,5,7,0.714,0,7,7,3,2,0,2,3,14,8.0,N,0,0,marcus-smart-1,Marcus Smart,2014
31,64,34,2014-03-21,Oklahoma State,N,Gonzaga,ROUND-64,L 77-85,*,38,5,14,0.357,1,5,0.2,4,9,0.444,0.393,12,19,0.632,6,7,13,7,6,1,6,4,23,22.7,N,0,0,marcus-smart-1,Marcus Smart,2014
