rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,100,1,2013-11-08,Saint Louis,,Southeast Missouri State,REG (Non-Conf),W 87-64,*,31,3,13,0.231,0,4,0.0,3,9,0.333,0.231,2,2,1.0,2,1,3,5,2,0,1,2,8,5.5,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
2,101,2,2013-11-13,Saint Louis,@,SIU Edwardsville,REG (Non-Conf),W 82-58,*,27,6,8,0.75,2,2,1.0,4,6,0.667,0.875,0,2,0.0,1,1,2,0,1,0,0,0,14,12.0,A,1,1,mike-mccall-1,Mike McCall Jr.,2014
3,102,3,2013-11-16,Saint Louis,@,Southern Illinois,REG (Non-Conf),W 76-67,*,34,7,18,0.389,3,6,0.5,4,12,0.333,0.472,2,2,1.0,3,6,9,2,2,0,0,2,19,15.7,A,1,1,mike-mccall-1,Mike McCall Jr.,2014
4,103,4,2013-11-21,Saint Louis,,Oral Roberts,REG (Non-Conf),W 72-55,*,33,4,9,0.444,1,4,0.25,3,5,0.6,0.5,2,2,1.0,0,2,2,2,2,1,1,0,11,10.0,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
5,104,5,2013-11-23,Saint Louis,,Bowling Green,REG (Non-Conf),W 74-47,*,24,5,11,0.455,1,3,0.333,4,8,0.5,0.5,0,0,,1,2,3,5,2,0,1,1,11,10.7,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
6,105,6,2013-11-26,Saint Louis,N,Wisconsin,REG (Non-Conf),L 57-63,*,31,3,9,0.333,0,3,0.0,3,6,0.5,0.333,0,0,,0,4,4,1,2,0,2,4,6,1.2,N,0,1,mike-mccall-1,Mike McCall Jr.,2014
7,106,7,2013-11-27,Saint Louis,N,Old Dominion,REG (Non-Conf),W 62-52,*,23,4,7,0.571,0,2,0.0,4,5,0.8,0.571,0,0,,1,1,2,1,3,0,4,1,8,5.0,N,1,1,mike-mccall-1,Mike McCall Jr.,2014
8,107,8,2013-12-01,Saint Louis,,Wichita State,REG (Non-Conf),L 65-70,*,32,3,7,0.429,2,4,0.5,1,3,0.333,0.571,4,6,0.667,1,3,4,2,3,1,0,1,12,13.8,H,0,1,mike-mccall-1,Mike McCall Jr.,2014
9,108,9,2013-12-03,Saint Louis,,Rockhurst,REG (Non-Conf),W 68-43,*,23,1,8,0.125,0,4,0.0,1,4,0.25,0.125,2,2,1.0,0,4,4,4,0,0,0,3,4,1.6,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
10,109,10,2013-12-07,Saint Louis,@,Valparaiso,REG (Non-Conf),W 67-65,*,27,3,8,0.375,1,2,0.5,2,6,0.333,0.438,0,0,,1,2,3,3,1,0,1,2,7,5.2,A,1,1,mike-mccall-1,Mike McCall Jr.,2014
11,110,11,2013-12-14,Saint Louis,,Wofford,REG (Non-Conf),W 66-52,*,30,1,1,1.0,0,0,,1,1,1.0,1.0,5,6,0.833,1,1,2,3,0,0,1,0,7,8.4,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
12,111,12,2013-12-18,Saint Louis,,Indiana State,REG (Non-Conf),W 83-66,*,25,2,7,0.286,2,6,0.333,0,1,0.0,0.429,0,0,,1,2,3,2,0,0,0,2,6,3.8,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
13,112,13,2013-12-21,Saint Louis,,North Carolina A&T,REG (Non-Conf),W 79-57,*,24,5,10,0.5,2,6,0.333,3,4,0.75,0.6,1,2,0.5,1,4,5,3,2,0,0,3,13,12.4,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
14,113,14,2013-12-30,Saint Louis,@,Vanderbilt,REG (Non-Conf),W 57-49,*,32,3,7,0.429,1,4,0.25,2,3,0.667,0.5,2,4,0.5,0,4,4,0,2,0,1,0,9,6.7,A,1,1,mike-mccall-1,Mike McCall Jr.,2014
15,114,15,2014-01-04,Saint Louis,,Yale,REG (Non-Conf),W 75-55,*,26,3,9,0.333,1,4,0.25,2,5,0.4,0.389,0,0,,4,0,4,2,3,0,2,0,7,7.1,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
16,115,16,2014-01-07,Saint Louis,@,Rhode Island,REG (Conf),W 59-58,*,32,0,8,0.0,0,1,0.0,0,7,0.0,0.0,0,0,,0,1,1,0,1,0,1,0,0,-5.3,A,1,1,mike-mccall-1,Mike McCall Jr.,2014
17,116,17,2014-01-11,Saint Louis,@,Dayton,REG (Conf),W 67-59,*,23,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,2,3,1,0,0,0,3,2,1.8,A,1,1,mike-mccall-1,Mike McCall Jr.,2014
18,117,18,2014-01-15,Saint Louis,,St. Bonaventure,REG (Conf),W 66-60,*,29,1,5,0.2,0,0,,1,5,0.2,0.2,2,4,0.5,1,6,7,3,1,0,1,3,4,3.5,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
19,118,19,2014-01-18,Saint Louis,,Fordham,REG (Conf),W 70-48,*,30,4,9,0.444,2,7,0.286,2,2,1.0,0.556,2,4,0.5,3,4,7,0,1,0,2,1,12,8.4,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
20,119,20,2014-01-22,Saint Louis,@,Duquesne,REG (Conf),W 76-72,*,23,4,5,0.8,3,4,0.75,1,1,1.0,1.1,2,2,1.0,0,1,1,1,0,0,0,3,13,10.9,A,1,1,mike-mccall-1,Mike McCall Jr.,2014
21,120,21,2014-01-29,Saint Louis,,Richmond,REG (Conf),W 77-57,*,33,3,10,0.3,0,3,0.0,3,7,0.429,0.3,2,2,1.0,1,3,4,2,2,0,3,3,8,3.0,H,1,1,mike-mccall-1,Mike McCall Jr.,2014
