rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,41,1,2013-11-09,Louisville,,College of Charleston,REG (Non-Conf),W 70-48,*,33,4,7,0.571,0,0,,4,7,0.571,0.571,2,6,0.333,4,4,8,1,4,1,0,2,10,13.7,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
2,42,2,2013-11-12,Louisville,,Hofstra,REG (Non-Conf),W 97-69,*,26,7,9,0.778,0,0,,7,9,0.778,0.778,5,5,1.0,2,3,5,0,0,0,1,3,19,15.6,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
3,43,3,2013-11-15,Louisville,,Cornell,REG (Non-Conf),W 99-54,*,26,3,5,0.6,1,1,1.0,2,4,0.5,0.7,0,2,0.0,2,13,15,3,1,0,3,1,7,8.9,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
4,44,4,2013-11-19,Louisville,,Hartford,REG (Non-Conf),W 87-48,*,26,9,12,0.75,0,0,,9,12,0.75,0.75,2,4,0.5,4,5,9,3,2,1,1,2,20,21.7,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
5,45,5,2013-11-23,Louisville,N,Fairfield,REG (Non-Conf),W 71-57,*,25,6,13,0.462,0,0,,6,13,0.462,0.462,2,2,1.0,6,6,12,1,1,1,1,4,14,13.1,N,1,1,montrezl-harrell-1,Montrezl Harrell,2014
6,46,6,2013-11-24,Louisville,N,North Carolina,REG (Non-Conf),L 84-93,*,25,2,5,0.4,0,0,,2,5,0.4,0.4,1,2,0.5,5,5,10,1,1,2,3,5,5,5.0,N,0,1,montrezl-harrell-1,Montrezl Harrell,2014
7,47,7,2013-11-29,Louisville,,Southern Mississippi,REG (Non-Conf),W 69-38,*,24,4,8,0.5,0,0,,4,8,0.5,0.5,3,6,0.5,3,6,9,1,1,0,0,2,11,10.6,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
8,48,8,2013-12-04,Louisville,,Kansas City,REG (Non-Conf),W 90-62,*,20,7,11,0.636,0,0,,7,11,0.636,0.636,0,0,,4,3,7,0,2,0,1,1,14,13.4,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
9,49,9,2013-12-07,Louisville,,Louisiana–Lafayette,REG (Non-Conf),W 113-74,*,21,9,10,0.9,0,0,,9,10,0.9,0.9,2,3,0.667,5,3,8,0,1,2,1,0,20,22.0,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
10,50,10,2013-12-14,Louisville,,Western Kentucky,REG (Non-Conf),W 79-63,*,18,1,3,0.333,0,0,,1,3,0.333,0.333,1,2,0.5,0,4,4,1,1,0,0,3,3,2.6,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
11,51,11,2013-12-17,Louisville,,Missouri State,REG (Non-Conf),W 90-60,*,26,6,7,0.857,0,0,,6,7,0.857,0.857,5,11,0.455,4,4,8,0,0,2,2,1,17,15.1,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
12,52,12,2013-12-21,Louisville,@,Florida International,REG (Non-Conf),W 85-56,*,26,4,7,0.571,0,0,,4,7,0.571,0.571,2,4,0.5,2,3,5,2,0,2,2,1,10,8.6,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
13,53,13,2013-12-28,Louisville,@,Kentucky,REG (Non-Conf),L 66-73,*,21,2,2,1.0,0,0,,2,2,1.0,1.0,2,2,1.0,2,2,4,0,1,1,0,3,6,7.9,A,0,1,montrezl-harrell-1,Montrezl Harrell,2014
14,54,14,2013-12-31,Louisville,@,UCF,REG (Conf),W 90-65,*,31,7,10,0.7,0,0,,7,10,0.7,0.7,1,1,1.0,3,5,8,1,1,1,0,2,15,16.0,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
15,55,15,2014-01-04,Louisville,@,Rutgers,REG (Conf),W 83-76,*,20,3,5,0.6,0,0,,3,5,0.6,0.6,0,1,0.0,3,4,7,0,3,0,1,5,6,6.6,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
16,56,16,2014-01-09,Louisville,,Memphis,REG (Conf),L 67-73,*,37,7,13,0.538,0,0,,7,13,0.538,0.538,0,0,,4,7,11,1,1,1,1,3,14,12.8,H,0,1,montrezl-harrell-1,Montrezl Harrell,2014
17,57,17,2014-01-12,Louisville,,SMU,REG (Conf),W 71-63,*,38,5,8,0.625,0,0,,5,8,0.625,0.625,2,7,0.286,2,11,13,1,0,4,2,2,12,11.8,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
18,58,18,2014-01-16,Louisville,,Houston,REG (Conf),W 91-52,*,21,3,8,0.375,0,0,,3,8,0.375,0.375,1,2,0.5,2,2,4,2,0,0,1,2,7,3.8,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
19,59,19,2014-01-18,Louisville,@,Connecticut,REG (Conf),W 76-64,*,39,8,10,0.8,0,0,,8,10,0.8,0.8,2,4,0.5,3,10,13,1,1,3,2,0,18,20.3,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
20,60,20,2014-01-22,Louisville,@,South Florida,REG (Conf),W 86-47,*,31,7,13,0.538,0,0,,7,13,0.538,0.538,0,0,,4,6,10,2,0,2,1,2,14,13.3,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
21,61,21,2014-01-30,Louisville,,Cincinnati,REG (Conf),L 66-69,*,39,9,13,0.692,0,1,0.0,9,12,0.75,0.692,0,2,0.0,3,3,6,2,0,2,3,3,18,13.3,H,0,1,montrezl-harrell-1,Montrezl Harrell,2014
22,62,22,2014-02-01,Louisville,,UCF,REG (Conf),W 87-70,*,31,6,12,0.5,0,0,,6,12,0.5,0.5,2,4,0.5,3,4,7,0,0,2,2,2,14,9.1,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
23,63,23,2014-02-05,Louisville,@,Houston,REG (Conf),W 77-62,*,37,7,12,0.583,0,0,,7,12,0.583,0.583,1,7,0.143,0,5,5,2,2,2,2,3,15,10.1,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
24,64,24,2014-02-14,Louisville,@,Temple,REG (Conf),W 82-58,*,31,9,16,0.563,0,0,,9,16,0.563,0.563,4,8,0.5,6,4,10,2,1,4,1,2,22,21.6,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
25,65,25,2014-02-16,Louisville,,Rutgers,REG (Conf),W 102-54,*,23,1,7,0.143,0,0,,1,7,0.143,0.143,2,4,0.5,2,7,9,0,1,2,2,2,4,1.8,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
26,66,26,2014-02-18,Louisville,,South Florida,REG (Conf),W 80-54,*,26,7,9,0.778,0,0,,7,9,0.778,0.778,0,0,,1,3,4,2,1,0,0,4,14,12.9,H,1,1,montrezl-harrell-1,Montrezl Harrell,2014
27,67,27,2014-02-22,Louisville,@,Cincinnati,REG (Conf),W 58-57,*,39,8,16,0.5,0,0,,8,16,0.5,0.5,5,12,0.417,6,4,10,0,2,1,2,3,21,15.1,A,1,1,montrezl-harrell-1,Montrezl Harrell,2014
