rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,35,1,2013-11-08,Texas,,Mercer,REG (Non-Conf),W 76-73,,12,0,1,0.0,0,0,,0,1,0.0,0.0,2,3,0.667,1,1,2,0,0,0,0,2,2,1.1,H,1,1,prince-ibeh-1,Prince Ibeh,2014
2,36,2,2013-11-12,Texas,,South Alabama,REG (Non-Conf),W 84-77,,16,2,4,0.5,0,0,,2,4,0.5,0.5,1,3,0.333,1,5,6,0,0,2,0,2,5,5.0,H,1,1,prince-ibeh-1,Prince Ibeh,2014
3,37,3,2013-11-15,Texas,,Stephen F. Austin,REG (Non-Conf),W 72-62,,20,0,5,0.0,0,0,,0,5,0.0,0.0,0,0,,1,4,5,0,1,3,2,2,0,-1.3,H,1,1,prince-ibeh-1,Prince Ibeh,2014
4,38,4,2013-11-18,Texas,,Houston Baptist,REG (Non-Conf),W 89-61,,13,1,1,1.0,0,0,,1,1,1.0,1.0,2,7,0.286,1,2,3,0,1,2,2,5,4,1.4,H,1,1,prince-ibeh-1,Prince Ibeh,2014
5,39,5,2013-11-25,Texas,N,Brigham Young,REG (Non-Conf),L 82-86,,12,5,9,0.556,0,0,,5,9,0.556,0.556,1,2,0.5,5,1,6,0,2,2,1,4,11,10.9,N,0,1,prince-ibeh-1,Prince Ibeh,2014
6,40,6,2013-11-26,Texas,N,DePaul,REG (Non-Conf),W 77-59,,6,2,2,1.0,0,0,,2,2,1.0,1.0,0,0,,1,1,2,0,0,1,1,4,4,2.5,N,1,1,prince-ibeh-1,Prince Ibeh,2014
7,41,7,2013-11-29,Texas,,UT Arlington,REG (Non-Conf),W 72-69,,25,4,7,0.571,0,0,,4,7,0.571,0.571,3,5,0.6,2,1,3,1,0,5,1,3,11,10.6,H,1,1,prince-ibeh-1,Prince Ibeh,2014
8,42,8,2013-12-02,Texas,,Vanderbilt,REG (Non-Conf),W 70-64,,9,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,0,1,0,0,2,2,4,2,-1.2,H,1,1,prince-ibeh-1,Prince Ibeh,2014
9,43,9,2013-12-07,Texas,N,Temple,REG (Non-Conf),W 81-80 (OT),,16,4,8,0.5,0,1,0.0,4,7,0.571,0.5,3,5,0.6,4,2,6,0,0,4,1,4,11,9.8,N,1,1,prince-ibeh-1,Prince Ibeh,2014
10,44,10,2013-12-14,Texas,,Texas State San Marcos,REG (Non-Conf),W 85-53,,20,2,4,0.5,0,0,,2,4,0.5,0.5,3,4,0.75,1,5,6,0,0,3,0,2,7,8.1,H,1,1,prince-ibeh-1,Prince Ibeh,2014
11,45,11,2013-12-18,Texas,@,North Carolina,REG (Non-Conf),W 86-83,,16,4,5,0.8,0,0,,4,5,0.8,0.8,0,2,0.0,3,1,4,0,0,1,0,4,8,6.8,A,1,1,prince-ibeh-1,Prince Ibeh,2014
12,46,12,2013-12-21,Texas,,Michigan State,REG (Non-Conf),L 78-92,,9,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,2,3,3,0,-2.5,H,0,1,prince-ibeh-1,Prince Ibeh,2014
13,47,13,2013-12-30,Texas,,Rice,REG (Non-Conf),W 66-44,,19,2,3,0.667,0,0,,2,3,0.667,0.667,4,6,0.667,2,5,7,0,0,2,1,0,8,9.2,H,1,1,prince-ibeh-1,Prince Ibeh,2014
14,48,14,2014-01-04,Texas,,Oklahoma,REG (Conf),L 85-88,,12,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,2,1,3,0,-1.5,H,0,1,prince-ibeh-1,Prince Ibeh,2014
15,49,15,2014-01-08,Texas,@,Oklahoma State,REG (Conf),L 74-87,,7,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,2,0,3,2,1.5,A,0,1,prince-ibeh-1,Prince Ibeh,2014
16,50,16,2014-01-11,Texas,,Texas Tech,REG (Conf),W 67-64,,21,3,4,0.75,0,0,,3,4,0.75,0.75,2,2,1.0,4,4,8,0,0,2,0,2,8,11.0,H,1,1,prince-ibeh-1,Prince Ibeh,2014
17,51,17,2014-01-13,Texas,@,West Virginia,REG (Conf),W 80-69,,11,1,1,1.0,0,0,,1,1,1.0,1.0,1,1,1.0,1,4,5,0,0,1,0,2,3,4.5,A,1,1,prince-ibeh-1,Prince Ibeh,2014
18,52,18,2014-01-18,Texas,,Iowa State,REG (Conf),W 86-76,,4,0,0,,0,0,,0,0,,,2,2,1.0,0,0,0,0,1,1,0,1,2,3.3,H,1,1,prince-ibeh-1,Prince Ibeh,2014
19,53,19,2014-01-21,Texas,,Kansas State,REG (Conf),W 67-64,,14,1,2,0.5,0,0,,1,2,0.5,0.5,0,2,0.0,1,0,1,0,0,1,0,3,2,0.4,H,1,1,prince-ibeh-1,Prince Ibeh,2014
20,54,20,2014-01-25,Texas,@,Baylor,REG (Conf),W 74-60,,9,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,2,2,0,0,1,1,4,2,-0.3,A,1,1,prince-ibeh-1,Prince Ibeh,2014
21,55,21,2014-02-01,Texas,,Kansas,REG (Conf),W 81-69,,17,1,3,0.333,0,0,,1,3,0.333,0.333,0,2,0.0,3,0,3,0,0,4,1,3,2,2.2,H,1,1,prince-ibeh-1,Prince Ibeh,2014
22,56,22,2014-02-04,Texas,@,TCU,REG (Conf),W 59-54,,14,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,3,5,8,0,0,2,1,4,2,2.0,A,1,1,prince-ibeh-1,Prince Ibeh,2014
23,57,23,2014-02-08,Texas,@,Kansas State,REG (Conf),L 57-74,,15,0,1,0.0,0,0,,0,1,0.0,0.0,2,3,0.667,1,1,2,0,1,1,1,2,2,1.8,A,0,1,prince-ibeh-1,Prince Ibeh,2014
24,58,24,2014-02-11,Texas,,Oklahoma State,REG (Conf),W 87-68,,19,1,2,0.5,0,0,,1,2,0.5,0.5,2,2,1.0,2,4,6,0,2,0,0,2,4,6.8,H,1,1,prince-ibeh-1,Prince Ibeh,2014
25,59,25,2014-02-15,Texas,,West Virginia,REG (Conf),W 88-71,,12,2,3,0.667,0,0,,2,3,0.667,0.667,0,1,0.0,2,1,3,2,0,1,0,1,4,5.7,H,1,1,prince-ibeh-1,Prince Ibeh,2014
26,60,26,2014-02-18,Texas,@,Iowa State,REG (Conf),L 76-85,,17,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,4,4,0,0,2,1,1,2,2.2,A,0,1,prince-ibeh-1,Prince Ibeh,2014
27,61,27,2014-02-22,Texas,@,Kansas,REG (Conf),L 54-85,,16,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,3,5,8,0,1,2,0,5,0,3.3,A,0,1,prince-ibeh-1,Prince Ibeh,2014
28,62,28,2014-02-26,Texas,,Baylor,REG (Conf),W 74-69,,14,0,2,0.0,0,0,,0,2,0.0,0.0,0,2,0.0,0,0,0,0,0,1,0,4,0,-3.1,H,1,1,prince-ibeh-1,Prince Ibeh,2014
