rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,61,1,2013-11-08,NC State,,Appalachian State,REG (Non-Conf),W 98-77,*,17,2,5,0.4,1,2,0.5,1,3,0.333,0.5,2,3,0.667,0,3,3,2,0,0,1,5,7,3.2,H,1,1,ralston-turner-1,Ralston Turner,2014
2,62,2,2013-11-12,NC State,@,Cincinnati,REG (Non-Conf),L 57-68,*,25,4,10,0.4,4,7,0.571,0,3,0.0,0.6,1,2,0.5,3,1,4,1,0,0,0,4,13,8.7,A,0,1,ralston-turner-1,Ralston Turner,2014
3,63,3,2013-11-16,NC State,,Campbell,REG (Non-Conf),W 81-66,*,25,6,9,0.667,1,2,0.5,5,7,0.714,0.722,0,1,0.0,1,2,3,2,4,0,2,3,13,12.2,H,1,1,ralston-turner-1,Ralston Turner,2014
4,64,4,2013-11-20,NC State,,North Carolina Central,REG (Non-Conf),L 72-82 (OT),*,36,3,11,0.273,2,8,0.25,1,3,0.333,0.364,0,0,,3,4,7,1,1,1,1,5,8,4.2,H,0,1,ralston-turner-1,Ralston Turner,2014
5,65,5,2013-11-26,NC State,,Florida Gulf Coast,REG (Non-Conf),W 82-62,,24,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,1,4,5,1,2,0,1,3,5,4.3,H,1,1,ralston-turner-1,Ralston Turner,2014
6,66,6,2013-11-30,NC State,,Eastern Kentucky,REG (Non-Conf),W 75-56,,26,2,7,0.286,0,3,0.0,2,4,0.5,0.286,0,0,,1,4,5,0,1,2,0,1,4,3.8,H,1,1,ralston-turner-1,Ralston Turner,2014
7,67,7,2013-12-04,NC State,,Northwestern,REG (Non-Conf),W 69-48,,21,4,8,0.5,3,7,0.429,1,1,1.0,0.688,2,2,1.0,0,3,3,0,0,0,2,2,13,7.1,H,1,1,ralston-turner-1,Ralston Turner,2014
8,68,8,2013-12-07,NC State,,Long Beach State,REG (Non-Conf),W 76-66,,23,2,8,0.25,0,4,0.0,2,4,0.5,0.25,1,2,0.5,0,1,1,4,2,0,0,1,5,4.5,H,1,1,ralston-turner-1,Ralston Turner,2014
9,69,9,2013-12-14,NC State,,Detroit Mercy,REG (Non-Conf),W 82-79,,22,7,9,0.778,6,8,0.75,1,1,1.0,1.111,1,2,0.5,0,0,0,0,0,0,0,2,21,16.3,H,1,1,ralston-turner-1,Ralston Turner,2014
10,70,10,2013-12-18,NC State,@,Tennessee,REG (Non-Conf),W 65-58,,18,2,5,0.4,1,3,0.333,1,2,0.5,0.5,0,0,,0,2,2,0,0,0,0,2,5,2.1,A,1,1,ralston-turner-1,Ralston Turner,2014
11,71,11,2013-12-21,NC State,,East Carolina,REG (Non-Conf),W 90-79,,25,4,6,0.667,3,4,0.75,1,2,0.5,0.917,0,0,,1,1,2,2,1,0,3,1,11,8.4,H,1,1,ralston-turner-1,Ralston Turner,2014
12,72,12,2013-12-28,NC State,,Missouri,REG (Non-Conf),L 64-68,,18,3,9,0.333,3,6,0.5,0,3,0.0,0.5,0,0,,0,1,1,2,0,0,0,2,9,4.8,H,0,1,ralston-turner-1,Ralston Turner,2014
13,73,13,2013-12-30,NC State,@,UNC Greensboro,REG (Non-Conf),W 68-64,,12,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,1,0,1,0,0,0,0,3,0,-1.9,A,1,1,ralston-turner-1,Ralston Turner,2014
14,74,14,2014-01-04,NC State,,Pittsburgh,REG (Conf),L 62-74,,24,4,9,0.444,2,6,0.333,2,3,0.667,0.556,1,2,0.5,1,1,2,0,0,0,2,3,11,3.7,H,0,1,ralston-turner-1,Ralston Turner,2014
15,75,15,2014-01-07,NC State,@,Notre Dame,REG (Conf),W 77-70,,18,3,5,0.6,2,3,0.667,1,2,0.5,0.8,4,5,0.8,0,0,0,0,1,0,0,1,12,9.9,A,1,1,ralston-turner-1,Ralston Turner,2014
16,76,16,2014-01-11,NC State,,Virginia,REG (Conf),L 45-76,,23,3,8,0.375,2,4,0.5,1,4,0.25,0.5,2,2,1.0,0,0,0,0,0,0,2,3,10,2.4,H,0,1,ralston-turner-1,Ralston Turner,2014
17,77,17,2014-01-15,NC State,@,Wake Forest,REG (Conf),L 69-70,,31,3,12,0.25,2,9,0.222,1,3,0.333,0.333,3,5,0.6,1,3,4,1,0,0,0,3,11,4.1,A,0,1,ralston-turner-1,Ralston Turner,2014
18,78,18,2014-01-18,NC State,@,Duke,REG (Conf),L 60-95,,19,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,2,2,0,0,0,2,1,4,0.2,A,0,1,ralston-turner-1,Ralston Turner,2014
19,79,19,2014-01-20,NC State,,Maryland,REG (Conf),W 65-56,*,35,8,19,0.421,5,15,0.333,3,4,0.75,0.553,2,2,1.0,0,7,7,1,0,0,1,2,23,13.9,H,1,1,ralston-turner-1,Ralston Turner,2014
20,80,20,2014-01-26,NC State,,Georgia Tech,REG (Conf),W 80-78 (OT),*,34,5,12,0.417,2,6,0.333,3,6,0.5,0.5,0,3,0.0,0,3,3,1,1,0,1,4,12,4.4,H,1,1,ralston-turner-1,Ralston Turner,2014
21,81,21,2014-01-29,NC State,,Florida State,REG (Conf),W 74-70,*,28,3,9,0.333,1,5,0.2,2,4,0.5,0.389,2,3,0.667,1,5,6,0,1,0,2,4,9,3.1,H,1,1,ralston-turner-1,Ralston Turner,2014
22,82,22,2014-02-01,NC State,@,North Carolina,REG (Conf),L 70-84,*,24,3,7,0.429,1,3,0.333,2,4,0.5,0.5,0,1,0.0,0,2,2,0,1,0,1,4,7,1.9,A,0,1,ralston-turner-1,Ralston Turner,2014
23,83,23,2014-02-08,NC State,@,Miami (FL),REG (Conf),W 56-55,*,38,6,13,0.462,4,11,0.364,2,2,1.0,0.615,1,2,0.5,0,2,2,0,0,0,0,2,17,9.7,A,1,1,ralston-turner-1,Ralston Turner,2014
24,84,24,2014-02-11,NC State,,Wake Forest,REG (Conf),W 82-67,*,28,5,8,0.625,2,4,0.5,3,4,0.75,0.75,4,4,1.0,0,2,2,2,1,0,0,3,16,14.2,H,1,1,ralston-turner-1,Ralston Turner,2014
25,85,25,2014-02-15,NC State,@,Syracuse,REG (Conf),L 55-56,*,28,3,8,0.375,3,8,0.375,0,0,,0.563,4,6,0.667,1,0,1,2,0,0,1,1,13,8.5,A,0,1,ralston-turner-1,Ralston Turner,2014
26,86,26,2014-02-18,NC State,@,Clemson,REG (Conf),L 56-73,*,31,3,10,0.3,3,8,0.375,0,2,0.0,0.45,2,2,1.0,0,2,2,0,1,0,1,3,11,4.6,A,0,1,ralston-turner-1,Ralston Turner,2014
27,87,27,2014-02-22,NC State,@,Virginia Tech,REG (Conf),W 71-64,*,27,1,8,0.125,1,7,0.143,0,1,0.0,0.188,2,2,1.0,0,3,3,0,0,0,1,2,5,-1.1,A,1,1,ralston-turner-1,Ralston Turner,2014
28,88,28,2014-02-26,NC State,,North Carolina,REG (Conf),L 84-85 (OT),*,37,5,13,0.385,4,11,0.364,1,2,0.5,0.538,2,2,1.0,0,2,2,3,1,0,3,2,16,8.8,H,0,1,ralston-turner-1,Ralston Turner,2014
29,89,29,2014-03-01,NC State,,Miami (FL),REG (Conf),L 70-85,*,25,2,7,0.286,2,6,0.333,0,1,0.0,0.429,3,3,1.0,0,2,2,0,0,1,2,3,9,3.0,H,0,1,ralston-turner-1,Ralston Turner,2014
30,90,30,2014-03-03,NC State,@,Pittsburgh,REG (Conf),W 74-67,*,22,1,8,0.125,1,6,0.167,0,2,0.0,0.188,1,2,0.5,1,1,2,1,0,0,1,2,4,-1.7,A,1,1,ralston-turner-1,Ralston Turner,2014
31,91,31,2014-03-09,NC State,,Boston College,REG (Conf),W 78-68,*,17,2,6,0.333,1,3,0.333,1,3,0.333,0.417,0,0,,0,2,2,2,0,0,0,1,5,3.2,H,1,1,ralston-turner-1,Ralston Turner,2014
32,92,32,2014-03-13,NC State,N,Miami (FL),CTOURN,W 67-58,*,37,7,12,0.583,5,8,0.625,2,4,0.5,0.792,3,4,0.75,0,1,1,0,1,0,0,2,22,16.5,N,1,0,ralston-turner-1,Ralston Turner,2014
33,93,33,2014-03-14,NC State,N,Syracuse,CTOURN,W 66-63,*,26,3,7,0.429,3,7,0.429,0,0,,0.643,0,0,,0,0,0,2,0,0,1,4,9,4.1,N,1,0,ralston-turner-1,Ralston Turner,2014
34,94,34,2014-03-15,NC State,N,Duke,CTOURN,L 67-75,*,27,2,10,0.2,2,10,0.2,0,0,,0.3,0,0,,1,0,1,1,1,0,2,4,6,-1.4,N,0,0,ralston-turner-1,Ralston Turner,2014
