rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,34,1,2013-11-09,Louisiana–Lafayette,,La. Christian,REG (Non-Conf),W 101-67,*,24,11,17,0.647,0,0,,11,17,0.647,0.647,1,2,0.5,9,5,14,1,1,4,2,3,23,24.2,H,1,1,shawn-long-1,Shawn Long,2014
2,35,2,2013-11-12,Louisiana–Lafayette,,McNeese State,REG (Non-Conf),W 92-66,*,32,11,22,0.5,3,5,0.6,8,17,0.471,0.568,4,6,0.667,5,10,15,0,1,5,2,2,29,25.4,H,1,1,shawn-long-1,Shawn Long,2014
3,36,3,2013-11-15,Louisiana–Lafayette,@,Arkansas,REG (Non-Conf),L 63-76,*,26,5,9,0.556,0,1,0.0,5,8,0.625,0.556,2,4,0.5,2,3,5,1,0,0,3,4,12,5.3,A,0,1,shawn-long-1,Shawn Long,2014
4,37,4,2013-11-17,Louisiana–Lafayette,@,Baylor,REG (Non-Conf),L 68-87,*,23,6,12,0.5,0,1,0.0,6,11,0.545,0.5,4,4,1.0,5,3,8,0,2,1,2,4,16,13.5,A,0,1,shawn-long-1,Shawn Long,2014
5,38,5,2013-11-23,Louisiana–Lafayette,N,Oakland,REG (Non-Conf),W 84-75,*,38,8,13,0.615,1,3,0.333,7,10,0.7,0.654,7,12,0.583,5,12,17,1,0,5,5,3,24,21.2,N,1,1,shawn-long-1,Shawn Long,2014
6,39,6,2013-11-24,Louisiana–Lafayette,@,Coastal Carolina,REG (Non-Conf),W 73-69,*,20,6,8,0.75,2,2,1.0,4,6,0.667,0.875,4,7,0.571,1,6,7,0,1,3,2,4,18,15.6,A,1,1,shawn-long-1,Shawn Long,2014
7,40,7,2013-11-27,Louisiana–Lafayette,,Northwestern State,REG (Non-Conf),W 105-74,*,25,8,13,0.615,0,2,0.0,8,11,0.727,0.615,6,10,0.6,4,11,15,0,0,4,5,4,22,16.8,H,1,1,shawn-long-1,Shawn Long,2014
8,41,8,2013-12-04,Louisiana–Lafayette,@,Louisiana Tech,REG (Non-Conf),W 89-80,*,28,8,17,0.471,0,2,0.0,8,15,0.533,0.471,1,2,0.5,2,10,12,0,1,3,0,3,17,14.2,A,1,1,shawn-long-1,Shawn Long,2014
9,42,9,2013-12-07,Louisiana–Lafayette,@,Louisville,REG (Non-Conf),L 74-113,*,29,11,19,0.579,2,5,0.4,9,14,0.643,0.632,1,2,0.5,3,2,5,0,0,0,3,5,25,13.4,A,0,1,shawn-long-1,Shawn Long,2014
10,43,10,2013-12-14,Louisiana–Lafayette,,Houston,REG (Non-Conf),W 79-76 (OT),*,42,7,16,0.438,1,2,0.5,6,14,0.429,0.469,7,12,0.583,6,6,12,1,1,3,5,4,22,14.8,H,1,1,shawn-long-1,Shawn Long,2014
11,44,11,2013-12-17,Louisiana–Lafayette,,Centenary (LA),REG (Non-Conf),W 103-69,*,22,12,12,1.0,1,1,1.0,11,11,1.0,1.042,5,9,0.556,2,5,7,0,1,2,3,1,30,26.7,H,1,1,shawn-long-1,Shawn Long,2014
12,45,12,2013-12-19,Louisiana–Lafayette,@,Jackson State,REG (Non-Conf),L 70-73,*,38,5,15,0.333,0,3,0.0,5,12,0.417,0.333,6,8,0.75,7,12,19,1,0,2,1,3,16,15.1,A,0,1,shawn-long-1,Shawn Long,2014
13,46,13,2013-12-30,Louisiana–Lafayette,,Central Methodist,REG (Non-Conf),W 90-58,*,23,11,15,0.733,2,3,0.667,9,12,0.75,0.8,2,2,1.0,4,8,12,0,0,2,2,2,26,23.7,H,1,1,shawn-long-1,Shawn Long,2014
14,47,14,2014-01-04,Louisiana–Lafayette,@,Louisiana–Monroe,REG (Conf),L 98-103 (2OT),*,39,7,18,0.389,1,2,0.5,6,16,0.375,0.417,6,10,0.6,3,5,8,0,1,6,2,5,21,14.4,A,0,1,shawn-long-1,Shawn Long,2014
15,48,15,2014-01-11,Louisiana–Lafayette,,UT Arlington,REG (Conf),W 90-70,,28,8,17,0.471,0,4,0.0,8,13,0.615,0.471,6,9,0.667,4,5,9,0,1,7,2,4,22,18.7,H,1,1,shawn-long-1,Shawn Long,2014
16,49,16,2014-01-13,Louisiana–Lafayette,,Texas State San Marcos,REG (Conf),W 81-58,*,22,6,12,0.5,2,3,0.667,4,9,0.444,0.583,4,5,0.8,2,7,9,1,0,1,0,3,18,15.3,H,1,1,shawn-long-1,Shawn Long,2014
17,50,17,2014-01-16,Louisiana–Lafayette,@,South Alabama,REG (Conf),L 73-81,*,34,6,16,0.375,1,2,0.5,5,14,0.357,0.406,2,5,0.4,2,8,10,1,3,1,4,4,15,7.6,A,0,1,shawn-long-1,Shawn Long,2014
18,51,18,2014-01-18,Louisiana–Lafayette,@,Troy,REG (Conf),W 72-59,*,33,8,15,0.533,1,2,0.5,7,13,0.538,0.567,1,1,1.0,2,5,7,1,1,3,3,2,18,13.6,A,1,1,shawn-long-1,Shawn Long,2014
19,52,19,2014-01-23,Louisiana–Lafayette,,Georgia State,REG (Conf),L 70-77,*,38,6,15,0.4,0,0,,6,15,0.4,0.4,5,6,0.833,2,13,15,1,0,5,1,5,17,15.0,H,0,1,shawn-long-1,Shawn Long,2014
20,53,20,2014-01-25,Louisiana–Lafayette,,Western Kentucky,REG (Conf),L 70-79,*,28,4,10,0.4,0,0,,4,10,0.4,0.4,5,6,0.833,4,7,11,0,2,4,3,3,13,12.7,H,0,1,shawn-long-1,Shawn Long,2014
21,54,22,2014-02-01,Louisiana–Lafayette,,Louisiana–Monroe,REG (Conf),W 66-50,,34,5,14,0.357,0,1,0.0,5,13,0.385,0.357,2,2,1.0,5,7,12,2,1,4,0,2,12,14.2,H,1,1,shawn-long-1,Shawn Long,2014
22,55,23,2014-02-06,Louisiana–Lafayette,@,UT Arlington,REG (Conf),W 92-89,*,37,11,17,0.647,3,4,0.75,8,13,0.615,0.735,6,8,0.75,2,6,8,1,1,1,0,2,31,27.5,A,1,1,shawn-long-1,Shawn Long,2014
23,56,24,2014-02-08,Louisiana–Lafayette,@,Texas State San Marcos,REG (Conf),W 67-66,*,34,8,16,0.5,0,2,0.0,8,14,0.571,0.5,4,5,0.8,6,7,13,1,0,0,2,3,20,15.4,A,1,1,shawn-long-1,Shawn Long,2014
24,57,25,2014-02-13,Louisiana–Lafayette,,Little Rock,REG (Conf),W 93-87 (2OT),*,26,1,5,0.2,1,2,0.5,0,3,0.0,0.3,4,6,0.667,0,3,3,1,1,3,2,4,7,4.2,H,1,1,shawn-long-1,Shawn Long,2014
25,58,26,2014-02-15,Louisiana–Lafayette,,Arkansas State,REG (Conf),W 85-67,*,28,6,11,0.545,2,3,0.667,4,8,0.5,0.636,2,3,0.667,5,6,11,0,2,3,4,4,16,14.1,H,1,1,shawn-long-1,Shawn Long,2014
26,59,27,2014-02-20,Louisiana–Lafayette,,Troy,REG (Conf),W 78-63,*,24,7,8,0.875,0,0,,7,8,0.875,0.875,1,1,1.0,4,5,9,1,0,2,0,3,15,17.4,H,1,1,shawn-long-1,Shawn Long,2014
27,60,28,2014-02-22,Louisiana–Lafayette,@,Georgia State,REG (Conf),L 77-80,*,29,6,9,0.667,3,3,1.0,3,6,0.5,0.833,7,8,0.875,3,5,8,0,0,1,1,4,22,19.4,A,0,1,shawn-long-1,Shawn Long,2014
28,61,29,2014-03-02,Louisiana–Lafayette,,South Alabama,REG (Conf),W 102-76,*,26,8,14,0.571,2,3,0.667,6,11,0.545,0.643,2,5,0.4,2,8,10,2,0,3,3,4,20,14.9,H,1,1,shawn-long-1,Shawn Long,2014
29,62,30,2014-03-06,Louisiana–Lafayette,@,Western Kentucky,REG (Conf),L 72-75,*,22,2,10,0.2,1,2,0.5,1,8,0.125,0.25,0,1,0.0,3,7,10,0,0,2,2,5,5,0.0,A,0,1,shawn-long-1,Shawn Long,2014
30,63,31,2014-03-08,Louisiana–Lafayette,@,Arkansas State,REG (Conf),W 77-76,*,39,8,16,0.5,1,4,0.25,7,12,0.583,0.531,8,9,0.889,4,7,11,0,1,3,3,2,25,20.8,A,1,1,shawn-long-1,Shawn Long,2014
31,64,32,2014-03-14,Louisiana–Lafayette,N,UT Arlington,CTOURN,W 91-85,*,31,7,13,0.538,1,2,0.5,6,11,0.545,0.577,4,5,0.8,6,11,17,0,0,5,1,4,19,20.7,N,1,0,shawn-long-1,Shawn Long,2014
32,65,33,2014-03-15,Louisiana–Lafayette,N,Western Kentucky,CTOURN,W 73-72,*,19,4,8,0.5,0,2,0.0,4,6,0.667,0.5,1,2,0.5,1,2,3,0,0,0,4,5,9,-0.1,N,1,0,shawn-long-1,Shawn Long,2014
