rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,60,1,2013-11-08,Michigan State,,McNeese State,REG (Non-Conf),W 98-56,,23,4,8,0.5,3,6,0.5,1,2,0.5,0.688,0,0,,1,4,5,8,1,0,2,0,11,13.5,H,1,1,travis-trice-1,Travis Trice,2014
2,61,2,2013-11-12,Michigan State,N,Kentucky,REG (Non-Conf),W 78-74,,15,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,0,0,1,0,0,0,0,2,1.7,N,1,1,travis-trice-1,Travis Trice,2014
3,62,3,2013-11-15,Michigan State,,Columbia,REG (Non-Conf),W 62-53,,20,0,2,0.0,0,1,0.0,0,1,0.0,0.0,3,4,0.75,0,0,0,2,2,0,0,1,3,4.2,H,1,1,travis-trice-1,Travis Trice,2014
4,63,4,2013-11-18,Michigan State,,Portland,REG (Non-Conf),W 82-67,,22,3,9,0.333,2,6,0.333,1,3,0.333,0.444,0,1,0.0,0,1,1,2,2,1,2,2,8,4.1,H,1,1,travis-trice-1,Travis Trice,2014
5,64,5,2013-11-22,Michigan State,N,Virginia Tech,REG (Non-Conf),W 96-77,,23,3,7,0.429,2,5,0.4,1,2,0.5,0.571,0,0,,1,2,3,3,2,0,0,0,8,9.7,N,1,1,travis-trice-1,Travis Trice,2014
6,65,6,2013-11-23,Michigan State,N,Oklahoma,REG (Non-Conf),W 87-76,,20,1,5,0.2,1,3,0.333,0,2,0.0,0.3,3,4,0.75,1,1,2,0,2,0,3,2,6,1.7,N,1,1,travis-trice-1,Travis Trice,2014
7,66,7,2013-11-29,Michigan State,,Mount St. Mary's,REG (Non-Conf),W 98-65,*,21,6,8,0.75,3,4,0.75,3,4,0.75,0.938,0,0,,0,1,1,6,2,0,1,0,15,17.3,H,1,1,travis-trice-1,Travis Trice,2014
8,67,8,2013-12-04,Michigan State,,North Carolina,REG (Non-Conf),L 65-79,,22,1,6,0.167,0,2,0.0,1,4,0.25,0.167,2,2,1.0,0,2,2,2,5,0,1,4,4,4.6,H,0,1,travis-trice-1,Travis Trice,2014
9,68,9,2013-12-14,Michigan State,N,Oakland,REG (Non-Conf),W 67-63,*,28,2,8,0.25,2,5,0.4,0,3,0.0,0.375,0,0,,0,1,1,1,0,0,1,2,6,0.4,N,1,1,travis-trice-1,Travis Trice,2014
10,69,11,2013-12-21,Michigan State,@,Texas,REG (Non-Conf),W 92-78,,21,4,6,0.667,3,4,0.75,1,2,0.5,0.917,2,2,1.0,0,1,1,0,1,0,1,3,13,9.5,A,1,1,travis-trice-1,Travis Trice,2014
