rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,33,1,2013-11-08,Stephen F. Austin,,Texas-Tyler,REG (Non-Conf),W 90-64,*,19,1,3,0.333,0,1,0.0,1,2,0.5,0.333,3,4,0.75,0,1,1,3,2,0,2,2,5,4.5,H,1,1,trey-pinkney-1,Trey Pinkney,2014
2,34,2,2013-11-12,Stephen F. Austin,@,Texas State San Marcos,REG (Non-Conf),W 64-57,*,32,2,4,0.5,1,2,0.5,1,2,0.5,0.625,2,6,0.333,1,2,3,4,1,0,3,2,7,4.7,A,1,1,trey-pinkney-1,Trey Pinkney,2014
3,35,3,2013-11-15,Stephen F. Austin,@,Texas,REG (Non-Conf),L 62-72,*,14,0,0,,0,0,,0,0,,,3,4,0.75,0,1,1,0,0,0,4,4,3,-2.7,A,0,1,trey-pinkney-1,Trey Pinkney,2014
4,36,4,2013-11-21,Stephen F. Austin,@,Marshall,REG (Non-Conf),W 80-73 (OT),*,24,1,3,0.333,0,0,,1,3,0.333,0.333,0,1,0.0,0,4,4,3,0,0,0,4,2,1.6,A,1,1,trey-pinkney-1,Trey Pinkney,2014
5,37,5,2013-11-23,Stephen F. Austin,@,East Tennessee State,REG (Non-Conf),L 58-66,*,32,3,6,0.5,0,1,0.0,3,5,0.6,0.5,0,3,0.0,1,0,1,4,1,0,1,4,6,3.7,A,0,1,trey-pinkney-1,Trey Pinkney,2014
6,38,6,2013-11-26,Stephen F. Austin,,Samford,REG (Non-Conf),W 98-78,*,23,1,2,0.5,0,1,0.0,1,1,1.0,0.5,2,4,0.5,0,1,1,2,1,0,1,4,4,2.3,H,1,1,trey-pinkney-1,Trey Pinkney,2014
7,39,7,2013-11-29,Stephen F. Austin,@,UNC Wilmington,REG (Non-Conf),W 60-55,*,21,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,3,0.0,0,1,1,2,1,0,0,4,5,3.6,A,1,1,trey-pinkney-1,Trey Pinkney,2014
8,40,8,2013-12-01,Stephen F. Austin,@,High Point,REG (Non-Conf),W 71-68,*,24,1,1,1.0,1,1,1.0,0,0,,1.5,1,2,0.5,0,1,1,3,0,0,1,2,4,3.9,A,1,1,trey-pinkney-1,Trey Pinkney,2014
9,41,9,2013-12-06,Stephen F. Austin,,Towson,REG (Non-Conf),W 79-69,*,32,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,2,2,8,0,0,2,1,0,1.7,H,1,1,trey-pinkney-1,Trey Pinkney,2014
10,42,10,2013-12-07,Stephen F. Austin,,James Madison,REG (Non-Conf),W 70-57,*,25,0,2,0.0,0,0,,0,2,0.0,0.0,1,2,0.5,0,0,0,3,1,0,4,3,1,-2.9,H,1,1,trey-pinkney-1,Trey Pinkney,2014
11,43,11,2013-12-15,Stephen F. Austin,@,North Texas,REG (Non-Conf),W 87-53,*,18,3,4,0.75,0,1,0.0,3,3,1.0,0.75,2,2,1.0,0,2,2,2,0,0,0,4,8,6.8,A,1,1,trey-pinkney-1,Trey Pinkney,2014
12,44,12,2013-12-21,Stephen F. Austin,,Elmhurst,REG (Non-Conf),W 83-49,*,19,1,2,0.5,0,0,,1,2,0.5,0.5,0,1,0.0,1,3,4,2,3,0,0,2,2,5.8,H,1,1,trey-pinkney-1,Trey Pinkney,2014
13,45,13,2013-12-30,Stephen F. Austin,,Cal State Northridge,REG (Non-Conf),W 74-67,*,27,0,2,0.0,0,1,0.0,0,1,0.0,0.0,2,2,1.0,0,3,3,2,2,0,2,3,2,1.7,H,1,1,trey-pinkney-1,Trey Pinkney,2014
14,46,14,2014-01-02,Stephen F. Austin,,Lamar,REG (Conf),W 85-65,*,23,0,0,,0,0,,0,0,,,0,0,,0,1,1,4,3,0,1,2,0,4.3,H,1,1,trey-pinkney-1,Trey Pinkney,2014
15,47,15,2014-01-04,Stephen F. Austin,,Sam Houston State,REG (Conf),W 73-56,*,27,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,1,5,6,3,1,0,1,3,2,3.4,H,1,1,trey-pinkney-1,Trey Pinkney,2014
16,48,16,2014-01-09,Stephen F. Austin,@,Houston Baptist,REG (Conf),W 77-50,*,21,2,4,0.5,0,1,0.0,2,3,0.667,0.5,1,1,1.0,2,1,3,1,3,0,4,3,5,3.2,A,1,1,trey-pinkney-1,Trey Pinkney,2014
17,49,17,2014-01-11,Stephen F. Austin,@,Texas A&M–Corpus Christi,REG (Conf),W 80-70,*,23,1,1,1.0,0,0,,1,1,1.0,1.0,2,2,1.0,1,2,3,3,0,0,1,4,4,4.5,A,1,1,trey-pinkney-1,Trey Pinkney,2014
18,50,18,2014-01-16,Stephen F. Austin,@,Northwestern State,REG (Conf),W 74-58,*,22,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,2,2,2,1,0,3,3,0,-3.3,A,1,1,trey-pinkney-1,Trey Pinkney,2014
19,51,19,2014-01-23,Stephen F. Austin,@,Oral Roberts,REG (Conf),W 72-69,*,24,1,1,1.0,0,0,,1,1,1.0,1.0,2,2,1.0,0,2,2,3,1,0,2,3,4,4.2,A,1,1,trey-pinkney-1,Trey Pinkney,2014
20,52,20,2014-01-25,Stephen F. Austin,@,Central Arkansas,REG (Conf),W 66-49,*,24,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,2,0,0,5,4,2,-3.2,A,1,1,trey-pinkney-1,Trey Pinkney,2014
21,53,21,2014-01-30,Stephen F. Austin,,Abilene Christian,REG (Conf),W 64-48,*,27,0,1,0.0,0,1,0.0,0,0,,0.0,0,2,0.0,0,3,3,6,2,0,3,2,0,1.8,H,1,1,trey-pinkney-1,Trey Pinkney,2014
22,54,22,2014-02-01,Stephen F. Austin,,Incarnate Word,REG (Conf),W 76-74,*,32,0,1,0.0,0,1,0.0,0,0,,0.0,3,4,0.75,0,0,0,9,2,0,1,3,3,8.0,H,1,1,trey-pinkney-1,Trey Pinkney,2014
23,55,23,2014-02-06,Stephen F. Austin,,Nicholls State,REG (Conf),W 93-64,*,16,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,1,3,0,-0.5,H,1,1,trey-pinkney-1,Trey Pinkney,2014
24,56,24,2014-02-08,Stephen F. Austin,,McNeese State,REG (Conf),W 74-54,*,25,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,1,2,3,8,0,0,0,2,2,6.4,H,1,1,trey-pinkney-1,Trey Pinkney,2014
25,57,25,2014-02-13,Stephen F. Austin,@,Lamar,REG (Conf),W 78-69,*,19,0,0,,0,0,,0,0,,,2,2,1.0,0,0,0,3,1,0,2,3,2,1.9,A,1,1,trey-pinkney-1,Trey Pinkney,2014
26,58,26,2014-02-15,Stephen F. Austin,@,Sam Houston State,REG (Conf),W 67-60,*,27,1,2,0.5,0,1,0.0,1,1,1.0,0.5,2,2,1.0,1,0,1,3,2,0,4,3,4,2.6,A,1,1,trey-pinkney-1,Trey Pinkney,2014
27,59,27,2014-02-22,Stephen F. Austin,,Northwestern State,REG (Conf),W 70-68,*,17,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,0,,0,1,1,3,0,0,0,3,2,1.5,H,1,1,trey-pinkney-1,Trey Pinkney,2014
28,60,28,2014-02-27,Stephen F. Austin,@,New Orleans,REG (Conf),W 103-63,*,28,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,2,2,3,2,1,2,2,0,0.5,A,1,1,trey-pinkney-1,Trey Pinkney,2014
29,61,29,2014-03-01,Stephen F. Austin,@,Southeastern Louisiana,REG (Conf),W 75-62,*,20,0,0,,0,0,,0,0,,,4,6,0.667,0,0,0,1,0,0,2,2,4,1.1,A,1,1,trey-pinkney-1,Trey Pinkney,2014
30,62,30,2014-03-06,Stephen F. Austin,,Oral Roberts,REG (Conf),W 83-72,*,25,1,2,0.5,0,1,0.0,1,1,1.0,0.5,7,7,1.0,1,2,3,6,0,0,1,4,9,10.9,H,1,1,trey-pinkney-1,Trey Pinkney,2014
31,63,31,2014-03-08,Stephen F. Austin,,Central Arkansas,REG (Conf),W 85-61,*,23,0,3,0.0,0,1,0.0,0,2,0.0,0.0,1,2,0.5,0,2,2,5,1,0,2,2,1,0.8,H,1,1,trey-pinkney-1,Trey Pinkney,2014
