rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,73,1,2014-11-14,UC Irvine,,Chapman,REG (Non-Conf),W 87-36,*,22,4,7,0.571,0,1,0.0,4,6,0.667,0.571,0,0,,0,3,3,1,2,0,0,1,8,7.9,H,1,1,alex-young-2,Alex Young,2015
2,74,2,2014-11-16,UC Irvine,,Pacific,REG (Non-Conf),W 68-50,*,35,3,10,0.3,1,4,0.25,2,6,0.333,0.35,6,6,1.0,3,5,8,5,2,0,2,3,13,13.1,H,1,1,alex-young-2,Alex Young,2015
3,75,3,2014-11-19,UC Irvine,@,Arizona,REG (Non-Conf),L 54-71,*,36,3,9,0.333,1,3,0.333,2,6,0.333,0.389,1,2,0.5,1,3,4,3,1,0,2,1,8,4.8,A,0,1,alex-young-2,Alex Young,2015
4,76,4,2014-11-23,UC Irvine,@,St. Mary's (CA),REG (Non-Conf),L 69-72,*,34,6,12,0.5,1,2,0.5,5,10,0.5,0.542,0,1,0.0,0,1,1,0,0,0,3,3,13,2.7,A,0,1,alex-young-2,Alex Young,2015
5,77,5,2014-11-29,UC Irvine,@,Loyola Marymount,REG (Non-Conf),W 80-72,*,34,4,7,0.571,2,3,0.667,2,4,0.5,0.714,1,2,0.5,1,0,1,6,1,0,3,4,11,8.6,A,1,1,alex-young-2,Alex Young,2015
6,78,6,2014-12-03,UC Irvine,@,Fresno State,REG (Non-Conf),L 63-72,*,32,3,10,0.3,1,3,0.333,2,7,0.286,0.35,1,2,0.5,1,6,7,3,2,0,2,4,8,4.8,A,0,1,alex-young-2,Alex Young,2015
7,79,7,2014-12-06,UC Irvine,,Sacramento State,REG (Non-Conf),W 74-62,*,29,5,11,0.455,1,4,0.25,4,7,0.571,0.5,2,2,1.0,0,3,3,4,2,1,1,1,13,12.3,H,1,1,alex-young-2,Alex Young,2015
8,80,8,2014-12-13,UC Irvine,,UT Arlington,REG (Non-Conf),L 62-70,*,33,2,10,0.2,0,2,0.0,2,8,0.25,0.2,0,2,0.0,1,3,4,4,6,0,0,2,4,6.6,H,0,1,alex-young-2,Alex Young,2015
9,81,9,2014-12-16,UC Irvine,@,Morgan State,REG (Non-Conf),L 62-63,*,32,7,15,0.467,0,3,0.0,7,12,0.583,0.467,2,4,0.5,1,1,2,3,0,0,6,2,16,3.8,A,0,1,alex-young-2,Alex Young,2015
10,82,10,2014-12-21,UC Irvine,N,Bradley,REG (Non-Conf),W 55-47,,19,1,4,0.25,1,1,1.0,0,3,0.0,0.375,3,4,0.75,0,2,2,1,1,0,3,2,6,1.7,N,1,1,alex-young-2,Alex Young,2015
11,83,11,2014-12-22,UC Irvine,N,Green Bay,REG (Non-Conf),W 72-70,*,31,5,11,0.455,3,5,0.6,2,6,0.333,0.591,5,6,0.833,1,3,4,8,1,0,4,2,18,15.3,N,1,1,alex-young-2,Alex Young,2015
12,84,12,2014-12-29,UC Irvine,@,Oregon,REG (Non-Conf),L 67-69 (OT),*,39,4,11,0.364,3,7,0.429,1,4,0.25,0.5,1,2,0.5,0,2,2,6,1,0,2,1,12,8.9,A,0,1,alex-young-2,Alex Young,2015
13,85,13,2014-12-31,UC Irvine,,Hampden-Sydney,REG (Non-Conf),W 82-53,*,27,6,8,0.75,1,2,0.5,5,6,0.833,0.813,0,0,,0,4,4,6,4,2,3,2,13,16.8,H,1,1,alex-young-2,Alex Young,2015
14,86,14,2015-01-03,UC Irvine,@,New Mexico State,REG (Non-Conf),L 67-70,*,31,4,9,0.444,1,1,1.0,3,8,0.375,0.5,0,0,,0,5,5,5,2,0,2,0,9,9.3,A,0,1,alex-young-2,Alex Young,2015
15,87,15,2015-01-08,UC Irvine,,Long Beach State,REG (Conf),L 82-88,*,29,8,13,0.615,4,7,0.571,4,6,0.667,0.769,4,4,1.0,1,3,4,1,0,0,0,2,24,19.6,H,0,1,alex-young-2,Alex Young,2015
16,88,16,2015-01-10,UC Irvine,,UC Riverside,REG (Conf),W 69-55,*,31,6,8,0.75,1,2,0.5,5,6,0.833,0.813,1,2,0.5,0,6,6,5,3,1,2,0,14,17.4,H,1,1,alex-young-2,Alex Young,2015
17,89,17,2015-01-15,UC Irvine,@,Cal State Fullerton,REG (Conf),W 63-58,*,32,2,11,0.182,0,2,0.0,2,9,0.222,0.182,2,2,1.0,2,3,5,5,0,1,2,2,6,2.8,A,1,1,alex-young-2,Alex Young,2015
18,90,18,2015-01-22,UC Irvine,@,Cal State Northridge,REG (Conf),W 80-49,*,23,2,5,0.4,0,2,0.0,2,3,0.667,0.4,0,0,,3,3,6,3,1,1,1,1,4,6.7,A,1,1,alex-young-2,Alex Young,2015
19,91,19,2015-01-24,UC Irvine,@,Hawaii,REG (Conf),W 78-72,*,32,4,5,0.8,3,4,0.75,1,1,1.0,1.1,4,4,1.0,0,4,4,3,2,1,2,1,15,16.7,A,1,1,alex-young-2,Alex Young,2015
20,92,20,2015-01-29,UC Irvine,,Cal Poly,REG (Conf),W 67-57,*,29,3,9,0.333,0,2,0.0,3,7,0.429,0.333,1,1,1.0,0,5,5,3,0,1,1,1,7,4.8,H,1,1,alex-young-2,Alex Young,2015
21,93,21,2015-01-31,UC Irvine,,UC Santa Barbara,REG (Conf),W 77-55,*,29,3,6,0.5,2,3,0.667,1,3,0.333,0.667,3,3,1.0,1,2,3,2,1,0,1,3,11,9.5,H,1,1,alex-young-2,Alex Young,2015
22,94,22,2015-02-05,UC Irvine,,UC Davis,REG (Conf),L 56-75,*,9,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,2,0,0,1,0,0,-0.3,H,0,1,alex-young-2,Alex Young,2015
23,95,27,2015-02-26,UC Irvine,@,Cal Poly,REG (Conf),W 63-56,*,15,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,0,4,0,-2.0,A,1,1,alex-young-2,Alex Young,2015
24,96,28,2015-02-28,UC Irvine,@,UC Santa Barbara,REG (Conf),L 51-54,*,31,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,3,3,2,0,0,0,3,4,2.4,A,0,1,alex-young-2,Alex Young,2015
25,97,29,2015-03-05,UC Irvine,,Cal State Fullerton,REG (Conf),W 68-62,*,31,2,6,0.333,0,2,0.0,2,4,0.5,0.333,4,4,1.0,0,0,0,5,2,0,2,1,8,7.7,H,1,1,alex-young-2,Alex Young,2015
26,98,30,2015-03-07,UC Irvine,@,UC Davis,REG (Conf),L 61-80,*,29,4,9,0.444,0,2,0.0,4,7,0.571,0.444,1,2,0.5,0,2,2,3,1,0,0,4,9,6.0,A,0,1,alex-young-2,Alex Young,2015
27,99,31,2015-03-12,UC Irvine,N,UC Riverside,CTOURN,W 63-54,*,33,2,7,0.286,0,1,0.0,2,6,0.333,0.286,4,4,1.0,1,3,4,4,3,0,2,2,8,8.5,N,1,0,alex-young-2,Alex Young,2015
28,100,32,2015-03-13,UC Irvine,N,UC Santa Barbara,CTOURN,W 72-63 (OT),*,38,1,9,0.111,0,1,0.0,1,8,0.125,0.111,3,6,0.5,0,5,5,6,1,0,0,2,5,3.8,N,1,0,alex-young-2,Alex Young,2015
29,101,33,2015-03-14,UC Irvine,N,Hawaii,CTOURN,W 67-58,*,33,3,10,0.3,1,5,0.2,2,5,0.4,0.35,3,4,0.75,0,4,4,4,0,0,0,1,10,7.4,N,1,0,alex-young-2,Alex Young,2015
30,102,34,2015-03-20,UC Irvine,N,Louisville,ROUND-64,L 55-57,*,33,3,8,0.375,0,3,0.0,3,5,0.6,0.375,0,0,,0,3,3,5,1,1,2,0,6,5.7,N,0,0,alex-young-2,Alex Young,2015
