rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,25,1,2014-11-14,Louisville,N,Minnesota,REG (Non-Conf),W 81-68,,19,0,5,0.0,0,3,0.0,0,2,0.0,0.0,1,4,0.25,1,3,4,1,1,0,5,4,1,-7.0,N,1,1,anton-gill-1,Anton Gill,2015
2,26,2,2014-11-17,Louisville,,Jacksonville State,REG (Non-Conf),W 88-39,,12,4,5,0.8,0,1,0.0,4,4,1.0,0.8,0,1,0.0,0,6,6,1,1,0,0,2,8,8.4,H,1,1,anton-gill-1,Anton Gill,2015
3,27,3,2014-11-21,Louisville,,Marshall,REG (Non-Conf),W 85-67,,6,1,3,0.333,0,2,0.0,1,1,1.0,0.333,0,2,0.0,0,0,0,0,1,0,0,2,2,-0.3,H,1,1,anton-gill-1,Anton Gill,2015
4,28,4,2014-11-24,Louisville,,Savannah State,REG (Non-Conf),W 87-26,,21,3,8,0.375,1,4,0.25,2,4,0.5,0.438,2,3,0.667,0,1,1,1,4,0,1,1,9,7.8,H,1,1,anton-gill-1,Anton Gill,2015
5,29,5,2014-11-26,Louisville,,Cleveland State,REG (Non-Conf),W 45-33,,15,0,3,0.0,0,3,0.0,0,0,,0.0,0,0,,0,1,1,0,0,1,0,1,0,-1.5,H,1,1,anton-gill-1,Anton Gill,2015
6,30,6,2014-12-02,Louisville,,Ohio State,REG (Non-Conf),W 64-55,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,H,1,1,anton-gill-1,Anton Gill,2015
7,31,7,2014-12-05,Louisville,,Florida International,REG (Non-Conf),W 82-57,,19,6,10,0.6,3,5,0.6,3,5,0.6,0.75,0,0,,0,2,2,2,0,1,3,4,15,8.5,H,1,1,anton-gill-1,Anton Gill,2015
8,32,8,2014-12-09,Louisville,N,Indiana,REG (Non-Conf),W 94-74,,12,0,4,0.0,0,1,0.0,0,3,0.0,0.0,0,0,,0,2,2,0,3,0,0,1,0,0.4,N,1,1,anton-gill-1,Anton Gill,2015
9,33,9,2014-12-14,Louisville,,UNC Wilmington,REG (Non-Conf),W 68-57,,3,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,1,0,0,-1.7,H,1,1,anton-gill-1,Anton Gill,2015
10,34,10,2014-12-20,Louisville,@,Western Kentucky,REG (Non-Conf),W 76-67,,14,1,3,0.333,1,3,0.333,0,0,,0.5,2,2,1.0,0,2,2,2,1,1,0,1,5,6.6,A,1,1,anton-gill-1,Anton Gill,2015
11,35,11,2014-12-23,Louisville,,Cal State Northridge,REG (Non-Conf),W 80-55,,10,0,4,0.0,0,3,0.0,0,1,0.0,0.0,0,0,,0,1,1,3,1,0,0,0,0,0.6,H,1,1,anton-gill-1,Anton Gill,2015
12,36,13,2014-12-30,Louisville,,Long Beach State,REG (Non-Conf),W 63-48,,7,0,0,,0,0,,0,0,,,2,2,1.0,0,0,0,0,0,0,1,1,2,0.6,H,1,1,anton-gill-1,Anton Gill,2015
13,37,14,2015-01-04,Louisville,@,Wake Forest,REG (Conf),W 85-76,,15,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,0,,1,1,2,1,0,0,0,1,5,2.2,A,1,1,anton-gill-1,Anton Gill,2015
14,38,15,2015-01-07,Louisville,,Clemson,REG (Conf),W 58-52,,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,H,1,1,anton-gill-1,Anton Gill,2015
15,39,17,2015-01-13,Louisville,,Virginia Tech,REG (Conf),W 78-63,,11,2,3,0.667,0,1,0.0,2,2,1.0,0.667,0,0,,0,0,0,0,0,0,1,0,4,1.7,H,1,1,anton-gill-1,Anton Gill,2015
16,40,18,2015-01-17,Louisville,,Duke,REG (Conf),L 52-63,,7,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,0,0,0,0,0,0,0,2,1.0,H,0,1,anton-gill-1,Anton Gill,2015
17,41,19,2015-01-25,Louisville,@,Pittsburgh,REG (Conf),W 80-68,,10,0,0,,0,0,,0,0,,,0,2,0.0,0,0,0,1,0,0,1,3,0,-2.3,A,1,1,anton-gill-1,Anton Gill,2015
18,42,21,2015-01-31,Louisville,,North Carolina,REG (Conf),W 78-68 (OT),,5,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,H,1,1,anton-gill-1,Anton Gill,2015
19,43,22,2015-02-03,Louisville,@,Miami (FL),REG (Conf),W 63-55,,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,A,1,1,anton-gill-1,Anton Gill,2015
20,44,23,2015-02-07,Louisville,@,Virginia,REG (Conf),L 47-52,,4,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,2,0,-1.5,A,0,1,anton-gill-1,Anton Gill,2015
21,45,24,2015-02-11,Louisville,,Pittsburgh,REG (Conf),W 69-56,,15,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,1,0.0,0,2,2,2,0,0,1,0,2,0.9,H,1,1,anton-gill-1,Anton Gill,2015
22,46,25,2015-02-14,Louisville,,NC State,REG (Conf),L 65-74,,6,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,0,0,0,0,0,0,0,0,2,-0.4,H,0,1,anton-gill-1,Anton Gill,2015
23,47,26,2015-02-18,Louisville,@,Syracuse,REG (Conf),L 59-69,,7,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,1,2,1,0,-2.4,A,0,1,anton-gill-1,Anton Gill,2015
24,48,28,2015-02-23,Louisville,@,Georgia Tech,REG (Conf),W 52-51,,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,A,1,1,anton-gill-1,Anton Gill,2015
25,49,29,2015-02-28,Louisville,@,Florida State,REG (Conf),W 81-59,,12,5,5,1.0,4,4,1.0,1,1,1.0,1.4,0,0,,0,0,0,0,0,0,1,5,14,9.5,A,1,1,anton-gill-1,Anton Gill,2015
26,50,30,2015-03-04,Louisville,,Notre Dame,REG (Conf),L 59-71,,12,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,,0,0,0,1,0,0,0,2,0,-1.5,H,0,1,anton-gill-1,Anton Gill,2015
27,51,31,2015-03-07,Louisville,,Virginia,REG (Conf),W 59-57,,10,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,1,1,0,0,0,1,0,0,-1.4,H,1,1,anton-gill-1,Anton Gill,2015
28,52,32,2015-03-12,Louisville,N,North Carolina,CTOURN,L 60-70,,9,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,2,0.0,0,0,0,1,1,0,0,0,0,-0.5,N,0,0,anton-gill-1,Anton Gill,2015
29,53,34,2015-03-22,Louisville,N,Northern Iowa,ROUND-32,W 66-53,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,N,1,0,anton-gill-1,Anton Gill,2015
30,54,35,2015-03-27,Louisville,N,NC State,ROUND-16,W 75-65,,11,3,3,1.0,1,1,1.0,2,2,1.0,1.167,0,0,,0,0,0,1,2,0,0,0,7,8.8,N,1,0,anton-gill-1,Anton Gill,2015
31,55,36,2015-03-29,Louisville,N,Michigan State,ROUND-8,L 70-76 (OT),,5,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,2,1,0,-4.5,N,0,0,anton-gill-1,Anton Gill,2015
