rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,101,1,2014-11-14,SMU,,Lamar,REG (Non-Conf),W 93-54,,23,5,6,0.833,0,0,,5,6,0.833,0.833,5,6,0.833,2,2,4,0,1,2,0,3,15,15.6,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
2,102,2,2014-11-17,SMU,@,Gonzaga,REG (Non-Conf),L 56-72,,18,2,5,0.4,0,1,0.0,2,4,0.5,0.4,3,3,1.0,0,2,2,0,0,0,1,2,7,3.1,A,0,1,cannen-cunningham-1,Cannen Cunningham,2015
3,103,3,2014-11-20,SMU,@,Indiana,REG (Non-Conf),L 68-74,,19,3,4,0.75,0,0,,3,4,0.75,0.75,2,3,0.667,0,1,1,0,1,0,4,3,8,2.1,A,0,1,cannen-cunningham-1,Cannen Cunningham,2015
4,104,4,2014-11-22,SMU,,Eastern Washington,REG (Non-Conf),W 77-68,,4,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
5,105,5,2014-11-25,SMU,,Arkansas,REG (Non-Conf),L 72-78,,16,2,3,0.667,0,0,,2,3,0.667,0.667,1,1,1.0,0,3,3,1,1,1,3,2,5,3.2,H,0,1,cannen-cunningham-1,Cannen Cunningham,2015
6,106,6,2014-11-26,SMU,,Texas Southern,REG (Non-Conf),W 72-59,,16,4,9,0.444,0,0,,4,9,0.444,0.444,0,0,,0,3,3,0,2,0,0,1,8,5.8,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
7,107,7,2014-11-30,SMU,,Monmouth,REG (Non-Conf),W 63-51,,23,5,9,0.556,0,0,,5,9,0.556,0.556,0,2,0.0,1,4,5,1,0,1,1,0,10,7.2,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
8,108,8,2014-12-05,SMU,,Wyoming,REG (Non-Conf),W 66-53,,18,3,4,0.75,0,0,,3,4,0.75,0.75,0,2,0.0,2,1,3,2,0,1,1,1,6,6.0,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
9,109,9,2014-12-08,SMU,,UC Santa Barbara,REG (Non-Conf),W 80-73 (OT),,24,3,8,0.375,0,0,,3,8,0.375,0.375,4,4,1.0,3,7,10,1,0,0,1,3,10,8.3,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
10,110,10,2014-12-17,SMU,,Illinois–Chicago,REG (Non-Conf),W 67-46,,18,1,5,0.2,0,0,,1,5,0.2,0.2,0,1,0.0,0,2,2,0,1,1,2,3,2,-2.4,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
11,111,11,2014-12-20,SMU,@,Michigan,REG (Non-Conf),W 62-51,,14,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,5,6,0,0,0,1,4,4,1.6,A,1,1,cannen-cunningham-1,Cannen Cunningham,2015
12,112,12,2014-12-29,SMU,,Midwestern St.,REG (Non-Conf),W 70-61,,9,0,0,,0,0,,0,0,,,0,0,,1,2,3,0,1,0,3,1,0,-1.1,H,1,1,cannen-cunningham-1,Cannen Cunningham,2015
