rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,24,1,2014-11-15,Albany (NY),@,Providence,REG (Non-Conf),L 60-64,,16,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,1,3,0,-1.3,A,0,1,dallas-ennema-1,Dallas Ennema,2015
2,25,2,2014-11-19,Albany (NY),,NJIT,REG (Non-Conf),W 65-48,,16,3,5,0.6,1,3,0.333,2,2,1.0,0.7,0,0,,0,3,3,1,1,0,0,2,7,6.5,H,1,1,dallas-ennema-1,Dallas Ennema,2015
3,26,3,2014-11-22,Albany (NY),,Quinnipiac,REG (Non-Conf),L 73-76 (OT),,16,0,1,0.0,0,1,0.0,0,0,,0.0,2,3,0.667,1,0,1,1,0,0,0,0,2,2.3,H,0,1,dallas-ennema-1,Dallas Ennema,2015
4,27,4,2014-11-26,Albany (NY),@,Colgate,REG (Non-Conf),W 75-71,,7,0,0,,0,0,,0,0,,,3,4,0.75,1,0,1,1,0,0,0,2,3,3.2,A,1,1,dallas-ennema-1,Dallas Ennema,2015
5,28,5,2014-11-29,Albany (NY),@,UNLV,REG (Non-Conf),L 59-75,,5,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,0,2,1.7,A,0,1,dallas-ennema-1,Dallas Ennema,2015
6,29,6,2014-12-03,Albany (NY),,Holy Cross,REG (Non-Conf),L 57-74,,13,2,4,0.5,2,3,0.667,0,1,0.0,0.75,0,0,,2,0,2,0,0,0,0,1,6,5.0,H,0,1,dallas-ennema-1,Dallas Ennema,2015
7,30,7,2014-12-06,Albany (NY),@,Saint Francis (PA),REG (Non-Conf),L 59-69,,23,1,8,0.125,0,5,0.0,1,3,0.333,0.125,0,0,,2,0,2,3,0,0,0,3,2,-0.9,A,0,1,dallas-ennema-1,Dallas Ennema,2015
8,31,8,2014-12-08,Albany (NY),@,Bucknell,REG (Non-Conf),L 58-61,,5,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,0,0,0,0,2,2,1.2,A,0,1,dallas-ennema-1,Dallas Ennema,2015
9,32,9,2014-12-13,Albany (NY),@,Siena,REG (Non-Conf),W 77-68,,18,2,3,0.667,1,1,1.0,1,2,0.5,0.833,5,6,0.833,0,5,5,0,0,0,2,1,10,7.4,A,1,1,dallas-ennema-1,Dallas Ennema,2015
10,33,10,2014-12-20,Albany (NY),@,Yale,REG (Non-Conf),W 64-60,,11,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,1,2,0,0,0,2,1,2,-0.4,A,1,1,dallas-ennema-1,Dallas Ennema,2015
11,34,11,2014-12-22,Albany (NY),,Fairfield,REG (Non-Conf),W 77-66,,13,1,3,0.333,1,3,0.333,0,0,,0.5,2,4,0.5,2,0,2,0,0,0,0,1,5,3.5,H,1,1,dallas-ennema-1,Dallas Ennema,2015
12,35,12,2014-12-30,Albany (NY),@,Niagara,REG (Non-Conf),L 47-65,,24,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,2,2,2,1,1,2,2,3,2.2,A,0,1,dallas-ennema-1,Dallas Ennema,2015
13,36,13,2015-01-03,Albany (NY),,Maine,REG (Conf),W 80-56,,19,3,5,0.6,3,4,0.75,0,1,0.0,0.9,1,2,0.5,1,3,4,0,0,0,1,2,10,7.1,H,1,1,dallas-ennema-1,Dallas Ennema,2015
14,37,14,2015-01-06,Albany (NY),@,New Hampshire,REG (Conf),W 64-62,,15,0,2,0.0,0,2,0.0,0,0,,0.0,2,2,1.0,0,1,1,0,0,0,0,1,2,0.5,A,1,1,dallas-ennema-1,Dallas Ennema,2015
15,38,15,2015-01-10,Albany (NY),@,UMass Lowell,REG (Conf),W 64-51,,18,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,1,3,4,1,0,0,0,1,0,1.2,A,1,1,dallas-ennema-1,Dallas Ennema,2015
16,39,16,2015-01-14,Albany (NY),,Binghamton,REG (Conf),W 73-58,,6,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,0,0,0,0,0,0,0,1,3,0.9,H,1,1,dallas-ennema-1,Dallas Ennema,2015
